sexo,edad,escol,Tam_loc,agg_conjugal_union_attitudes,agg_family_cohesion_quality,agg_family_value_transmission,agg_ideal_family_normativity,agg_intergenerational_obligations
1.0,47.0,3.0,3.0,2.5,2.6875,1.0,2.125,1.0
2.0,45.0,2.0,3.0,1.75,2.125,2.125,2.40625,1.375
1.0,18.0,2.0,1.0,2.3125,1.5625,2.125,1.84375,1.0
1.0,31.0,4.0,1.0,3.8125,2.6875,1.0,1.5625,1.0
2.0,40.0,3.0,3.0,1.9375,2.125,1.0,2.40625,1.0
1.0,58.0,3.0,2.0,1.5625,2.125,1.5625,2.96875,2.125
1.0,41.0,3.0,3.0,2.875,2.125,1.5625,1.5625,1.0
2.0,37.0,3.0,4.0,1.5625,1.5625,2.6875,,2.125
2.0,34.0,3.0,1.0,3.0625,2.6875,2.6875,1.5625,2.125
2.0,41.0,3.0,1.0,2.3125,2.6875,3.25,1.0,1.375
2.0,41.0,3.0,1.0,4.1875,3.25,1.0,,2.125
1.0,58.0,3.0,2.0,1.9375,2.125,2.125,,1.0
1.0,45.0,5.0,3.0,1.75,1.0,2.125,1.0,1.375
1.0,15.0,3.0,1.0,4.0,2.125,2.6875,1.84375,2.125
1.0,40.0,3.0,1.0,3.625,1.0,2.125,1.84375,2.125
1.0,48.0,3.0,1.0,3.0625,5.5,2.6875,1.5625,2.125
2.0,34.0,4.0,2.0,2.6875,2.125,2.125,1.5625,2.125
1.0,40.0,2.0,2.0,1.9375,2.6875,3.8125,1.84375,1.375
1.0,50.0,2.0,2.0,2.3125,2.6875,2.6875,,2.125
1.0,42.0,4.0,1.0,1.9375,3.25,1.5625,1.84375,1.0
2.0,38.0,2.0,1.0,2.3125,1.0,1.5625,1.5625,1.375
1.0,54.0,2.0,4.0,1.75,3.8125,3.25,2.40625,2.125
1.0,42.0,2.0,2.0,1.75,2.125,1.0,2.125,1.0
2.0,35.0,3.0,3.0,3.0625,2.125,4.375,1.84375,1.75
2.0,19.0,4.0,4.0,1.75,2.6875,2.125,1.5625,1.375
2.0,32.0,3.0,1.0,4.375,6.625,2.6875,4.09375,2.125
2.0,18.0,3.0,1.0,3.625,1.0,2.6875,1.84375,1.375
2.0,48.0,4.0,1.0,3.0625,2.125,3.25,1.84375,2.125
2.0,41.0,3.0,2.0,2.3125,2.125,2.125,1.84375,1.375
2.0,21.0,4.0,1.0,2.3125,1.5625,1.0,1.5625,1.0
1.0,55.0,3.0,2.0,3.4375,2.125,2.125,2.125,1.375
2.0,24.0,2.0,1.0,1.1875,2.125,1.0,2.125,1.375
1.0,23.0,4.0,3.0,2.3125,2.125,1.5625,1.5625,2.125
2.0,42.0,1.0,4.0,1.9375,2.125,2.125,1.84375,2.125
2.0,40.0,2.0,1.0,2.875,3.25,3.25,,2.5
1.0,48.0,3.0,1.0,2.6875,2.125,2.125,1.5625,1.375
1.0,24.0,5.0,1.0,3.8125,6.0625,2.6875,3.8125,7.0
1.0,25.0,4.0,1.0,1.75,1.0,2.125,,1.0
2.0,22.0,4.0,2.0,3.625,2.125,3.25,2.40625,1.375
2.0,27.0,5.0,2.0,6.4375,3.8125,3.8125,4.65625,1.375
2.0,55.0,2.0,3.0,2.125,2.125,1.0,1.5625,1.375
1.0,38.0,3.0,4.0,3.625,3.25,2.125,1.84375,1.75
1.0,26.0,4.0,1.0,2.125,2.125,2.125,1.84375,1.75
2.0,34.0,2.0,4.0,1.375,2.125,3.8125,1.84375,2.125
1.0,34.0,3.0,1.0,2.3125,2.125,1.0,2.6875,1.75
1.0,22.0,3.0,3.0,2.5,2.6875,2.6875,2.40625,2.125
2.0,45.0,2.0,4.0,1.75,1.5625,2.6875,,1.0
1.0,66.0,1.0,2.0,3.8125,3.8125,2.125,4.375,1.0
2.0,21.0,4.0,1.0,3.25,2.125,2.125,3.8125,2.125
2.0,34.0,3.0,1.0,3.0625,2.125,1.5625,1.84375,2.125
2.0,63.0,2.0,1.0,1.9375,1.5625,1.0,1.84375,1.0
2.0,60.0,2.0,1.0,1.5625,1.5625,1.0,1.84375,1.0
