sexo,escol,Tam_loc,agg_fiscal_and_service_federalism_preferences,agg_legal_uniformity_preference,agg_perceived_representativeness,agg_political_interest_and_engagement,agg_security_governance_preferences
2.0,3.0,1.0,3.302325581395349,1.375,10.0,7.352941176470588,2.96875
1.0,3.0,1.0,3.0930232558139537,1.1875,8.5,7.352941176470588,2.125
2.0,4.0,1.0,3.511627906976744,2.5,8.5,6.8235294117647065,2.96875
1.0,3.0,1.0,2.4651162790697674,2.6875,7.214285714285714,7.352941176470588,2.96875
1.0,5.0,4.0,3.0930232558139537,1.0,6.999999999999999,8.411764705882351,2.125
1.0,4.0,4.0,3.511627906976744,1.0,10.0,10.0,2.6875
1.0,3.0,1.0,2.674418604651163,1.0,8.714285714285714,7.352941176470588,3.25
2.0,4.0,2.0,5.186046511627907,1.0,6.999999999999999,5.235294117647059,5.78125
1.0,3.0,2.0,4.767441860465116,1.0,7.428571428571428,7.352941176470588,2.40625
1.0,3.0,2.0,5.604651162790697,1.0,8.07142857142857,8.411764705882351,3.53125
2.0,4.0,2.0,3.0930232558139537,1.0,6.999999999999999,8.411764705882351,2.125
1.0,2.0,2.0,2.883720930232559,1.375,8.5,7.882352941176473,2.40625
1.0,2.0,2.0,4.9767441860465125,1.0,8.714285714285714,6.294117647058824,5.5
2.0,3.0,2.0,4.558139534883722,10.0,8.714285714285714,6.8235294117647065,5.21875
2.0,1.0,2.0,5.186046511627907,8.875,7.428571428571428,6.8235294117647065,10.0
1.0,1.0,2.0,6.0232558139534875,1.0,8.714285714285714,6.8235294117647065,3.25
1.0,1.0,1.0,3.0930232558139537,1.0,10.0,10.0,2.40625
1.0,4.0,1.0,3.7209302325581395,1.0,8.714285714285714,8.411764705882351,2.96875
2.0,3.0,1.0,2.4651162790697674,1.0,7.428571428571428,7.882352941176473,5.78125
1.0,3.0,1.0,3.302325581395349,1.0,8.714285714285714,6.294117647058824,3.25
2.0,4.0,1.0,5.604651162790697,1.0,6.999999999999999,9.470588235294116,2.125
2.0,4.0,1.0,4.1395348837209305,1.0,6.142857142857142,8.941176470588236,3.8125
2.0,4.0,1.0,3.7209302325581395,1.0,6.142857142857142,6.8235294117647065,2.6875
2.0,5.0,1.0,3.511627906976744,1.0,6.142857142857142,7.352941176470588,3.25
2.0,5.0,1.0,3.9302325581395348,1.0,6.142857142857142,9.470588235294116,2.125
1.0,5.0,1.0,3.511627906976744,1.375,9.357142857142858,6.294117647058824,2.6875
1.0,5.0,1.0,3.302325581395349,1.0,7.642857142857142,9.470588235294116,1.84375
1.0,5.0,1.0,6.651162790697674,1.0,8.928571428571427,7.882352941176473,3.53125
2.0,5.0,1.0,3.9302325581395348,2.125,8.714285714285714,6.294117647058824,1.84375
1.0,4.0,1.0,3.511627906976744,1.0,6.142857142857142,8.941176470588236,4.375
2.0,5.0,1.0,3.302325581395349,1.0,6.142857142857142,8.411764705882351,2.40625
2.0,9.0,1.0,3.9302325581395348,1.0,7.428571428571428,10.0,4.375
1.0,5.0,1.0,3.511627906976744,2.125,6.142857142857142,7.882352941176473,3.8125
2.0,5.0,1.0,4.1395348837209305,1.0,7.214285714285714,6.8235294117647065,4.09375
2.0,9.0,1.0,3.9302325581395348,1.0,6.142857142857142,7.352941176470588,3.53125
1.0,3.0,1.0,4.1395348837209305,1.375,7.428571428571428,7.882352941176473,1.84375
2.0,5.0,1.0,2.674418604651163,1.75,6.571428571428572,7.882352941176473,1.5625
1.0,3.0,1.0,4.1395348837209305,1.5625,6.142857142857142,6.8235294117647065,2.125
1.0,3.0,1.0,2.883720930232559,4.75,6.357142857142857,7.352941176470588,3.53125
1.0,4.0,1.0,4.558139534883722,1.1875,7.642857142857142,4.7058823529411775,5.21875
2.0,3.0,1.0,3.7209302325581395,3.25,4.642857142857143,7.352941176470588,4.375
1.0,5.0,1.0,2.883720930232559,1.0,7.857142857142858,7.352941176470588,4.65625
2.0,4.0,1.0,4.9767441860465125,1.0,6.999999999999999,7.352941176470588,4.9375
1.0,3.0,1.0,3.0930232558139537,1.0,10.0,6.8235294117647065,4.9375
2.0,3.0,1.0,3.0930232558139537,1.0,8.714285714285714,6.294117647058824,2.6875
1.0,4.0,1.0,3.0930232558139537,1.0,6.571428571428572,6.294117647058824,2.125
2.0,4.0,1.0,3.9302325581395348,1.9375,6.142857142857142,8.941176470588236,1.5625
1.0,3.0,1.0,4.348837209302325,1.375,6.785714285714285,6.8235294117647065,1.5625
1.0,3.0,1.0,3.0930232558139537,1.75,6.142857142857142,7.882352941176473,2.40625
2.0,4.0,1.0,3.511627906976744,1.0,6.142857142857142,6.294117647058824,2.6875
1.0,4.0,1.0,1.8372093023255813,1.0,7.428571428571428,7.882352941176473,1.84375
2.0,5.0,1.0,3.0930232558139537,1.0,7.428571428571428,7.352941176470588,1.84375
2.0,2.0,1.0,3.302325581395349,1.0,8.5,7.352941176470588,2.40625
2.0,4.0,1.0,4.767441860465116,1.0,8.714285714285714,7.352941176470588,2.6875
2.0,3.0,1.0,2.674418604651163,2.125,8.714285714285714,7.352941176470588,3.25
2.0,1.0,1.0,3.511627906976744,1.5625,7.642857142857142,8.411764705882351,2.40625
2.0,4.0,1.0,3.0930232558139537,1.75,6.142857142857142,6.294117647058824,2.6875
2.0,5.0,1.0,3.0930232558139537,1.0,7.428571428571428,10.0,1.84375
2.0,5.0,1.0,2.883720930232559,1.0,6.142857142857142,8.411764705882351,1.84375
1.0,5.0,1.0,3.0930232558139537,1.0,6.142857142857142,7.882352941176473,1.5625
1.0,5.0,1.0,3.0930232558139537,1.0,7.642857142857142,10.0,1.84375
2.0,5.0,1.0,4.767441860465116,1.0,8.285714285714285,7.352941176470588,1.5625
1.0,5.0,1.0,3.9302325581395348,1.5625,6.142857142857142,6.294117647058824,2.6875
1.0,4.0,1.0,3.0930232558139537,1.0,6.142857142857142,8.941176470588236,3.8125
1.0,4.0,1.0,3.511627906976744,1.0,7.428571428571428,7.352941176470588,2.125
1.0,5.0,1.0,2.046511627906977,1.0,6.142857142857142,7.882352941176473,3.8125
2.0,4.0,1.0,3.0930232558139537,1.9375,6.142857142857142,9.470588235294116,2.6875
2.0,5.0,1.0,4.1395348837209305,2.125,6.142857142857142,10.0,4.09375
1.0,5.0,1.0,2.4651162790697674,1.0,6.142857142857142,8.941176470588236,2.40625
2.0,4.0,1.0,2.883720930232559,1.0,6.142857142857142,7.882352941176473,2.40625
1.0,4.0,1.0,2.674418604651163,1.0,6.999999999999999,8.941176470588236,3.53125
2.0,5.0,1.0,4.348837209302325,2.125,8.285714285714285,10.0,2.96875
2.0,2.0,1.0,3.511627906976744,1.75,7.428571428571428,6.294117647058824,2.40625
2.0,3.0,1.0,3.9302325581395348,1.0,7.428571428571428,10.0,3.25
2.0,3.0,4.0,4.767441860465116,1.0,7.428571428571428,6.8235294117647065,2.96875
2.0,3.0,3.0,2.674418604651163,1.75,6.571428571428572,5.764705882352941,2.96875
