sexo,escol,Tam_loc,agg_judicial_institutional_trust,agg_law_compliance_motivation,agg_legal_cynicism_extrajudicial_justice,agg_police_trust_and_legitimacy
2.0,5.0,1.0,3.625,6.823529411764706,4.375,3.25
1.0,3.0,1.0,3.625,6.294117647058823,2.575,1.0
1.0,2.0,1.0,2.125,6.294117647058823,4.375,1.0
2.0,4.0,1.0,2.5,5.764705882352941,2.8,2.125
2.0,4.0,1.0,2.5,6.294117647058823,2.575,1.0
2.0,2.0,1.0,4.75,6.294117647058823,2.575,1.0
2.0,3.0,1.0,2.6875,5.235294117647059,3.475,2.125
2.0,3.0,1.0,3.8125,,3.9250000000000003,8.875
1.0,4.0,1.0,2.6875,7.882352941176471,2.8,2.125
2.0,5.0,1.0,,6.294117647058823,3.6999999999999997,1.0
1.0,2.0,1.0,3.625,3.6470588235294117,2.8,2.125
1.0,3.0,1.0,,7.882352941176471,3.25,3.25
2.0,3.0,1.0,4.75,7.882352941176471,2.35,1.0
2.0,3.0,1.0,4.5625,5.235294117647059,3.25,1.0
2.0,3.0,1.0,3.4375,5.764705882352941,2.8,2.125
1.0,2.0,1.0,2.6875,5.235294117647059,3.25,2.125
1.0,2.0,1.0,6.4375,3.6470588235294117,2.8,1.0
2.0,2.0,1.0,5.125,1.5294117647058822,2.125,2.125
1.0,3.0,1.0,3.625,5.235294117647059,3.6999999999999997,3.25
1.0,4.0,1.0,3.8125,6.294117647058823,3.025,1.0
2.0,3.0,1.0,,6.823529411764706,2.575,2.125
1.0,3.0,1.0,,5.235294117647059,3.025,2.125
1.0,3.0,1.0,2.5,5.764705882352941,2.8,1.0
1.0,2.0,1.0,3.8125,8.411764705882353,3.475,1.0
1.0,4.0,1.0,3.25,7.882352941176471,3.25,1.0
2.0,5.0,1.0,3.4375,7.352941176470588,3.475,2.125
2.0,3.0,1.0,2.6875,6.294117647058823,3.025,2.125
1.0,4.0,1.0,2.6875,6.294117647058823,4.6,2.125
1.0,3.0,1.0,,5.764705882352941,3.9250000000000003,3.25
2.0,4.0,1.0,4.0,5.235294117647059,2.8,2.125
2.0,3.0,1.0,2.3125,6.294117647058823,3.025,2.125
1.0,3.0,1.0,,4.705882352941177,2.35,2.125
1.0,3.0,1.0,,5.235294117647059,2.125,3.25
2.0,3.0,1.0,,5.235294117647059,2.575,3.25
1.0,4.0,1.0,3.0625,5.764705882352941,3.025,2.125
2.0,3.0,1.0,2.875,4.705882352941177,2.8,2.125
1.0,5.0,1.0,3.625,6.823529411764706,2.8,2.125
2.0,4.0,1.0,3.4375,6.823529411764706,2.8,1.0
1.0,4.0,1.0,2.125,5.235294117647059,2.575,1.0
1.0,4.0,1.0,3.25,6.823529411764706,2.575,4.375
2.0,3.0,1.0,,6.823529411764706,4.6,2.125
2.0,5.0,1.0,,6.823529411764706,3.025,2.125
1.0,3.0,1.0,1.75,7.352941176470588,2.575,2.125
2.0,4.0,1.0,4.375,3.1176470588235294,2.575,3.25
2.0,3.0,1.0,,7.882352941176471,2.8,1.0
2.0,4.0,1.0,1.375,6.294117647058823,3.025,1.0
1.0,3.0,1.0,4.375,5.235294117647059,4.15,4.375
1.0,4.0,1.0,3.4375,6.294117647058823,2.35,3.25
2.0,4.0,3.0,,5.764705882352941,3.025,2.125
1.0,3.0,3.0,,4.705882352941177,3.6999999999999997,2.125
1.0,1.0,3.0,,5.235294117647059,3.6999999999999997,2.125
1.0,1.0,3.0,2.3125,,1.45,3.25
2.0,4.0,3.0,,5.764705882352941,3.025,2.125
1.0,4.0,3.0,,6.294117647058823,3.475,2.125
1.0,3.0,3.0,3.8125,5.235294117647059,3.25,2.125
2.0,3.0,3.0,2.125,,2.575,3.25
1.0,4.0,3.0,,6.294117647058823,3.475,2.125
2.0,3.0,3.0,3.25,5.764705882352941,2.35,2.125
1.0,2.0,3.0,4.1875,5.764705882352941,2.575,2.125
1.0,3.0,3.0,,1.5294117647058822,1.9,3.25
1.0,3.0,3.0,3.625,6.294117647058823,3.25,2.125
1.0,3.0,3.0,3.25,5.235294117647059,4.6,2.125
2.0,2.0,3.0,,5.235294117647059,2.575,2.125
2.0,1.0,3.0,,6.294117647058823,2.8,2.125
1.0,3.0,3.0,3.25,5.235294117647059,4.6,2.125
1.0,3.0,3.0,3.625,6.294117647058823,3.25,2.125
2.0,3.0,3.0,,5.764705882352941,2.575,2.125
2.0,3.0,3.0,1.9375,,1.2249999999999999,3.25
1.0,3.0,3.0,,4.705882352941177,3.6999999999999997,2.125
1.0,4.0,3.0,1.9375,6.294117647058823,1.675,2.125
1.0,2.0,3.0,,5.235294117647059,3.6999999999999997,2.125
1.0,3.0,3.0,2.3125,,2.125,3.25
1.0,4.0,1.0,1.9375,6.294117647058823,1.675,2.125
2.0,2.0,1.0,,5.235294117647059,3.25,2.125
1.0,3.0,1.0,3.8125,5.235294117647059,3.25,2.125
1.0,2.0,1.0,1.75,7.352941176470588,1.675,4.375
2.0,3.0,1.0,4.1875,5.235294117647059,4.6,2.125
1.0,3.0,1.0,4.1875,5.764705882352941,2.575,2.125
2.0,3.0,1.0,,5.235294117647059,3.25,2.125
1.0,2.0,1.0,1.9375,1.5294117647058822,1.675,4.375
