sexo,escol,Tam_loc,agg_climate_change_risk_perception,agg_environmental_knowledge_self_efficacy,agg_environmental_problem_salience,agg_pro_environmental_civic_engagement
2.0,1.0,1.0,2.125,5.344827586206897,2.125,8.875
1.0,4.0,1.0,1.0,7.206896551724138,3.25,9.4375
2.0,5.0,1.0,2.125,7.8275862068965525,4.9375,8.875
1.0,3.0,1.0,1.0,8.758620689655173,2.6875,8.875
2.0,3.0,1.0,1.0,6.586206896551724,3.25,8.875
2.0,4.0,1.0,1.0,7.206896551724138,1.5625,8.875
2.0,2.0,1.0,3.25,6.8965517241379315,3.8125,6.90625
2.0,4.0,1.0,1.0,7.517241379310345,2.6875,8.875
2.0,3.0,1.0,1.0,,6.0625,8.875
2.0,4.0,1.0,3.25,6.8965517241379315,1.5625,8.875
1.0,2.0,1.0,3.25,5.9655172413793105,6.0625,8.875
2.0,2.0,1.0,1.0,7.8275862068965525,4.375,8.875
2.0,2.0,2.0,1.0,4.103448275862069,2.6875,9.15625
1.0,3.0,1.0,1.0,7.517241379310345,2.6875,8.875
2.0,2.0,4.0,3.25,2.2413793103448274,4.9375,8.875
2.0,3.0,1.0,3.25,5.9655172413793105,,8.875
2.0,4.0,1.0,1.0,5.344827586206897,2.125,8.875
2.0,3.0,1.0,2.125,8.137931034482758,4.375,8.875
2.0,2.0,4.0,3.25,2.2413793103448274,,8.875
2.0,1.0,1.0,1.0,5.0344827586206895,1.5625,8.875
2.0,4.0,1.0,2.125,6.586206896551724,2.6875,8.875
1.0,2.0,2.0,2.125,3.1724137931034484,3.25,8.875
1.0,3.0,1.0,2.125,8.448275862068966,4.375,8.875
1.0,3.0,4.0,1.0,1.0,3.25,8.875
2.0,2.0,1.0,3.25,,2.125,8.875
1.0,2.0,4.0,1.0,,6.625,8.875
1.0,1.0,4.0,3.25,,7.1875,8.875
2.0,4.0,2.0,2.125,,,9.15625
2.0,3.0,1.0,1.0,4.724137931034483,4.375,8.875
2.0,3.0,2.0,1.0,4.724137931034483,4.9375,8.875
2.0,5.0,2.0,2.125,5.9655172413793105,2.6875,9.71875
2.0,2.0,3.0,3.25,5.0344827586206895,3.25,8.875
2.0,3.0,1.0,3.25,,6.0625,8.875
2.0,2.0,3.0,1.0,1.6206896551724137,4.375,8.875
1.0,1.0,1.0,1.0,5.655172413793104,3.8125,8.875
2.0,1.0,1.0,2.125,1.0,5.5,8.875
2.0,2.0,1.0,3.25,4.103448275862069,2.125,8.875
1.0,1.0,2.0,1.0,8.448275862068966,3.25,8.875
2.0,3.0,3.0,1.0,7.8275862068965525,3.25,8.875
2.0,4.0,2.0,1.0,,4.9375,8.875
2.0,3.0,3.0,1.0,7.8275862068965525,3.25,8.875
2.0,1.0,1.0,1.0,4.413793103448276,2.125,8.875
2.0,1.0,1.0,1.0,1.0,4.375,8.875
2.0,2.0,1.0,2.125,7.517241379310345,7.75,8.875
1.0,1.0,1.0,3.25,4.103448275862069,6.0625,8.875
1.0,2.0,1.0,1.0,1.0,3.25,8.875
1.0,4.0,3.0,2.125,8.137931034482758,2.125,8.875
2.0,4.0,1.0,1.0,1.0,5.5,8.875
2.0,3.0,3.0,1.0,5.9655172413793105,1.5625,9.15625
1.0,4.0,1.0,1.0,7.8275862068965525,3.25,9.15625
1.0,3.0,2.0,1.0,6.586206896551724,3.25,8.875
1.0,4.0,1.0,2.125,5.344827586206897,4.375,8.875
1.0,4.0,2.0,1.0,9.068965517241379,4.375,8.875
1.0,4.0,1.0,1.0,5.9655172413793105,3.25,8.875
2.0,4.0,2.0,1.0,5.655172413793104,3.25,8.875
2.0,3.0,1.0,1.0,,8.3125,8.875
1.0,3.0,2.0,2.125,5.344827586206897,2.125,8.875
2.0,2.0,2.0,2.125,,2.6875,8.875
2.0,1.0,4.0,1.0,7.206896551724138,5.5,8.875
1.0,4.0,2.0,1.0,8.758620689655173,4.375,9.4375
2.0,2.0,1.0,1.0,7.517241379310345,3.25,8.875
1.0,3.0,1.0,1.0,6.586206896551724,6.625,8.875
2.0,3.0,1.0,1.0,,7.1875,8.875
1.0,5.0,1.0,2.125,,2.125,9.15625
1.0,4.0,1.0,2.125,2.5517241379310347,2.6875,8.875
1.0,4.0,1.0,3.25,4.413793103448276,5.5,8.875
2.0,3.0,3.0,3.25,,,8.875
1.0,3.0,2.0,1.0,1.0,4.9375,8.875
2.0,3.0,3.0,1.0,5.0344827586206895,3.8125,8.875
2.0,1.0,4.0,3.25,,2.6875,8.875
2.0,5.0,3.0,1.0,5.655172413793104,6.625,8.875
2.0,4.0,1.0,2.125,2.5517241379310347,2.6875,8.875
1.0,4.0,3.0,1.0,5.655172413793104,6.625,8.875
2.0,1.0,4.0,1.0,5.344827586206897,3.8125,8.875
2.0,2.0,3.0,3.25,,,8.875
2.0,2.0,4.0,1.0,,3.25,8.875
2.0,4.0,1.0,3.25,5.344827586206897,2.6875,8.875
2.0,2.0,3.0,2.125,,3.8125,8.875
2.0,1.0,3.0,1.0,2.2413793103448274,3.25,8.875
2.0,3.0,2.0,3.25,2.5517241379310347,4.375,9.15625
2.0,4.0,2.0,8.875,,2.125,9.71875
1.0,3.0,1.0,10.0,6.586206896551724,2.125,8.875
1.0,4.0,2.0,1.0,,4.9375,8.875
2.0,4.0,1.0,2.125,,2.125,8.875
2.0,2.0,3.0,3.25,,6.625,8.875
2.0,1.0,4.0,1.0,5.655172413793104,2.6875,8.875
2.0,1.0,3.0,3.25,,4.9375,8.875
1.0,3.0,1.0,2.125,,3.25,8.875
2.0,2.0,1.0,2.125,7.517241379310345,4.9375,9.71875
2.0,2.0,3.0,2.125,,3.25,8.875
2.0,5.0,1.0,1.0,8.137931034482758,1.5625,8.875
1.0,5.0,1.0,2.125,,2.125,9.15625
1.0,2.0,1.0,1.0,9.068965517241379,3.8125,9.4375
2.0,4.0,3.0,1.0,,,9.15625
