sexo,edad,escol,Tam_loc,wvs_agg_autocracy_support,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_democratic_system_evaluation,wvs_agg_economic_ideology,wvs_agg_gender_role_traditionalism,wvs_agg_importance_of_life_domains,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_voluntary_association_belonging,wvs_agg_work_ethic
2,35-44,2.0,4.0,10.0,4.0,7.0,7.0,1.0,7.0,6.454545454545455,7.0,5.5,3.25,10.0,8.2,5.5,1.0,4.0,1.0,10.0,4.6,2.2857142857142856,1.0,10.0,1.0,10.0,7.0,2.0,4.0
1,25-34,4.0,4.0,7.0,4.0,7.0,7.0,1.0,5.5,5.090909090909092,5.999999999999999,1.0,7.75,8.5,8.2,5.5,1.0,1.0,1.0,4.0,4.6,1.0,1.0,10.0,1.0,10.0,6.333333333333333,2.0,4.0
1,35-44,5.0,4.0,5.5,4.0,7.0,7.0,5.5,10.0,10.0,10.0,1.0,3.25,5.5,6.3999999999999995,5.5,1.0,4.0,3.25,4.0,4.6,6.142857142857142,8.333333333333334,1.0,1.0,5.5,7.0,1.0,3.25
2,35-44,1.0,4.0,,4.0,10.0,4.0,4.666666666666667,10.0,9.181818181818182,10.0,1.0,3.0,7.0,4.6,1.0,1.0,1.0,1.0,4.0,4.6,1.0,1.0,10.0,5.5,1.0,7.0,2.0,1.0
2,25-34,2.0,4.0,5.0,4.0,7.0,4.0,2.0,10.0,9.454545454545455,10.0,1.0,7.0,1.0,4.6,10.0,1.0,1.0,1.0,7.0,4.6,1.0,1.0,10.0,1.0,10.0,7.0,2.0,3.25
1,45-54,2.0,4.0,7.0,4.0,4.0,7.0,1.0,7.0,7.2727272727272725,7.0,5.5,4.5,5.5,4.6,1.0,1.0,1.0,1.0,7.0,5.178571428571429,6.142857142857142,1.0,1.0,1.0,1.0,4.333333333333333,1.0,1.0
2,45-54,1.0,4.0,5.0,4.0,7.0,4.0,3.0,1.0,1.8181818181818181,1.0,5.5,5.5,5.5,6.3999999999999995,5.5,1.0,1.0,1.0,4.0,4.6,1.6428571428571428,2.6666666666666665,1.0,5.5,10.0,2.6666666666666665,2.0,3.25
2,19-24,3.0,4.0,5.999999999999999,4.0,7.0,7.0,3.25,7.0,5.363636363636363,7.0,1.0,5.5,10.0,10.0,5.5,1.0,4.0,1.0,4.0,5.178571428571429,2.2857142857142856,1.0,10.0,7.75,1.0,7.0,2.0,3.25
1,0-18,3.0,4.0,5.0,4.0,4.0,7.0,8.75,1.0,1.0,1.0,1.0,10.0,10.0,8.2,5.5,1.0,2.3333333333333335,1.0,7.0,4.085714285714285,5.5,4.0,10.0,5.5,10.0,5.666666666666668,1.0,1.0
1,0-18,4.0,4.0,5.999999999999999,4.0,10.0,4.0,1.0,10.0,8.636363636363637,10.0,1.0,3.25,5.5,2.8,1.0,1.0,1.0,1.0,4.0,4.085714285714285,2.2857142857142856,1.0,10.0,5.5,1.0,7.0,1.0,7.75
1,35-44,1.0,1.0,4.0,4.0,1.0,1.0,9.666666666666666,1.0,7.0,7.0,5.5,5.5,1.0,10.0,1.0,1.0,10.0,1.0,7.0,3.828571428571429,1.6428571428571428,1.0,10.0,10.0,1.0,6.333333333333333,1.0,1.0
2,55-64,1.0,1.0,5.5,10.0,10.0,10.0,3.25,,4.0,,1.0,7.75,4.0,10.0,1.0,1.0,1.0,1.0,10.0,4.085714285714285,1.6428571428571428,1.0,10.0,5.5,10.0,6.666666666666667,1.0,4.75
2,19-24,1.0,1.0,3.0,10.0,10.0,10.0,3.25,,5.0,,1.0,8.75,10.0,6.3999999999999995,5.5,1.0,1.0,1.0,7.0,3.828571428571429,,1.0,1.0,3.25,10.0,7.0,1.0,3.25
2,25-34,1.0,1.0,1.9999999999999998,10.0,10.0,10.0,3.25,,7.6000000000000005,,1.0,5.5,1.0,8.2,1.0,1.0,1.0,1.0,10.0,4.342857142857143,6.7857142857142865,1.0,10.0,1.0,1.0,5.666666666666668,1.0,3.25
1,19-24,3.0,1.0,4.0,4.0,7.0,7.0,5.25,1.0,9.181818181818182,10.0,5.5,5.5,7.0,10.0,5.5,1.0,4.0,3.25,10.0,4.6,5.5,2.3333333333333335,10.0,3.25,10.0,7.333333333333334,1.0,7.75
