sexo,edad,escol,Tam_loc,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_outgroup_trust,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_work_ethic
2,25-34,1.0,1,,,4.0,7.0,7.0,,5.5,10.0,,1.0,6.0,5.75,1.0,1.0,4.6,5.5,5.5,1.0,1.0,1.75,10.0,10.0,1.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,3.25
2,19-24,3.0,1,4.0,5.999999999999999,7.0,4.0,7.0,3.75,8.0,8.25,7.0,1.0,5.25,5.75,5.999999999999999,1.0,4.6,1.0,1.0,3.6666666666666665,1.0,1.75,10.0,9.0,6.7857142857142865,5.0,2.0,10.0,3.571428571428571,1.0,6.666666666666667,3.0,1.0,4.75
1,25-34,1.0,1,7.0,4.0,1.0,4.0,7.0,7.25,9.0,10.0,10.0,1.0,7.5,7.0,4.0,1.0,4.6,1.0,1.0,1.3333333333333333,1.0,2.5,4.0,10.0,10.0,7.333333333333334,2.6666666666666665,1.0,1.0,1.0,3.0,3.0,1.0,4.75
1,35-44,1.0,1,1.0,1.9999999999999998,4.0,7.0,7.0,3.25,1.0,6.5,4.0,1.0,3.25,1.0,5.0,1.0,4.6,1.0,5.5,7.0,4.0,4.0,7.0,10.0,2.2857142857142856,10.0,1.0,1.0,2.2857142857142856,1.0,4.666666666666667,1.0,2.0,3.25
2,35-44,,1,,5.0,1.0,4.0,4.0,,10.0,9.25,10.0,1.0,,,5.0,1.0,2.8,1.0,1.0,,1.0,3.0,4.0,,6.142857142857142,1.0,,1.0,1.0,1.0,2.0,,1.0,3.25
1,35-44,1.0,1,1.0,4.0,1.0,7.0,4.0,7.75,7.0,7.250000000000001,10.0,4.0,5.5,9.75,4.0,1.0,6.3999999999999995,1.0,1.0,4.333333333333333,1.0,1.75,7.0,10.0,2.2857142857142856,7.0,4.333333333333333,10.0,1.0,1.0,5.0,7.0,1.0,6.25
2,25-34,2.0,1,2.0,3.0,1.0,4.0,1.0,5.25,8.0,5.999999999999999,10.0,1.0,3.5,7.25,4.0,1.0,10.0,1.0,,2.0,1.0,4.0,7.0,1.0,2.2857142857142856,9.0,2.0,10.0,1.0,,5.333333333333333,2.0,1.0,6.25
1,25-34,3.0,1,8.0,5.0,4.0,7.0,7.0,6.75,5.0,7.0,1.0,4.0,9.5,5.0,5.0,1.0,8.2,1.0,1.0,9.0,1.0,5.5,10.0,8.0,1.6428571428571428,3.0,7.666666666666667,10.0,1.0,1.0,2.0,1.0,1.0,7.75
2,45-54,,1,8.0,7.0,1.0,10.0,4.0,8.25,10.0,9.5,10.0,4.0,8.5,6.0,5.0,1.0,6.3999999999999995,1.0,1.0,7.0,1.0,1.75,4.0,10.0,3.571428571428571,7.0,2.0,10.0,1.0,1.0,3.0,2.0,1.0,3.25
2,65+,1.0,1,6.0,4.0,1.0,1.0,4.0,5.75,7.0,5.75,7.0,4.0,5.5,7.0,4.0,1.0,1.0,1.0,5.5,7.0,1.0,3.25,1.0,8.0,2.9285714285714284,5.333333333333333,4.0,10.0,1.0,1.0,4.333333333333333,1.0,1.0,3.25
