sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,55-64,3.0,3.0,3.0,2.0,9.25,1.0,7.0,7.75,1.0,1.0,4.0,1.4285714285714284,4.0,1.0,1.0,6.707317073170733,6.25,6.3999999999999995,8.0,5.5,8.2,5.5,7.0,1.0,8.2,10.0,1.0,8.2,2.8,2.3333333333333335,10.0,10.0,1.0,1.0,7.0,2.125,3.25,3.571428571428571,2.125,10.0,1.0,10.0,4.15,4.0,7.6000000000000005,3.5,6.333333333333333,2.8,1.0,8.714285714285715,5.5,4.0,8.941176470588236,1.0,1.0,1.0,1.0,4.75
1.0,45-54,5.0,2.0,4.0,7.0,10.0,1.0,4.0,7.75,1.0,1.0,7.0,7.857142857142857,7.0,1.0,3.25,7.585365853658537,2.75,8.56,10.0,3.25,8.2,10.0,7.0,1.0,8.2,10.0,1.0,8.2,2.8,6.333333333333333,10.0,10.0,5.5,3.25,6.25,2.125,3.25,3.571428571428571,6.625,7.0,1.0,10.0,2.8,7.0,9.4,2.0,9.333333333333334,7.6,1.0,10.0,5.5,4.0,7.88235294117647,1.0,1.0,2.6363636363636367,1.0,3.25
1.0,45-54,5.0,2.0,1.0,7.0,8.5,1.9999999999999998,10.0,3.25,4.0,1.0,4.0,6.357142857142857,5.5,1.0,3.25,6.926829268292684,4.75,6.0,10.0,5.5,2.8,1.0,7.0,1.0,2.8,7.0,1.0,8.2,8.2,6.333333333333333,1.0,7.545454545454545,6.625,3.25,4.0,2.125,1.0,2.2857142857142856,4.375,7.0,1.0,10.0,5.05,8.5,9.4,4.5,5.333333333333333,6.4,1.0,10.0,1.0,8.5,8.411764705882351,1.25,1.0,1.0,4.0,6.25
2.0,55-64,2.0,2.0,3.0,8.0,7.75,1.0,4.0,7.75,4.0,1.0,7.0,7.0,7.0,1.0,1.0,8.682926829268293,5.5,5.320000000000001,9.0,7.75,8.2,1.0,9.25,1.0,6.3999999999999995,10.0,5.5,8.2,2.8,5.0,1.0,10.0,1.0,1.0,4.0,2.125,4.375,7.428571428571429,2.125,7.0,1.0,10.0,2.8,7.0,10.0,4.5,6.333333333333333,6.6,1.0,10.0,1.0,4.0,7.88235294117647,1.0,1.0,1.0,4.0,6.25
1.0,45-54,2.0,2.0,4.0,2.0,7.75,1.0,4.0,5.5,4.0,1.0,7.0,5.615384615384615,4.75,1.0,1.0,6.926829268292684,5.0,7.4799999999999995,7.0,5.5,8.2,5.5,7.0,1.0,8.2,10.0,1.0,8.2,8.2,4.333333333333333,1.0,10.0,5.5,3.25,4.75,3.25,4.375,3.571428571428571,2.125,10.0,1.0,10.0,4.15,7.0,9.4,3.5,6.666666666666667,6.6,1.0,10.0,1.0,4.0,6.8235294117647065,1.0,1.0,1.0,4.0,6.25
2.0,45-54,1.0,2.0,1.0,1.0,5.5,1.0,4.0,5.5,7.0,6.062499999999999,1.0,4.0,,1.0,5.5,6.04878048780488,3.25,5.371428571428572,1.0,1.0,10.0,10.0,6.25,1.0,6.3999999999999995,4.0,1.0,10.0,10.0,4.0,8.2,3.8636363636363633,2.125,1.0,7.0,2.125,2.125,3.571428571428571,3.25,4.0,7.0,10.0,2.8,1.0,2.8,10.0,10.0,6.4,1.0,10.0,1.0,5.5,8.941176470588236,1.0,1.0,1.0,10.0,1.0
2.0,25-34,1.0,2.0,4.0,1.0,7.75,7.0,4.0,5.5,7.0,1.0,1.0,7.5,5.999999999999999,1.0,5.5,5.884146341463415,3.25,6.3999999999999995,5.999999999999999,5.5,10.0,10.0,6.25,1.0,6.3999999999999995,10.0,1.0,10.0,10.0,7.0,10.0,6.7272727272727275,2.125,1.0,4.0,2.125,3.25,2.2857142857142856,7.75,4.0,1.0,10.0,5.05,5.5,4.6,10.0,5.666666666666668,7.2,10.0,10.0,1.0,4.0,6.8235294117647065,1.0,2.0,1.8181818181818183,10.0,5.5
1.0,55-64,3.0,2.0,4.0,1.0,7.75,1.0,1.0,7.75,4.0,4.65625,5.0,9.142857142857142,8.875,1.0,3.25,6.04878048780488,3.75,6.3999999999999995,7.0,10.0,1.0,10.0,9.25,1.0,8.2,10.0,1.0,10.0,1.0,10.0,10.0,10.0,6.625,3.25,4.0,2.125,5.5,2.2857142857142856,8.875,7.0,1.0,10.0,3.7,7.0,8.799999999999999,3.0,7.666666666666667,8.4,10.0,7.428571428571428,5.5,7.0,7.352941176470588,1.0,1.0,3.454545454545454,1.0,3.25
2.0,35-44,1.0,2.0,1.0,1.0,7.75,1.9999999999999998,4.0,5.5,7.0,4.375,3.0,6.571428571428571,5.875,1.0,3.25,3.853658536585367,6.25,6.3999999999999995,10.0,5.5,8.2,5.5,9.25,1.0,4.6,10.0,1.0,10.0,1.0,4.666666666666667,8.2,7.545454545454545,4.375,1.0,6.25,2.125,2.125,4.857142857142857,4.375,7.0,1.0,10.0,4.15,8.5,8.2,8.0,7.0,7.2,1.0,8.714285714285715,1.0,5.5,6.8235294117647065,1.0,1.0,1.0,10.0,6.25
2.0,35-44,4.0,2.0,4.0,1.0,6.25,1.0,10.0,5.5,1.0,1.0,7.0,5.714285714285714,5.5,1.0,3.25,3.1951219512195124,4.25,9.28,7.0,5.5,10.0,10.0,5.5,1.0,4.6,7.0,5.5,8.2,8.2,4.5,10.0,6.7272727272727275,4.375,3.25,7.75,3.25,6.625,2.2857142857142856,3.25,4.0,4.0,10.0,6.3999999999999995,10.0,2.2,4.5,6.0,6.0,1.0,10.0,1.0,10.0,8.941176470588236,2.0,1.0,1.8181818181818183,10.0,6.25
