sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,25-34,1.0,3.0,1.0,7.3,4.0,1.0,4.0,1.0,1.0,2.96875,3.0,9.336842105263157,6.25,1.0,1.0,4.25,5.5,2.2857142857142856,4.0,3.25,8.2,5.5,6.25,10.0,8.2,5.5,7.0,2.8,2.8,3.6666666666666665,2.8,4.75,2.125,1.0,4.75,1.0,7.75,4.375,4.375,7.0,4.0,10.0,5.0,5.5,3.769230769230769,5.5,10.0,5.2,10.0,8.714285714285715,10.0,7.0,4.666666666666667,1.0,1.75,1.75,7.0,6.7272727272727275
2.0,55-64,3.0,3.0,1.0,1.9,1.0,4.0,4.0,5.5,4.0,1.0,7.0,6.939271255060729,6.25,1.0,3.25,10.0,3.0,2.8,1.0,,,10.0,5.5,10.0,6.3999999999999995,,4.0,,1.0,1.0,4.6,7.0,1.0,1.0,4.0,1.0,10.0,7.75,2.125,7.0,7.0,10.0,10.0,4.0,2.8461538461538463,,8.333333333333334,1.0,1.0,7.428571428571428,10.0,2.5,2.0,1.0,1.75,1.75,5.5,4.681818181818182
2.0,65+,5.0,4.0,1.0,1.9,7.75,1.0,4.0,5.5,4.0,1.0,5.999999999999999,6.921052631578948,7.0,1.0,10.0,9.0,5.5,4.960000000000001,1.0,1.0,2.8,10.0,7.75,1.0,8.2,10.0,1.0,1.0,10.0,2.3333333333333335,8.2,10.0,4.375,1.0,5.5,2.125,5.5,8.875,5.5,10.0,7.0,10.0,5.0,5.5,2.3846153846153846,5.5,10.0,1.0,1.0,3.571428571428572,10.0,1.0,5.0,1.0,1.0,1.0,1.0,3.454545454545454
2.0,45-54,5.0,4.0,1.0,1.9,4.75,1.0,4.0,3.25,7.0,1.0,4.0,7.347368421052631,8.285714285714285,1.0,3.25,10.0,3.25,4.24,1.0,1.0,2.8,5.5,4.0,10.0,4.6,10.0,1.0,2.8,1.0,2.3333333333333335,6.3999999999999995,10.0,2.125,3.25,3.25,2.125,3.25,3.25,4.375,10.0,7.0,5.5,5.8,5.5,1.4615384615384615,10.0,7.0,2.6,1.0,7.428571428571428,10.0,1.0,4.0,2.6363636363636367,1.75,1.75,1.0,3.454545454545454
2.0,25-34,5.0,1.0,7.0,1.9,5.5,1.0,7.0,3.25,7.0,1.28125,8.0,7.789473684210526,7.857142857142857,1.0,3.25,5.8,5.5,3.520000000000001,1.0,10.0,8.2,10.0,7.75,10.0,4.6,10.0,1.0,10.0,1.0,6.666666666666667,6.3999999999999995,6.3999999999999995,4.375,5.5,5.5,1.0,3.25,5.5,3.25,10.0,10.0,5.5,4.6,7.0,4.230769230769231,3.5,9.0,4.6,1.0,8.714285714285715,5.5,5.5,6.0,2.227272727272727,1.75,1.75,1.0,5.909090909090908
2.0,55-64,4.0,1.0,7.0,,4.0,5.0,1.0,5.5,1.0,1.0,,3.6447368421052633,1.0,1.0,3.25,6.4,4.0,3.6,1.0,7.75,10.0,5.5,7.0,10.0,10.0,10.0,1.0,8.2,1.0,1.0,10.0,10.0,2.125,1.0,7.0,2.125,8.875,7.75,3.25,4.0,4.0,10.0,4.6,1.0,4.230769230769231,3.5,6.0,1.0,1.0,7.428571428571428,10.0,4.0,4.333333333333333,1.0,1.0,1.0,1.0,4.272727272727273
1.0,35-44,4.0,1.0,8.0,1.9,7.0,1.0,1.0,10.0,1.0,1.0,8.0,9.336842105263157,9.25,1.0,3.25,7.8,6.5,5.5,1.0,1.0,1.0,10.0,5.5,10.0,6.3999999999999995,10.0,1.0,1.0,1.0,3.6666666666666665,6.3999999999999995,8.8,1.0,1.0,1.0,3.25,6.625,10.0,5.5,10.0,7.0,5.5,5.8,1.0,1.4615384615384615,1.0,10.0,3.2,1.0,2.285714285714285,1.0,1.0,3.6666666666666665,1.4090909090909092,1.0,1.0,1.0,2.6363636363636367
2.0,25-34,3.0,1.0,1.0,1.9,7.0,1.0,1.0,7.75,7.0,1.0,8.0,8.231578947368423,10.0,1.0,3.25,7.75,3.25,2.4399999999999995,1.9999999999999998,1.0,10.0,5.5,5.5,10.0,6.3999999999999995,10.0,1.0,10.0,10.0,3.0,4.6,10.0,1.0,1.0,4.0,2.125,3.25,5.5,4.375,7.0,7.0,5.5,5.4,7.0,6.076923076923077,4.5,7.666666666666667,1.0,1.0,8.714285714285715,10.0,7.0,5.0,5.5,1.0,1.0,7.0,6.7272727272727275
1.0,55-64,3.0,1.0,8.0,1.9,7.75,1.0,1.0,5.5,4.0,3.25,,4.694736842105263,7.0,1.0,3.25,3.6,3.25,5.885714285714286,1.9999999999999998,1.0,8.2,5.5,6.25,10.0,8.2,10.0,1.0,8.2,2.8,1.0,8.2,10.0,4.375,1.0,7.0,1.0,3.25,7.75,3.25,4.0,4.0,,3.0,5.5,7.0,3.0,5.0,1.0,1.0,6.142857142857142,1.0,2.5,4.0,1.8181818181818183,1.0,1.0,4.0,1.818181818181818
2.0,25-34,5.0,4.0,5.999999999999999,1.9,7.0,1.9999999999999998,4.0,3.25,4.0,1.0,5.0,6.684210526315789,6.3999999999999995,1.0,1.0,8.6,1.0,4.960000000000001,1.9999999999999998,3.25,10.0,10.0,8.5,10.0,6.3999999999999995,7.0,1.0,10.0,2.8,5.333333333333333,6.3999999999999995,9.25,3.25,5.5,7.0,1.0,7.75,3.25,6.625,10.0,4.0,5.5,3.8,8.5,2.8461538461538463,4.0,8.0,3.8,1.0,8.714285714285715,10.0,5.5,5.0,1.0,1.0,1.0,1.0,5.09090909090909
