sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,65+,3.0,1.0,5.999999999999999,1.0,8.5,1.0,4.0,5.5,4.0,1.0,4.0,3.357142857142857,3.4999999999999996,1.0,4.0,10.0,3.1176470588235294,8.071428571428573,10.0,3.25,8.2,10.0,7.0,10.0,4.6,10.0,1.0,10.0,1.0,3.333333333333334,6.3999999999999995,10.0,1.0,3.25,7.0,2.2857142857142856,4.375,1.0,6.625,10.0,1.0,10.0,3.0,8.5,3.769230769230769,7.5,4.666666666666667,4.2,1.0,8.714285714285715,5.5,10.0,5.764705882352941,1.0,1.0,1.0,1.0,2.5
2.0,55-64,3.0,3.0,5.999999999999999,7.0,4.0,6.625,4.0,5.5,7.0,7.75,5.999999999999999,4.857142857142858,5.5,1.0,1.0,6.799999999999999,6.8235294117647065,5.178571428571429,3.0,5.5,8.2,10.0,5.5,10.0,2.8,2.5,1.0,2.8,2.8,6.333333333333333,1.0,4.0,4.375,3.25,7.75,1.0,4.375,6.625,1.0,7.0,10.0,5.5,2.2,4.0,7.0,7.5,6.333333333333333,7.0,1.0,8.714285714285715,1.0,5.5,7.882352941176471,7.0,4.0,8.5,4.0,4.75
1.0,45-54,5.0,1.0,5.999999999999999,1.0,8.5,1.0,4.0,7.75,4.0,1.0,5.0,2.928571428571429,1.75,1.0,7.0,9.4,3.9117647058823533,8.071428571428573,10.0,1.0,10.0,5.5,4.0,10.0,8.2,10.0,1.0,2.8,1.0,7.0,8.2,10.0,6.625,7.75,7.75,2.2857142857142856,2.125,1.0,5.5,7.0,1.0,10.0,3.25,8.5,3.3076923076923075,6.5,6.666666666666667,7.0,,,10.0,10.0,9.470588235294118,1.0,2.5,4.0,1.0,3.25
1.0,55-64,2.0,2.0,5.999999999999999,4.0,6.25,2.125,1.0,3.25,7.0,5.05,5.999999999999999,6.142857142857142,7.0,1.0,1.0,4.4,4.705882352941176,5.500000000000001,8.0,3.25,8.2,10.0,6.25,10.0,1.0,5.5,4.0,8.2,8.2,4.0,1.0,5.199999999999999,1.0,1.0,4.0,1.0,6.625,7.75,4.375,1.0,7.0,10.0,2.8,5.5,7.0,5.0,4.666666666666667,3.2,1.0,7.428571428571428,5.5,8.5,4.176470588235294,4.6,1.0,1.0,7.0,5.5
1.0,55-64,3.0,2.0,5.0,4.0,7.0,1.0,1.0,5.5,4.0,5.5,7.0,6.142857142857142,7.0,1.0,1.0,4.4,4.970588235294118,4.535714285714286,7.0,3.25,8.2,10.0,5.5,10.0,1.0,7.0,4.0,8.2,2.8,4.666666666666667,1.0,7.0,1.0,1.0,4.75,1.0,5.5,8.875,5.5,7.0,1.0,1.0,2.6,7.0,6.538461538461538,5.0,4.666666666666667,4.4,1.0,8.714285714285715,5.5,7.0,4.176470588235294,6.3999999999999995,1.0,1.0,4.0,4.75
2.0,65+,2.0,1.0,4.0,1.0,8.5,1.0,1.0,7.75,4.0,1.0,5.999999999999999,4.0,4.0,1.0,4.0,9.2,3.9117647058823533,7.1071428571428585,10.0,3.25,8.2,10.0,5.5,10.0,4.6,10.0,1.0,8.2,1.0,4.0,6.3999999999999995,10.0,1.0,1.0,6.25,7.428571428571429,10.0,2.125,2.125,10.0,1.0,10.0,1.8,10.0,7.923076923076923,5.0,5.666666666666668,6.2,1.0,7.428571428571428,,10.0,5.764705882352941,1.0,1.0,1.0,1.0,2.5
2.0,65+,3.0,1.0,7.0,1.0,8.5,1.0,4.0,3.25,7.0,1.2249999999999999,4.0,3.357142857142857,4.0,1.0,4.0,9.8,5.235294117647059,7.749999999999999,10.0,1.0,10.0,10.0,9.25,10.0,4.6,10.0,1.0,10.0,10.0,7.0,4.6,9.399999999999999,1.0,1.0,7.75,3.571428571428571,1.0,10.0,4.375,7.0,1.0,10.0,1.8,10.0,7.923076923076923,7.0,7.333333333333334,7.8,,,5.5,10.0,6.823529411764705,1.3,1.0,1.0,2.5,4.0
2.0,25-34,3.0,2.0,4.0,6.0,7.75,1.0,4.0,5.5,1.0,5.05,7.0,7.214285714285715,7.375,1.0,1.0,5.2,5.5,5.500000000000001,7.0,5.5,8.2,1.0,6.25,10.0,4.6,7.0,4.0,8.2,2.8,4.333333333333333,1.0,5.8,1.0,1.0,4.75,1.0,4.375,5.5,5.5,4.0,1.0,5.5,2.6,7.0,7.461538461538462,4.5,5.0,5.0,1.0,10.0,5.5,5.5,4.705882352941176,6.1,1.0,1.0,5.5,5.5
2.0,65+,2.0,3.0,1.0,3.0,8.5,1.0,4.0,5.5,7.0,5.2749999999999995,5.999999999999999,4.214285714285715,3.5714285714285716,1.0,4.0,6.799999999999999,4.705882352941176,6.071428571428571,5.0,5.5,2.8,5.5,7.0,10.0,4.6,7.0,1.0,8.2,1.0,6.666666666666667,6.3999999999999995,8.2,2.125,1.0,5.5,1.0,8.875,2.125,2.125,7.0,4.0,1.0,2.0,,7.461538461538462,5.0,7.333333333333334,7.0,1.0,6.142857142857142,10.0,10.0,6.294117647058823,3.1,1.0,1.0,1.0,4.0
1.0,65+,3.0,1.0,4.0,1.0,9.25,1.0,7.0,5.5,4.0,1.2249999999999999,7.0,4.428571428571429,1.75,1.0,1.0,8.8,6.294117647058823,7.1071428571428585,10.0,3.25,10.0,5.5,10.0,10.0,6.3999999999999995,10.0,1.0,8.2,1.0,6.666666666666667,4.6,10.0,1.0,1.0,7.0,3.571428571428571,8.875,3.25,3.25,7.0,1.0,10.0,1.8,10.0,7.923076923076923,4.0,7.333333333333334,8.4,1.0,10.0,1.0,10.0,8.941176470588236,1.0,1.0,1.75,2.5,2.5
