sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,25-34,5.0,2.0,4.0,5.0,4.0,7.0,7.0,5.5,4.0,2.4,1.9999999999999998,2.2857142857142856,7.75,1.0,1.0,7.545454545454545,4.5,8.137931034482758,10.0,5.5,8.2,10.0,9.25,10.0,8.2,8.5,1.0,2.8,1.0,2.3333333333333335,10.0,6.7857142857142865,3.25,1.0,5.5,2.2857142857142856,5.5,3.25,4.857142857142857,4.0,4.0,10.0,4.6,5.5,2.3846153846153846,1.0,9.333333333333334,1.0,1.0,5.5,1.0,7.0,6.0,2.5,4.0,4.6,1.0,4.0
1.0,55-64,1.0,4.0,4.0,5.0,4.0,5.0,1.0,7.75,4.0,1.0,5.0,4.214285714285714,9.399999999999999,1.0,3.25,5.909090909090908,5.25,7.517241379310345,8.0,3.25,2.8,5.5,4.0,10.0,8.2,10.0,5.5,1.0,2.8,1.0,6.3999999999999995,8.714285714285715,1.0,1.0,1.9999999999999998,1.0,10.0,5.5,2.2857142857142856,10.0,4.0,,4.6,2.5,1.4615384615384615,7.5,7.333333333333334,1.0,1.0,2.500000000000001,,4.0,3.333333333333334,1.0,1.0,4.6,2.5,2.5
2.0,25-34,5.0,4.0,8.0,8.0,4.0,1.0,7.0,5.5,4.0,1.0,4.0,5.2857142857142865,7.375,10.0,1.0,8.568181818181817,2.75,3.7931034482758617,8.0,5.5,2.8,10.0,1.75,10.0,6.3999999999999995,7.0,1.0,1.0,1.0,1.0,10.0,6.7857142857142865,2.125,5.5,1.75,1.0,10.0,5.5,6.142857142857142,7.0,4.0,10.0,4.6,1.0,4.692307692307692,1.0,9.333333333333334,2.6666666666666665,10.0,10.0,10.0,7.0,4.0,1.0,1.0,1.0,4.0,1.7499999999999998
2.0,0-18,3.0,2.0,7.0,2.0,4.0,1.9999999999999998,4.0,7.75,1.0,1.0,1.0,3.357142857142857,2.125,1.0,5.5,5.499999999999999,6.25,6.896551724137931,7.0,3.25,2.8,10.0,3.25,10.0,10.0,8.5,1.0,1.0,2.8,5.666666666666668,1.0,9.357142857142856,1.0,3.25,4.0,3.571428571428571,3.25,3.25,4.857142857142857,7.0,7.0,5.5,4.6,1.0,1.9230769230769231,8.0,7.333333333333334,2.3333333333333335,1.0,3.999999999999999,10.0,5.5,4.666666666666667,2.5,3.0,3.6999999999999997,10.0,3.25
1.0,45-54,3.0,1.0,3.0,10.0,4.0,4.0,4.0,5.5,7.0,1.0,1.9999999999999998,4.214285714285714,8.875,1.0,3.25,10.0,3.25,7.206896551724139,5.999999999999999,1.0,1.0,10.0,4.75,10.0,8.2,8.5,5.5,1.0,1.0,1.0,10.0,6.7857142857142865,5.5,3.25,4.0,2.2857142857142856,5.5,5.5,7.428571428571429,10.0,4.0,1.0,4.6,4.0,1.4615384615384615,2.0,7.0,1.0,1.0,5.5,10.0,7.0,3.0,4.25,3.0,2.8,2.5,1.0
1.0,35-44,3.0,4.0,4.0,5.0,2.5,1.9999999999999998,4.0,5.5,4.0,3.6,1.0,2.607142857142857,8.875,1.0,3.25,10.0,7.75,7.206896551724139,5.0,7.75,8.2,5.5,4.75,10.0,6.3999999999999995,7.0,5.5,1.0,1.0,4.0,6.3999999999999995,6.7857142857142865,5.5,3.25,7.75,2.2857142857142856,10.0,7.75,6.142857142857142,10.0,4.0,5.5,4.6,4.0,2.3846153846153846,4.0,10.0,1.0,1.0,5.5,10.0,10.0,4.0,2.5,2.0,5.5,1.0,1.0
1.0,0-18,3.0,4.0,7.0,5.0,4.75,1.9999999999999998,1.0,7.75,7.0,1.0,3.0,2.071428571428571,4.375,1.0,5.5,8.159090909090907,2.0,7.517241379310345,7.0,1.0,8.2,10.0,6.25,10.0,10.0,7.0,5.5,2.8,2.8,3.333333333333334,6.3999999999999995,8.071428571428573,3.25,1.0,6.25,3.571428571428571,3.25,3.25,4.857142857142857,4.0,4.0,10.0,4.6,4.0,1.0,2.5,8.333333333333334,1.3333333333333333,1.0,7.000000000000001,10.0,5.5,6.0,1.0,7.0,7.3,7.0,6.25
1.0,45-54,3.0,3.0,10.0,10.0,3.25,1.0,7.0,5.5,4.0,1.0,1.0,2.2857142857142856,6.25,1.0,5.5,7.749999999999999,4.0,5.0344827586206895,4.0,3.25,8.2,5.5,2.5,10.0,6.3999999999999995,7.0,1.0,1.0,8.2,1.0,8.2,8.071428571428573,4.375,3.25,7.0,1.0,1.0,3.25,7.428571428571429,7.0,4.0,5.5,4.6,4.0,1.0,1.0,10.0,1.0,1.0,3.999999999999999,10.0,5.5,5.333333333333333,3.25,9.0,8.2,4.0,2.5
2.0,19-24,3.0,4.0,5.999999999999999,8.0,3.25,1.0,1.0,5.5,4.0,2.0,1.9999999999999998,3.1428571428571432,4.75,1.0,3.25,8.159090909090907,6.25,8.448275862068964,9.0,1.0,2.8,10.0,7.0,10.0,6.3999999999999995,10.0,1.0,8.2,1.0,2.6666666666666665,6.3999999999999995,9.357142857142856,2.125,1.0,7.0,2.2857142857142856,1.0,5.5,6.142857142857142,7.0,4.0,10.0,4.6,4.0,1.9230769230769231,6.5,8.333333333333334,2.0,1.0,2.500000000000001,10.0,2.5,3.6666666666666665,1.0,2.0,2.8,5.5,2.5
1.0,35-44,2.0,4.0,7.0,4.0,4.0,4.0,4.0,3.25,7.0,1.0,4.0,4.642857142857142,6.25,1.0,1.0,4.477272727272727,5.5,5.732758620689655,10.0,3.25,1.0,10.0,4.0,10.0,8.2,10.0,1.0,2.8,1.0,1.0,6.3999999999999995,8.071428571428573,2.125,1.0,4.75,3.571428571428571,10.0,3.25,4.857142857142857,4.0,7.0,10.0,5.4,4.0,1.9230769230769231,5.5,4.0,1.0,1.0,1.0,10.0,,5.666666666666668,4.0,2.0,1.9,1.0,3.25
