sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,65+,3.0,4.0,1.9999999999999998,1.0,10.0,1.0,7.0,4.0,7.0,1.4,5.0,3.9302325581395356,4.0,1.0,4.0,7.6,4.75,9.1,3.0,5.5,8.2,5.5,10.0,10.0,6.3999999999999995,10.0,5.5,8.2,8.2,2.3333333333333335,4.6,10.0,2.2857142857142856,1.0,6.25,3.25,7.75,5.5,5.5,1.0,10.0,10.0,2.25,10.0,6.538461538461538,1.5,8.0,4.0,1.0,10.0,5.5,8.5,6.6,1.0,1.0,1.0,7.0,6.25
1.0,65+,5.0,4.0,5.999999999999999,1.0,6.25,1.9999999999999998,10.0,4.0,1.0,2.4,1.0,4.767441860465117,1.375,1.0,4.0,8.6,3.75,6.333333333333333,7.0,3.25,8.2,10.0,6.25,10.0,4.6,10.0,5.5,8.2,8.2,6.666666666666667,10.0,10.0,3.571428571428571,1.0,7.0,4.375,5.5,2.125,3.25,4.0,5.5,10.0,1.8,5.5,6.538461538461538,7.0,10.0,5.4,1.0,10.0,1.0,8.5,6.6,1.0,1.0,1.75,1.0,4.75
1.0,65+,5.0,4.0,3.0,1.0,10.0,3.0,10.0,7.0,1.0,1.6,,3.0930232558139537,2.8000000000000003,1.0,4.0,5.8,3.75,8.666666666666666,1.9999999999999998,5.5,8.2,5.5,9.25,10.0,10.0,2.8,1.0,2.8,8.2,4.0,1.0,5.3125,3.571428571428571,3.25,5.5,1.0,6.625,2.125,7.75,10.0,10.0,10.0,3.333333333333334,5.5,3.769230769230769,3.0,8.666666666666666,3.6,1.0,10.0,10.0,1.0,5.8,1.0,1.8181818181818183,2.5,1.0,3.25
2.0,65+,2.0,4.0,1.0,1.0,6.25,5.999999999999999,4.0,7.0,4.0,1.8,8.0,8.325581395348838,4.6000000000000005,1.0,4.0,7.5,2.0,6.1000000000000005,1.0,1.0,8.2,1.0,6.25,10.0,2.8,6.3999999999999995,1.0,8.2,1.0,10.0,1.0,8.5,1.0,1.0,3.25,2.125,10.0,6.625,5.5,7.0,5.5,10.0,2.6,10.0,2.3846153846153846,5.0,5.0,3.6,1.0,4.857142857142858,10.0,1.0,2.6,1.0,1.8181818181818183,1.75,1.0,5.5
2.0,25-34,2.0,4.0,4.0,1.0,,4.0,4.0,7.0,7.0,1.8,8.0,4.445438282647585,4.0,1.0,1.0,4.666666666666667,4.5,,7.0,7.75,8.2,,1.0,10.0,6.3999999999999995,2.8,1.0,1.0,8.2,4.666666666666667,1.0,3.999999999999999,2.2857142857142856,3.25,6.25,1.0,5.5,4.375,6.625,1.0,10.0,,2.0,7.0,7.923076923076923,5.0,7.0,3.8,1.0,4.857142857142858,5.5,2.5,7.0,1.0,1.0,1.0,7.0,7.0
2.0,55-64,3.0,3.0,8.0,5.0,7.0,1.0,4.0,7.0,7.0,1.0,10.0,10.0,10.0,5.5,1.0,5.0,5.25,,1.0,10.0,10.0,1.0,10.0,10.0,4.6,10.0,1.0,10.0,,7.0,1.0,9.25,7.428571428571429,1.0,1.0,2.125,7.75,3.25,5.5,4.0,10.0,,1.8,10.0,6.076923076923077,5.0,5.0,5.0,1.0,10.0,5.5,1.0,4.6,1.0,1.0,1.0,1.0,6.25
2.0,65+,3.0,3.0,5.999999999999999,1.0,10.0,5.0,7.0,7.0,1.0,1.4,7.0,5.514950166112957,7.0,1.0,1.0,2.6,5.75,5.666666666666666,3.0,5.5,8.2,5.5,5.5,10.0,2.8,10.0,1.0,8.2,2.8,5.0,1.0,9.0625,3.571428571428571,1.0,1.75,1.0,6.625,8.875,4.375,10.0,10.0,,2.2,7.0,4.692307692307692,,5.666666666666668,5.5,1.0,2.285714285714285,10.0,,4.6,10.0,1.0,1.0,1.0,4.0
1.0,35-44,4.0,3.0,,1.0,7.0,1.0,7.0,4.0,7.0,1.0,8.0,6.86046511627907,,1.0,1.0,6.5,5.333333333333333,7.75,4.0,5.5,8.2,10.0,10.0,10.0,2.8,,1.0,8.2,8.2,4.0,2.8,7.500000000000001,1.0,1.0,5.5,2.125,7.75,3.25,2.125,4.0,5.5,,1.8,,4.461538461538462,7.0,5.0,1.0,1.0,10.0,5.5,2.5,5.8,1.0,2.6363636363636367,2.5,4.0,6.25
1.0,25-34,3.0,4.0,5.0,5.0,7.0,9.0,4.0,10.0,4.0,2.6,5.999999999999999,7.069767441860466,6.25,1.0,1.0,7.0,4.25,5.5,10.0,5.5,8.2,5.5,4.0,10.0,2.8,6.3999999999999995,10.0,8.2,8.2,1.3333333333333333,1.0,4.75,2.2857142857142856,1.0,6.25,1.0,5.5,5.5,3.25,7.0,10.0,1.0,2.8,1.0,4.230769230769231,4.0,3.333333333333334,1.6,1.0,6.142857142857142,10.0,7.0,4.6,1.0,4.272727272727273,4.0,1.0,4.75
1.0,55-64,5.0,4.0,5.5,1.0,8.5,1.0,4.0,7.0,7.0,1.4,7.0,5.186046511627907,6.625,1.0,4.0,8.4,6.25,7.300000000000001,3.0,3.25,8.2,10.0,6.25,10.0,6.3999999999999995,,5.5,2.8,2.8,6.333333333333333,2.8,6.25,3.571428571428571,1.0,5.5,1.0,10.0,4.375,6.625,7.0,10.0,5.5,4.0,,3.769230769230769,4.0,7.333333333333334,5.4,1.0,10.0,5.5,1.0,6.6,1.0,1.0,1.0,1.0,4.75
