sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,55-64,3.0,3.0,9.0,5.0,4.0,8.0,1.0,7.75,4.0,5.2,1.0,8.15909090909091,1.375,10.0,2.8,7.0,4.5,5.0,1.0,3.25,1.0,5.5,4.0,10.0,6.3999999999999995,1.0,4.0,1.0,8.2,6.666666666666667,8.2,1.5999999999999999,5.5,7.75,2.5,1.0,1.0,5.5,5.5,10.0,7.0,1.0,4.6,1.0,1.0,10.0,10.0,5.6,,,1.0,5.5,7.666666666666667,5.75,2.5,9.25,1.0,3.25
1.0,19-24,4.0,3.0,4.0,8.0,5.5,1.0,1.0,7.75,4.0,5.4,5.0,7.750000000000001,3.5714285714285716,1.0,2.8,8.0,3.75,4.300000000000001,1.0,1.0,8.2,1.0,7.0,10.0,6.3999999999999995,7.0,4.0,2.8,1.0,8.333333333333334,1.0,4.6000000000000005,2.125,1.0,3.25,2.125,10.0,3.25,6.625,10.0,7.0,5.5,4.6,5.5,1.5,8.5,9.0,7.6,1.0,8.2,10.0,5.5,4.333333333333333,9.5,1.75,2.5,7.0,2.5
1.0,25-34,5.0,4.0,7.0,1.0,7.75,7.0,4.0,5.5,4.0,1.4,1.9999999999999998,5.704545454545454,4.0,5.5,2.8,6.4,1.25,5.666666666666666,5.0,1.0,2.8,5.5,6.25,10.0,8.2,8.5,1.0,8.2,1.0,2.6666666666666665,1.0,5.199999999999999,3.25,3.25,5.5,2.125,5.5,1.0,5.5,10.0,7.0,10.0,5.0,2.5,1.5,9.5,6.666666666666667,2.8,1.0,10.0,5.5,1.0,3.6666666666666665,3.75,4.75,7.0,4.0,3.25
2.0,25-34,4.0,1.0,4.0,1.0,7.0,3.0,4.0,7.75,1.0,1.0,1.0,2.0227272727272725,5.875,1.0,2.8,5.6,2.25,4.75,1.0,1.0,8.2,5.5,8.5,1.0,8.2,8.5,1.0,10.0,8.2,4.0,2.8,10.0,3.25,1.0,2.5,1.0,4.375,7.75,7.75,4.0,7.0,5.5,4.6,5.5,1.0,5.5,7.0,1.0,1.0,10.0,10.0,1.0,7.0,1.0,2.5,4.0,4.0,7.75
1.0,35-44,3.0,2.0,4.0,1.0,7.0,1.9999999999999998,4.0,7.75,1.0,1.0,7.0,8.363636363636363,7.0,1.0,1.0,4.4,2.75,4.6000000000000005,1.0,7.75,8.2,5.5,8.5,10.0,6.3999999999999995,5.5,4.0,8.2,10.0,1.0,2.8,2.8000000000000003,2.125,3.25,1.75,1.0,4.375,2.125,8.875,10.0,7.0,10.0,7.0,,3.4999999999999996,7.0,9.0,1.0,1.0,10.0,10.0,1.0,3.6666666666666665,1.0,1.75,3.25,4.0,4.75
1.0,45-54,3.0,4.0,4.0,4.0,8.0,8.0,1.0,10.0,4.0,9.333333333333334,5.999999999999999,7.903409090909092,1.5000000000000002,5.5,2.8,7.8,4.75,4.6000000000000005,1.0,5.5,1.0,10.0,9.25,10.0,10.0,4.0,4.0,1.0,1.0,9.0,4.6,2.1999999999999997,8.875,5.5,9.25,1.0,1.0,3.25,7.75,10.0,7.0,10.0,1.7999999999999998,2.5,2.5,5.0,5.666666666666668,9.666666666666666,,,5.5,1.0,5.0,8.666666666666666,2.5,5.5,1.0,2.5
1.0,19-24,3.0,4.0,7.0,5.0,4.0,4.0,4.0,5.5,4.0,2.6,8.0,6.727272727272728,3.625,5.5,2.8,4.6,5.5,4.8999999999999995,1.0,3.25,1.0,5.5,2.5,10.0,8.2,5.5,1.0,1.0,1.0,10.0,1.0,4.0,2.125,3.25,8.5,3.25,5.5,6.625,7.75,10.0,1.0,10.0,5.0,4.0,2.5,7.5,7.0,9.2,1.0,8.2,10.0,7.0,4.666666666666667,8.75,1.75,3.25,7.0,4.75
2.0,45-54,5.0,4.0,8.0,2.0,7.75,3.0,4.0,10.0,1.0,1.6,5.0,6.428321678321678,5.0,1.0,2.8,7.4,4.25,5.5,3.0,1.0,10.0,5.5,7.0,10.0,6.3999999999999995,8.5,1.0,10.0,1.0,6.0,2.8,7.0,3.25,1.0,4.75,2.125,5.5,1.0,6.625,7.0,7.0,10.0,4.6,5.5,1.5,6.0,7.666666666666667,2.8,1.0,8.2,1.0,2.5,4.666666666666667,1.75,4.75,7.75,2.5,4.0
1.0,25-34,1.0,2.0,1.0,5.0,3.25,5.0,4.0,7.75,1.0,4.0,7.0,8.772727272727273,8.0,1.0,1.0,3.6,5.25,5.8,1.0,3.25,2.8,1.0,7.0,10.0,6.3999999999999995,5.5,1.0,8.2,1.0,1.3333333333333333,2.8,4.0,4.375,1.0,2.5,1.0,3.25,7.75,4.375,7.0,4.0,10.0,5.8,5.5,5.0,6.5,8.0,2.4,1.0,10.0,10.0,1.0,5.666666666666668,2.25,3.25,4.0,1.0,3.25
1.0,25-34,4.0,4.0,3.0,2.0,7.75,5.999999999999999,7.0,5.5,4.0,2.0,5.0,7.340909090909093,7.0,1.0,1.0,7.6,3.5,4.8999999999999995,4.0,5.5,8.2,10.0,7.0,10.0,4.6,7.0,4.0,8.2,1.0,4.333333333333333,2.8,4.0,1.0,3.25,4.75,1.0,7.75,6.625,6.625,7.0,7.0,10.0,5.0,5.5,1.5,4.0,6.333333333333333,1.4,1.0,6.399999999999999,10.0,2.5,6.0,3.0,1.0,1.0,4.0,1.7499999999999998
