sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,55-64,2.0,4.0,1.0,6.0,5.909090909090908,1.0,1.0,5.5,7.0,2.542857142857143,5.999999999999999,5.5,5.125,1.0,1.0,7.617647058823529,5.5,8.2,5.0,5.5,8.2,5.5,5.5,10.0,4.6,7.0,4.0,8.2,2.8,3.6666666666666665,1.0,5.500000000000001,1.0,1.0,5.090909090909091,1.0,7.75,1.0,2.125,7.0,7.0,10.0,6.25,7.0,5.8,5.0,6.3999999999999995,3.9117647058823533,1.0,7.428571428571428,10.0,5.5,7.187500000000001,1.3214285714285714,1.0,1.0,1.0,1.7499999999999998
1.0,65+,2.0,4.0,1.0,2.0,5.909090909090908,1.0,1.0,5.5,7.0,1.2571428571428571,7.0,5.2857142857142865,5.125,1.0,1.0,6.823529411764705,6.192307692307692,7.75,5.999999999999999,3.25,8.2,5.5,7.0,10.0,4.6,7.0,4.0,8.2,2.8,5.0,1.0,6.142857142857142,1.0,1.0,5.909090909090908,1.0,6.625,3.25,2.125,4.0,7.0,10.0,5.500000000000001,10.0,5.2,5.0,6.759999999999999,4.4411764705882355,1.0,7.428571428571428,10.0,4.0,4.9375,3.25,1.0,1.0,1.0,3.25
1.0,55-64,3.0,4.0,1.0,6.0,7.545454545454546,1.0,4.0,3.25,7.0,2.542857142857143,5.0,5.714285714285714,5.5,1.0,1.0,5.764705882352941,6.538461538461538,6.4,3.0,3.25,8.2,10.0,7.0,10.0,4.6,7.0,4.0,2.8,2.8,4.333333333333333,1.0,5.500000000000001,2.125,1.0,5.090909090909091,1.0,6.625,2.125,3.25,10.0,7.0,10.0,7.000000000000001,10.0,5.8,5.5,6.3999999999999995,4.176470588235294,1.0,6.142857142857142,10.0,4.0,7.75,3.571428571428571,1.0,1.0,1.0,1.7499999999999998
2.0,55-64,3.0,4.0,1.0,6.0,6.7272727272727275,1.0,4.0,3.25,7.0,1.0,5.999999999999999,5.5,5.875,1.0,1.0,5.499999999999999,5.5,7.75,3.0,3.25,2.8,10.0,5.5,10.0,4.6,7.0,4.0,8.2,2.8,4.0,1.0,6.142857142857142,1.0,1.0,5.090909090909091,1.0,6.625,3.25,3.25,7.0,7.0,10.0,4.75,7.0,4.6,6.0,6.039999999999999,4.970588235294118,1.0,7.428571428571428,10.0,4.0,4.9375,2.2857142857142856,1.0,1.75,1.0,4.0
1.0,25-34,5.0,4.0,1.0,3.0,5.909090909090908,1.0,7.0,1.0,7.0,1.0,5.999999999999999,5.714285714285714,5.875,1.0,1.0,5.764705882352941,6.192307692307692,8.65,4.0,3.25,8.2,5.5,5.5,10.0,4.6,7.0,4.0,8.2,2.8,3.6666666666666665,1.0,5.500000000000001,1.0,1.0,5.090909090909091,1.0,6.625,2.125,5.5,4.0,7.0,10.0,7.000000000000001,7.0,7.6000000000000005,5.0,7.119999999999998,4.176470588235294,1.0,7.428571428571428,10.0,2.5,7.75,2.2857142857142856,1.0,1.0,1.0,2.5
2.0,35-44,3.0,4.0,1.0,5.0,7.545454545454546,1.0,4.0,3.25,7.0,1.0,5.999999999999999,5.714285714285714,5.5,1.0,5.5,5.235294117647059,3.423076923076923,8.2,5.0,3.25,2.8,1.0,5.5,10.0,4.6,7.0,1.0,8.2,8.2,4.0,1.0,5.500000000000001,1.0,1.0,4.272727272727273,1.0,7.75,2.125,4.375,7.0,7.0,10.0,6.25,7.0,7.0,8.0,7.119999999999998,4.4411764705882355,1.0,7.428571428571428,10.0,4.0,3.8125,1.0,1.0,1.0,1.0,3.25
2.0,35-44,5.0,4.0,1.0,6.0,6.7272727272727275,1.0,10.0,1.0,4.0,1.0,5.999999999999999,5.714285714285714,5.5,1.0,1.0,4.705882352941176,2.730769230769231,6.4,5.0,7.75,8.2,5.5,5.5,10.0,2.8,7.0,4.0,2.8,8.2,3.333333333333334,1.0,5.500000000000001,1.0,3.25,4.272727272727273,2.5,7.75,3.25,6.625,4.0,7.0,10.0,5.500000000000001,7.0,5.8,7.5,7.4799999999999995,4.176470588235294,1.0,8.714285714285715,10.0,4.0,4.9375,2.2857142857142856,1.0,1.0,1.0,4.0
1.0,19-24,3.0,4.0,5.0,1.0,7.545454545454546,1.0,7.0,5.5,4.0,3.314285714285714,4.0,5.714285714285714,4.0,1.0,1.0,6.029411764705882,6.884615384615385,5.05,7.0,5.5,10.0,10.0,6.25,10.0,1.0,7.0,1.0,8.2,2.8,5.333333333333333,1.0,6.7857142857142865,1.0,1.0,6.7272727272727275,1.0,5.5,3.25,5.5,7.0,4.0,5.5,4.75,10.0,8.799999999999999,3.5,8.919999999999998,6.029411764705882,1.0,7.428571428571428,10.0,8.5,7.187500000000001,2.9285714285714284,3.25,3.25,1.0,4.0
2.0,65+,3.0,4.0,5.999999999999999,8.0,4.272727272727273,1.0,7.0,3.25,4.0,6.3999999999999995,3.0,4.642857142857142,4.75,1.0,1.0,7.088235294117647,8.26923076923077,4.15,7.0,5.5,8.2,1.0,6.25,10.0,6.3999999999999995,10.0,7.0,8.2,8.2,5.666666666666668,2.8,8.071428571428573,3.25,1.0,6.7272727272727275,1.0,6.625,5.5,4.375,7.0,7.0,10.0,6.25,7.0,3.4000000000000004,8.0,7.839999999999999,4.4411764705882355,1.0,7.428571428571428,5.5,7.0,6.625,2.2857142857142856,1.75,1.75,1.0,4.75
1.0,45-54,5.0,4.0,5.0,4.0,4.272727272727273,1.0,7.0,3.25,4.0,2.542857142857143,4.0,5.714285714285714,6.625,1.0,1.0,5.764705882352941,6.192307692307692,2.8,7.0,7.75,8.2,10.0,4.75,10.0,6.3999999999999995,2.5,4.0,8.2,8.2,5.333333333333333,1.0,5.500000000000001,1.0,1.0,5.090909090909091,1.0,5.5,3.25,7.75,7.0,1.0,10.0,8.5,4.0,10.0,8.0,7.839999999999999,5.764705882352941,1.0,7.428571428571428,5.5,4.0,7.75,2.607142857142857,1.0,1.0,1.0,5.5
