sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,35-44,5.0,4.0,5.0,5.5,7.0,1.9999999999999998,4.0,5.5,7.0,1.0,4.0,3.7857142857142856,4.0,1.0,1.0,6.4,8.09090909090909,5.695652173913043,7.0,7.75,8.2,5.5,7.0,10.0,6.3999999999999995,10.0,1.0,8.2,8.2,4.333333333333333,1.0,10.0,2.125,1.0,7.75,1.0,4.375,4.375,3.25,7.0,1.0,10.0,3.88,8.5,2.6363636363636367,5.0,6.869565217391305,3.8,1.0,10.0,5.5,7.0,7.882352941176471,1.3214285714285714,1.75,2.5,1.0,5.5
2.0,19-24,4.0,4.0,1.0,5.5,7.0,1.0,7.0,5.5,1.0,1.409090909090909,7.0,6.799999999999999,7.0,1.0,1.0,5.6,5.636363636363637,4.130434782608696,1.0,5.5,8.2,10.0,8.5,1.0,4.6,7.0,1.0,10.0,8.2,8.333333333333334,8.2,6.3999999999999995,3.25,5.5,4.75,1.0,10.0,3.25,1.0,4.0,10.0,5.5,2.08,7.0,7.545454545454546,3.0,7.652173913043478,6.4,10.0,1.0,5.5,2.5,5.764705882352941,3.8928571428571432,7.0,7.0,4.0,6.25
2.0,45-54,2.0,4.0,4.0,3.6999999999999997,7.0,1.0,7.0,3.25,4.0,2.2272727272727275,1.0,1.0,1.0,1.0,1.0,6.799999999999999,4.818181818181818,7.6521739130434785,7.0,3.25,8.2,10.0,6.25,1.0,6.3999999999999995,10.0,1.0,8.2,2.8,3.333333333333334,6.3999999999999995,10.0,3.25,1.0,4.0,1.0,7.75,2.125,3.25,1.0,1.0,10.0,4.15,5.5,4.818181818181818,6.0,4.91304347826087,3.0,10.0,1.0,1.0,7.0,4.705882352941176,3.571428571428571,1.0,1.0,1.0,4.0
1.0,65+,3.0,4.0,7.0,1.0,9.25,3.0,7.0,3.25,4.0,1.8181818181818183,1.9999999999999998,1.4,1.5000000000000002,1.0,4.0,9.0,4.818181818181818,6.478260869565219,10.0,3.25,8.2,1.0,7.75,5.5,4.6,10.0,1.0,8.2,2.8,5.0,6.3999999999999995,9.399999999999999,2.125,3.25,7.75,2.125,1.0,1.0,1.0,10.0,1.0,10.0,2.8,8.5,9.181818181818182,3.5,7.652173913043478,5.8,1.0,10.0,5.5,7.0,7.352941176470589,2.2857142857142856,1.0,1.0,4.0,4.0
2.0,,2.0,4.0,1.0,5.5,6.25,1.9999999999999998,4.0,5.5,4.0,1.0,4.0,4.0,4.0,1.0,1.0,7.4,8.636363636363637,8.043478260869566,7.0,3.25,8.2,5.5,8.5,1.0,8.2,10.0,4.0,10.0,2.8,3.333333333333334,6.3999999999999995,10.0,4.375,1.0,7.0,1.0,4.375,3.25,3.25,7.0,1.0,10.0,3.88,4.0,3.181818181818182,2.0,10.0,5.2,10.0,3.571428571428572,1.0,5.5,8.411764705882351,1.0,2.5,2.5,4.0,4.75
1.0,25-34,5.0,4.0,5.0,1.9,1.75,1.0,4.0,5.5,4.0,4.068181818181818,10.0,8.0,1.0,1.0,10.0,1.8,5.363636363636363,4.521739130434783,10.0,5.5,2.8,10.0,10.0,10.0,4.6,1.0,1.0,8.2,8.2,6.666666666666667,4.6,1.0,4.375,5.5,4.0,3.25,5.5,5.5,2.125,7.0,1.0,5.5,4.6,1.0,3.7272727272727266,6.0,3.739130434782609,6.0,1.0,8.714285714285715,1.0,5.5,3.1176470588235294,9.357142857142858,1.0,1.0,4.0,4.0
1.0,25-34,5.0,4.0,1.0,1.9,7.0,4.0,4.0,5.5,4.0,1.0,4.0,5.6,1.0,1.0,1.0,8.2,6.1818181818181825,3.347826086956521,7.0,1.0,10.0,10.0,9.25,10.0,6.3999999999999995,10.0,1.0,10.0,1.0,7.0,4.6,9.399999999999999,5.5,7.75,7.0,1.0,4.375,4.375,1.0,10.0,4.0,5.5,3.88,7.0,5.909090909090908,6.0,8.434782608695652,5.0,1.0,10.0,10.0,5.5,6.823529411764705,1.6428571428571428,1.0,1.0,4.0,5.5
2.0,,1.0,4.0,1.0,5.5,4.75,1.9999999999999998,7.0,5.5,7.0,2.6363636363636367,3.0,4.200000000000001,2.5,1.0,4.0,5.6,7.0,4.521739130434783,8.0,3.25,2.8,5.5,4.75,1.0,2.8,10.0,1.0,8.2,2.8,4.0,2.8,10.0,2.125,1.0,4.75,1.0,5.5,6.625,1.0,4.0,1.0,10.0,1.3599999999999999,4.0,5.363636363636363,6.0,4.91304347826087,4.6,10.0,7.428571428571428,5.5,7.0,5.764705882352941,2.607142857142857,1.0,1.0,7.0,5.5
2.0,35-44,5.0,4.0,5.0,3.6999999999999997,7.0,3.0,4.0,5.5,7.0,2.0227272727272725,4.0,4.0,4.0,1.0,1.0,6.6,6.1818181818181825,5.304347826086956,7.0,5.5,8.2,5.5,7.75,1.0,4.6,10.0,4.0,8.2,2.8,6.0,1.0,8.8,7.75,7.75,4.75,1.0,5.5,4.375,2.125,4.0,4.0,5.5,3.1600000000000006,7.0,7.000000000000001,3.0,7.652173913043478,5.4,10.0,4.857142857142858,5.5,4.0,5.764705882352941,5.821428571428571,1.75,2.5,1.0,4.75
2.0,19-24,5.0,4.0,3.0,1.9,9.25,1.9999999999999998,4.0,5.5,4.0,2.0227272727272725,5.0,5.0,2.5,1.0,1.0,7.2,7.0,6.086956521739131,5.0,3.25,8.2,10.0,9.25,5.5,4.6,10.0,4.0,8.2,2.8,3.0,1.0,8.8,2.125,1.0,4.75,3.25,5.5,3.25,2.125,10.0,4.0,5.5,4.24,7.0,8.09090909090909,2.5,10.0,4.4,10.0,1.0,5.5,4.0,6.294117647058823,1.3214285714285714,1.0,1.0,7.0,1.7499999999999998
