sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,19-24,1.0,3.0,1.9999999999999998,10.0,7.0,7.0,7.0,5.5,1.0,4.6,1.0,4.4,8.285714285714285,1.0,8.2,5.32,5.5,5.344827586206896,1.0,3.25,1.0,10.0,7.0,10.0,10.0,7.0,1.0,8.2,2.8,7.0,2.8,2.1999999999999997,3.25,1.0,1.0,1.0,6.625,7.75,6.625,4.0,7.0,10.0,10.0,4.0,2.2,1.0,4.0,1.0,1.0,7.428571428571428,10.0,1.0,9.0,5.5,1.0,1.0,7.0,4.75
2.0,25-34,3.0,3.0,1.9999999999999998,4.6,6.25,8.0,4.0,7.75,4.0,2.8,7.0,8.4,9.571428571428571,5.5,6.3999999999999995,2.08,7.75,5.0344827586206895,1.0,3.25,1.0,5.5,7.0,10.0,8.2,8.5,1.0,10.0,8.2,1.0,1.0,5.199999999999999,2.125,1.0,2.5,1.0,7.75,4.375,2.125,10.0,7.0,5.5,10.0,7.0,4.0,3.0,3.0,1.0,1.0,10.0,10.0,1.0,8.5,2.0,1.0,1.0,4.0,6.25
1.0,0-18,2.0,4.0,1.0,2.8,7.0,5.0,4.0,7.75,4.0,8.0,5.999999999999999,7.8,6.142857142857143,1.0,2.8,6.3999999999999995,2.75,2.862068965517241,10.0,3.25,8.2,5.5,6.25,10.0,2.8,5.5,4.0,8.2,2.8,7.333333333333334,2.8,5.199999999999999,3.25,1.0,5.5,1.0,8.875,3.25,2.125,4.0,4.0,10.0,10.0,7.0,9.4,4.5,8.666666666666666,9.4,10.0,1.0,1.0,5.5,9.0,5.25,2.5,3.25,7.0,3.25
1.0,65+,5.0,4.0,4.0,10.0,7.0,1.0,4.0,5.5,7.0,2.8,10.0,10.0,7.0,1.0,6.3999999999999995,6.039999999999999,5.5,6.586206896551723,10.0,1.0,8.2,5.5,7.75,10.0,6.3999999999999995,10.0,7.0,8.2,1.0,7.0,6.3999999999999995,8.2,1.0,1.0,1.0,1.0,3.25,1.0,2.125,10.0,1.0,10.0,10.0,1.0,4.6,10.0,10.0,2.8,10.0,1.0,1.0,7.0,10.0,1.0,1.0,1.75,5.5,4.75
2.0,65+,1.0,4.0,1.0,7.3,3.25,4.0,4.0,7.75,1.0,4.0,5.999999999999999,7.6000000000000005,7.0,1.0,1.0,7.66,8.5,5.344827586206896,1.0,1.0,1.0,5.5,7.0,10.0,8.2,7.0,1.0,8.2,1.0,3.333333333333334,4.6,5.8,1.0,1.0,8.5,3.25,1.0,1.0,1.0,1.0,1.0,10.0,10.0,2.5,3.4000000000000004,6.5,5.333333333333333,4.0,10.0,1.0,10.0,5.5,5.5,3.75,1.0,1.0,5.5,2.5
2.0,45-54,3.0,4.0,8.0,10.0,1.75,5.0,7.0,7.75,1.0,5.4,3.0,7.0,6.142857142857143,1.0,4.6,9.82,9.25,7.517241379310345,1.0,3.25,8.2,5.5,7.0,10.0,6.3999999999999995,7.0,4.0,8.2,8.2,6.333333333333333,4.6,4.6000000000000005,4.375,1.0,5.5,2.125,5.5,6.625,3.25,10.0,7.0,10.0,10.0,1.0,2.2,9.5,7.0,4.6,10.0,1.0,1.0,1.0,8.0,4.5,1.75,3.25,1.0,3.25
1.0,35-44,1.0,4.0,5.999999999999999,7.3,7.75,7.0,4.0,7.75,1.0,2.8,5.0,7.6000000000000005,4.0,1.0,4.6,8.2,5.25,5.655172413793104,4.0,3.25,2.8,1.0,7.0,10.0,1.0,10.0,1.0,2.8,8.2,8.333333333333334,2.8,5.199999999999999,2.125,1.0,1.0,1.0,3.25,4.375,2.125,7.0,4.0,5.5,10.0,5.5,5.2,6.5,9.333333333333334,6.799999999999999,10.0,2.285714285714285,1.0,2.5,5.5,5.0,1.75,4.75,1.0,3.25
2.0,55-64,1.0,2.0,1.0,4.6,10.0,3.0,7.0,5.5,1.0,2.8,8.0,8.6,7.857142857142857,1.0,4.6,4.06,8.25,5.344827586206896,1.0,5.5,8.2,5.5,5.5,10.0,10.0,10.0,1.0,2.8,2.8,2.0,4.6,8.8,1.0,1.0,6.25,4.375,4.375,6.625,5.5,4.0,7.0,5.5,3.2500000000000004,4.0,4.6,4.0,8.333333333333334,1.8,10.0,6.142857142857142,10.0,4.0,9.5,1.0,1.0,1.75,1.0,5.5
2.0,35-44,1.0,2.0,1.0,9.1,8.5,5.999999999999999,7.0,3.25,4.0,4.4,5.0,6.6,6.571428571428571,1.0,1.0,4.06,3.75,5.9655172413793105,7.0,1.0,8.2,1.0,3.25,10.0,6.3999999999999995,8.5,1.0,2.8,2.8,2.3333333333333335,1.0,9.399999999999999,1.0,1.0,5.5,3.25,6.625,6.625,1.0,1.0,4.0,10.0,10.0,4.0,2.2,6.0,8.333333333333334,2.6,1.0,3.571428571428572,10.0,5.5,9.5,2.75,1.0,1.75,1.0,4.75
1.0,35-44,1.0,2.0,1.0,1.9,7.75,1.9999999999999998,1.0,7.75,7.0,1.0,8.0,9.399999999999999,4.0,10.0,6.3999999999999995,8.2,8.75,2.5517241379310347,1.0,3.25,8.2,1.0,5.5,10.0,6.3999999999999995,8.5,4.0,8.2,2.8,1.0,6.3999999999999995,4.6000000000000005,3.25,1.0,5.5,1.0,10.0,7.75,7.75,7.0,7.0,10.0,9.25,7.0,1.0,10.0,10.0,1.0,10.0,10.0,10.0,5.5,9.5,1.0,1.75,4.0,1.0,4.75
2.0,35-44,1.0,2.0,1.0,9.1,1.0,5.0,7.0,5.5,4.0,4.4,10.0,7.200000000000001,9.571428571428571,1.0,2.8,9.28,9.5,6.586206896551723,4.0,3.25,2.8,1.0,5.5,10.0,10.0,7.0,1.0,2.8,2.8,3.333333333333334,1.0,7.0,2.125,1.0,4.0,2.125,6.625,5.5,3.25,1.0,7.0,5.5,10.0,5.5,1.5999999999999999,9.5,9.333333333333334,4.0,1.0,8.714285714285715,10.0,1.0,9.0,6.75,1.0,1.0,1.0,3.25
2.0,25-34,1.0,2.0,7.0,10.0,3.25,7.0,1.0,7.75,4.0,8.2,10.0,6.2,7.428571428571429,1.0,2.8,6.76,10.0,7.517241379310345,1.0,1.0,1.0,5.5,2.5,10.0,10.0,10.0,4.0,8.2,8.2,4.0,1.0,7.0,3.25,1.0,1.0,1.0,6.625,6.625,2.125,4.0,4.0,10.0,10.0,7.0,4.0,4.5,6.666666666666667,1.0,10.0,6.142857142857142,1.0,1.0,7.0,5.5,1.0,2.5,1.0,1.7499999999999998
1.0,65+,4.0,3.0,1.0,1.0,6.25,9.0,4.0,10.0,1.0,1.0,1.9999999999999998,5.999999999999999,5.285714285714285,5.5,2.8,6.76,4.25,4.103448275862069,3.0,3.25,8.2,5.5,6.25,1.0,6.3999999999999995,10.0,4.0,2.8,1.0,6.666666666666667,1.0,5.8,2.125,1.0,5.5,1.0,5.5,1.0,1.0,7.0,4.0,10.0,9.25,5.5,3.4000000000000004,10.0,7.666666666666667,5.0,1.0,8.714285714285715,10.0,5.5,6.5,1.5,1.0,1.0,7.0,5.5
