sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,55-64,1.0,1.0,8.0,9.1,5.5,7.0,7.0,5.5,1.0,7.6,3.0,4.0,5.125,1.0,2.8,8.74,7.5,4.960000000000001,4.0,1.0,2.8,5.5,3.25,10.0,6.3999999999999995,7.0,4.0,2.8,1.0,9.333333333333334,4.6,4.0,1.0,1.0,4.75,2.125,5.5,5.5,5.5,10.0,1.0,10.0,7.9230769230769225,7.0,2.2857142857142856,1.0,8.666666666666666,9.2,1.0,8.714285714285715,1.0,1.0,4.333333333333333,9.25,1.8181818181818183,3.25,1.0,1.0
2.0,55-64,2.0,1.0,4.0,7.3,4.0,4.0,1.0,7.75,1.0,1.4,4.0,4.4,4.0,1.0,2.8,8.74,5.75,3.520000000000001,1.0,3.25,8.2,5.5,5.5,10.0,6.3999999999999995,7.0,1.0,1.0,2.8,3.0,6.3999999999999995,4.6000000000000005,3.25,1.0,4.0,2.125,8.875,1.0,3.25,7.0,7.0,10.0,7.23076923076923,4.0,1.6428571428571428,7.0,5.666666666666668,3.4,1.0,10.0,1.0,1.0,5.666666666666668,2.75,2.6363636363636367,3.25,4.0,4.75
1.0,19-24,2.0,1.0,5.0,7.3,5.5,4.0,1.0,10.0,1.0,3.4,4.0,6.2,5.5,1.0,1.0,6.58,7.25,3.8799999999999994,3.0,5.5,8.2,10.0,7.0,10.0,8.2,7.0,4.0,2.8,1.0,1.0,4.6,8.2,1.0,1.0,6.25,2.125,1.0,1.0,6.625,10.0,1.0,10.0,7.23076923076923,4.0,2.9285714285714284,5.0,7.333333333333334,1.0,1.0,10.0,1.0,1.0,5.666666666666668,2.0,1.8181818181818183,3.25,7.0,5.5
2.0,55-64,2.0,1.0,9.0,5.5,2.5,3.0,7.0,7.75,1.0,3.4,5.0,5.4,2.125,1.0,2.8,6.22,3.0,5.679999999999999,1.0,3.25,8.2,5.5,3.25,10.0,6.3999999999999995,5.5,4.0,2.8,1.0,1.6666666666666667,6.3999999999999995,4.0,2.125,1.0,5.5,2.125,1.0,3.25,6.625,7.0,7.0,5.5,7.9230769230769225,4.0,4.2142857142857135,2.5,4.0,2.8,10.0,10.0,10.0,4.0,4.666666666666667,2.5,1.0,1.0,4.0,4.75
1.0,25-34,1.0,1.0,8.0,2.8,4.0,9.0,4.0,5.5,1.0,7.6,4.0,2.6000000000000005,8.5,1.0,2.8,6.22,5.25,7.84,7.0,1.0,10.0,5.5,7.0,10.0,4.6,5.5,1.0,2.8,8.2,3.333333333333334,1.0,5.199999999999999,2.125,5.5,5.5,3.25,3.25,3.25,6.625,7.0,4.0,10.0,7.9230769230769225,5.5,2.9285714285714284,5.5,2.3333333333333335,3.4,10.0,7.428571428571428,1.0,5.5,1.0,2.75,1.0,3.25,1.0,7.75
2.0,55-64,2.0,1.0,5.999999999999999,1.9,2.5,1.9999999999999998,4.0,5.5,7.0,10.0,1.0,4.0,4.0,1.0,4.6,10.0,7.75,2.8,4.0,1.0,8.2,10.0,1.75,10.0,8.2,7.0,4.0,8.2,2.8,1.0,10.0,5.199999999999999,1.0,1.0,2.5,1.0,7.75,5.5,1.0,10.0,7.0,5.5,7.23076923076923,1.0,1.0,5.5,7.0,4.6,1.0,6.142857142857142,10.0,7.0,7.0,7.75,1.0,1.0,1.0,1.0
1.0,35-44,1.0,1.0,9.0,9.1,3.25,5.0,4.0,5.5,4.0,5.6,5.0,4.6000000000000005,4.375,1.0,2.8,5.86,6.75,6.3999999999999995,3.0,3.25,2.8,10.0,5.5,10.0,6.3999999999999995,7.0,7.0,2.8,1.0,2.3333333333333335,1.0,10.0,4.375,3.25,4.75,2.125,7.75,5.5,6.625,4.0,4.0,5.5,7.23076923076923,4.0,2.2857142857142856,3.5,7.666666666666667,4.2,1.0,7.428571428571428,10.0,1.0,4.666666666666667,2.25,1.8181818181818183,3.25,1.0,3.25
2.0,25-34,4.0,1.0,5.999999999999999,5.5,4.75,1.9999999999999998,4.0,7.75,1.0,5.4,4.0,3.8,7.0,1.0,1.0,6.039999999999999,6.0,5.320000000000001,4.0,3.25,8.2,10.0,7.0,10.0,6.3999999999999995,7.0,1.0,8.2,2.8,1.6666666666666667,2.8,6.3999999999999995,1.0,1.0,4.75,2.125,5.5,3.25,4.375,4.0,7.0,10.0,7.23076923076923,4.0,1.6428571428571428,5.5,5.333333333333333,2.2,1.0,8.714285714285715,10.0,4.0,6.0,1.0,1.0,1.0,1.0,4.75
1.0,35-44,2.0,1.0,5.0,1.9,4.0,1.0,1.0,7.75,4.0,2.2,1.9999999999999998,2.1999999999999997,3.25,1.0,2.8,7.66,7.75,5.679999999999999,1.9999999999999998,3.25,8.2,10.0,7.0,10.0,6.3999999999999995,7.0,4.0,8.2,1.0,4.0,8.2,5.8,1.0,1.0,6.25,1.0,1.0,3.25,7.75,10.0,4.0,10.0,7.9230769230769225,7.0,2.9285714285714284,1.5,9.0,1.8,1.0,10.0,10.0,4.0,5.333333333333333,3.0,5.090909090909091,5.5,1.0,5.5
2.0,25-34,5.0,1.0,4.0,5.5,6.25,1.0,7.0,5.5,4.0,2.2,1.0,6.6,2.875,1.0,4.6,8.56,6.5,3.1600000000000006,1.0,1.0,1.0,10.0,7.0,10.0,6.3999999999999995,8.5,4.0,8.2,1.0,4.0,8.2,6.3999999999999995,2.125,1.0,1.0,2.125,7.75,3.25,3.25,4.0,4.0,10.0,7.23076923076923,7.0,1.6428571428571428,1.5,9.333333333333334,5.6,1.0,8.714285714285715,1.0,1.0,7.0,1.0,1.8181818181818183,1.75,1.0,3.25
1.0,45-54,2.0,1.0,3.0,10.0,3.25,4.0,4.0,7.75,4.0,1.8,1.9999999999999998,3.4,2.875,1.0,2.8,9.1,6.75,4.6,1.0,3.25,8.2,10.0,6.25,10.0,6.3999999999999995,4.0,1.0,8.2,1.0,2.6666666666666665,8.2,8.2,3.25,3.25,4.0,2.125,5.5,5.5,3.25,7.0,10.0,5.5,7.23076923076923,4.0,1.6428571428571428,1.0,6.333333333333333,3.6,10.0,6.142857142857142,1.0,2.5,5.333333333333333,3.0,1.8181818181818183,3.25,1.0,3.25
2.0,25-34,5.0,1.0,4.0,5.5,5.5,1.0,4.0,7.75,1.0,4.2,1.0,4.4,3.625,5.5,2.8,7.84,6.5,5.320000000000001,1.0,3.25,8.2,5.5,6.25,10.0,4.6,10.0,7.0,2.8,2.8,1.0,4.6,5.8,2.125,1.0,4.75,2.125,7.75,4.375,6.625,7.0,7.0,10.0,7.23076923076923,5.5,2.2857142857142856,8.5,5.333333333333333,3.8,1.0,6.142857142857142,1.0,4.0,6.0,2.5,1.8181818181818183,1.75,1.0,4.75
1.0,55-64,5.0,1.0,4.0,8.2,6.25,1.0,4.0,7.75,4.0,2.0,3.0,3.8,1.375,1.0,1.0,8.920000000000002,7.75,3.1600000000000006,1.0,5.5,8.2,1.0,7.0,10.0,8.2,10.0,1.0,1.0,1.0,2.6666666666666665,6.3999999999999995,6.3999999999999995,3.25,1.0,5.5,2.125,1.0,7.75,2.125,10.0,4.0,10.0,7.23076923076923,7.0,2.2857142857142856,8.0,8.0,3.0,1.0,8.714285714285715,1.0,1.0,7.0,2.75,1.0,1.75,1.0,4.75
2.0,45-54,2.0,1.0,7.0,10.0,2.5,5.0,1.0,10.0,4.0,5.2,1.0,3.2,3.25,1.0,6.3999999999999995,9.64,5.25,6.039999999999999,3.0,3.25,2.8,10.0,7.0,10.0,4.6,2.5,7.0,1.0,2.8,4.0,6.3999999999999995,1.5999999999999999,3.25,1.0,7.0,1.0,3.25,5.5,8.875,7.0,1.0,10.0,7.9230769230769225,1.0,1.6428571428571428,8.0,7.666666666666667,4.4,1.0,10.0,1.0,4.0,5.666666666666668,4.25,1.8181818181818183,3.25,1.0,4.75
