sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,45-54,3.0,3.0,5.0,3.0,7.75,1.9999999999999998,7.0,3.25,1.0,3.4,8.5,7.597285067873304,7.0,1.0,4.0,10.0,6.75,6.086956521739131,1.0,1.0,8.2,5.5,8.5,10.0,4.6,10.0,1.0,10.0,2.8,2.8947368421052637,8.2,9.399999999999999,1.0,1.0,4.75,1.0,10.0,1.0,5.5,10.0,1.0,10.0,10.0,5.5,2.2,6.5,7.230769230769232,2.333333333333333,1.0,7.000000000000001,10.0,1.0,6.85,2.8,1.0,1.0,1.0,4.0
2.0,35-44,3.0,3.0,5.999999999999999,3.0,7.75,1.9999999999999998,4.0,3.25,4.0,3.2,5.999999999999999,7.064171122994653,,1.0,7.0,10.0,6.5,8.043478260869566,1.0,1.0,8.2,1.0,10.0,10.0,8.2,10.0,1.0,8.2,8.2,3.842105263157895,8.2,10.0,1.0,1.0,4.75,5.5,8.875,2.125,3.25,10.0,1.0,10.0,10.0,5.5,1.0,7.0,10.0,3.6666666666666665,1.0,7.000000000000001,10.0,4.0,6.3999999999999995,3.6999999999999997,1.0,1.0,1.0,4.75
2.0,45-54,4.0,3.0,5.999999999999999,3.0,8.5,1.0,4.0,3.25,4.0,2.8,7.0,6.558823529411764,8.285714285714285,1.0,4.0,10.0,7.0,6.478260869565219,1.0,1.0,10.0,1.0,10.0,10.0,4.6,10.0,1.0,10.0,2.8,3.3684210526315788,8.2,10.0,1.0,1.0,4.0,5.5,7.75,3.25,5.5,10.0,1.0,10.0,9.181818181818182,4.0,1.5999999999999999,2.5,10.0,3.333333333333333,1.0,7.000000000000001,10.0,1.0,7.300000000000001,2.5,1.75,1.75,1.0,4.75
2.0,45-54,3.0,3.0,4.0,10.0,8.5,1.0,4.0,3.25,1.0,2.8,7.0,6.8235294117647065,10.0,1.0,4.0,10.0,6.75,6.086956521739131,1.0,1.0,8.2,5.5,10.0,10.0,8.2,10.0,1.0,10.0,8.2,3.842105263157895,6.3999999999999995,9.399999999999999,1.0,1.0,5.5,1.0,5.5,4.375,5.5,10.0,4.0,10.0,10.0,4.0,1.0,3.0,10.0,3.333333333333333,1.0,8.5,10.0,1.0,7.300000000000001,2.8,1.75,1.75,1.0,4.75
1.0,55-64,3.0,3.0,5.999999999999999,4.0,7.75,1.9999999999999998,7.0,1.0,1.0,2.8,8.0,6.64705882352941,,1.0,1.0,10.0,6.5,5.695652173913043,1.0,5.5,8.2,1.0,9.25,10.0,4.6,10.0,1.0,10.0,2.8,3.842105263157895,6.3999999999999995,10.0,1.0,1.0,6.25,5.5,6.625,3.25,2.125,10.0,1.0,10.0,10.0,5.5,3.4000000000000004,4.0,10.0,3.6666666666666665,1.0,7.000000000000001,10.0,4.0,7.300000000000001,3.4,1.75,1.75,1.0,9.25
2.0,65+,4.0,3.0,7.0,10.0,6.25,1.0,7.0,3.25,1.0,4.0,5.999999999999999,4.811764705882354,4.75,1.0,4.0,8.578947368421053,6.25,8.043478260869566,1.0,1.0,10.0,5.5,8.5,10.0,10.0,10.0,4.0,10.0,2.8,5.2631578947368425,10.0,9.399999999999999,1.0,1.0,8.5,1.0,7.75,1.0,3.25,10.0,1.0,10.0,10.0,4.0,1.5999999999999999,4.0,10.0,5.0,1.0,8.5,10.0,1.0,9.1,4.6,1.0,3.25,1.0,1.7499999999999998
2.0,25-34,4.0,3.0,7.0,4.0,6.25,1.0,7.0,3.25,1.0,3.8,4.0,5.447058823529411,4.0,1.0,4.0,8.578947368421053,6.25,8.82608695652174,1.0,1.0,10.0,10.0,10.0,10.0,8.2,10.0,4.0,10.0,2.8,4.789473684210526,10.0,10.0,1.0,1.0,1.75,1.0,8.875,4.375,5.5,10.0,1.0,5.5,8.363636363636363,4.0,7.0,4.0,10.0,4.333333333333333,10.0,8.5,10.0,1.0,6.85,4.6,1.75,1.75,1.0,1.7499999999999998
2.0,45-54,3.0,3.0,8.0,4.0,6.25,1.0,7.0,3.25,1.0,3.4,4.0,3.9647058823529413,4.0,1.0,4.0,8.578947368421053,7.25,8.82608695652174,1.0,1.0,10.0,1.0,10.0,10.0,8.2,10.0,7.0,10.0,2.8,4.789473684210526,10.0,10.0,1.0,1.0,1.75,1.0,7.75,4.375,5.5,7.0,1.0,10.0,10.0,4.0,1.5999999999999999,4.0,10.0,4.666666666666666,1.0,8.5,10.0,1.0,9.549999999999999,3.6999999999999997,1.75,2.5,1.0,1.7499999999999998
2.0,55-64,4.0,3.0,9.0,4.0,7.0,1.0,7.0,3.25,1.0,4.0,4.0,3.9647058823529413,4.0,1.0,7.0,8.342105263157894,7.0,8.434782608695652,1.0,3.25,10.0,5.5,8.5,10.0,10.0,10.0,4.0,10.0,1.0,5.2631578947368425,10.0,10.0,1.0,1.0,5.5,5.5,10.0,2.125,3.25,10.0,1.0,5.5,9.181818181818182,4.0,1.5999999999999999,4.0,10.0,5.333333333333333,1.0,7.000000000000001,10.0,1.0,9.1,4.3,1.0,4.75,1.0,1.7499999999999998
2.0,35-44,3.0,3.0,8.0,3.0,6.25,1.0,7.0,3.25,1.0,3.4,4.0,4.857142857142858,4.0,1.0,7.0,8.578947368421053,7.5,9.217391304347826,1.0,1.0,8.2,1.0,8.5,10.0,10.0,10.0,4.0,8.2,1.0,3.842105263157895,10.0,9.399999999999999,1.0,1.0,4.75,1.0,7.75,2.125,6.625,10.0,1.0,10.0,10.0,4.0,1.5999999999999999,3.5,10.0,5.0,1.0,8.5,10.0,1.0,9.1,4.0,1.0,1.75,1.0,2.5
