pair,construct_a,construct_b,n_contexts_measured,n_contexts_significant,retention_rate,mean_abs_gamma,median_abs_gamma,sign_consistency,majority_sign,n_countries,n_waves,first_wave,last_wave
wvs_agg_online_political_participation|WVS_E::wvs_agg_religious_exclusivism|WVS_F,online_political_participation,religious_exclusivism,58,48,0.828,0.0724,0.0683,0.897,1,58,1,7,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_job_scarcity_gender_discrimination|WVS_C,gender_role_traditionalism,job_scarcity_gender_discrimination,217,178,0.82,0.062,0.0501,0.935,1,99,6,2,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_voluntary_association_belonging|WVS_A,offline_political_participation,voluntary_association_belonging,48,39,0.812,0.0524,0.0369,1.0,1,44,2,4,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_voluntary_association_active_membership|WVS_A,online_political_participation,voluntary_association_active_membership,36,29,0.806,0.0519,0.0508,1.0,1,36,1,7,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,online_political_participation,sexual_and_reproductive_morality_permissiveness,56,43,0.768,0.0751,0.0606,0.911,1,56,1,7,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_social_intolerance_outgroups|WVS_A,political_information_sources,social_intolerance_outgroups,89,68,0.764,0.0486,0.0336,0.618,1,64,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_voluntary_association_belonging|WVS_A,online_political_participation,voluntary_association_belonging,48,36,0.75,0.054,0.0491,0.938,1,48,1,7,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_science_skepticism|WVS_I,online_political_participation,science_skepticism,63,47,0.746,0.0506,0.047,0.857,-1,63,1,7,7
wvs_agg_religious_practice_and_self_identification|WVS_F::wvs_agg_voting_participation|WVS_E,religious_practice_and_self_identification,voting_participation,92,68,0.739,0.0542,0.0456,0.87,1,71,2,6,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_voluntary_association_belonging|WVS_A,political_information_sources,voluntary_association_belonging,49,36,0.735,0.0364,0.0291,0.878,1,49,1,7,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_religious_exclusivism|WVS_F,political_information_sources,religious_exclusivism,101,74,0.733,0.0489,0.0351,0.881,1,71,2,6,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,gender_role_traditionalism,sexual_and_reproductive_morality_permissiveness,192,139,0.724,0.0466,0.034,0.854,1,93,6,2,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,child_qualities_autonomy_self_expression,sexual_and_reproductive_morality_permissiveness,195,141,0.723,0.0448,0.0338,0.892,1,94,6,2,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,political_information_sources,sexual_and_reproductive_morality_permissiveness,97,70,0.722,0.0488,0.0458,0.866,1,71,2,6,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_online_political_participation|WVS_E,life_autonomy_morality_permissiveness,online_political_participation,62,44,0.71,0.0532,0.0398,0.887,1,62,1,7,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_political_information_sources|WVS_E,basic_needs_deprivation,political_information_sources,78,55,0.705,0.0419,0.037,0.91,-1,60,2,6,7
