wave,year,zone,n_countries,mean_fiedler,std_fiedler,mean_entropy
2,1990,Latin America,1,0.747388,0.0,3.9466
2,1990,South/Southeast Asian,1,0.729274,0.0,3.9643
2,1990,African-Islamic,1,0.607287,0.0,3.9634
3,1996,Latin America,8,0.6950067499999999,0.030123163150431273,3.1233874999999998
3,1996,English-speaking,2,0.713182,0.04392200000000002,3.12535
3,1996,Protestant Europe,5,0.7393069999999999,0.06844993432575373,3.1245000000000003
3,1996,Catholic Europe,4,0.8166065,0.05537625281878507,3.1281
3,1996,Orthodox/ex-Communist,12,0.7312863333333334,0.05049807825606392,3.124041666666667
3,1996,Confucian,2,0.758024,0.081455,3.12485
3,1996,South/Southeast Asian,3,0.6359426666666667,0.02190411139996835,3.1203000000000003
3,1996,African-Islamic,2,0.6661064999999999,0.03078949999999997,3.1206
4,2000,Latin America,4,0.72759,0.04571130177538156,3.1671250000000004
4,2000,English-speaking,2,0.7235115000000001,0.041971499999999995,3.1666499999999997
4,2000,Protestant Europe,1,0.759728,0.0,3.1694
4,2000,Catholic Europe,1,0.852724,0.0,3.1716
4,2000,Orthodox/ex-Communist,7,0.7158674285714285,0.04113332352886905,3.166657142857143
4,2000,Confucian,1,0.695705,0.0,3.1639
4,2000,South/Southeast Asian,5,0.6749572,0.05875192241756859,3.16434
4,2000,African-Islamic,6,0.7016486666666668,0.06870039534254677,3.1664499999999998
5,2007,Latin America,7,0.7134465714285715,0.05673530712466985,3.3920285714285714
5,2007,English-speaking,4,0.6803779999999999,0.04190979037766712,3.39185
5,2007,Protestant Europe,3,0.7447153333333333,0.030609017084658057,3.394
5,2007,Catholic Europe,7,0.7688967142857143,0.03613286034193523,3.3938571428571427
5,2007,Orthodox/ex-Communist,5,0.7468074,0.0475996420179816,3.3934200000000003
5,2007,Confucian,3,0.6945543333333334,0.04361008160455051,3.3906666666666667
5,2007,South/Southeast Asian,4,0.72225275,0.06051481434068436,3.39155
5,2007,African-Islamic,10,0.7075511000000001,0.07442722197482583,3.3903999999999996
6,2012,Latin America,9,0.6931488888888889,0.05550777893521762,3.754611111111111
6,2012,English-speaking,2,0.700522,0.004622000000000015,3.7546
6,2012,Protestant Europe,4,0.7175767500000001,0.019134146000997804,3.7550999999999997
6,2012,Catholic Europe,3,0.7551573333333333,0.02461347773522106,3.7569666666666666
6,2012,Orthodox/ex-Communist,10,0.6851927,0.050244407481927794,3.75503
6,2012,Confucian,2,0.737571,0.048051999999999984,3.7554499999999997
6,2012,South/Southeast Asian,4,0.6936765,0.02024633327913971,3.75445
6,2012,African-Islamic,13,0.697441,0.056732046238978005,3.754438461538462
7,2018,Latin America,13,0.723524846153846,0.036698855617970406,3.9843307692307692
7,2018,English-speaking,6,0.6845711666666667,0.017446327764667934,3.984283333333334
7,2018,Protestant Europe,2,0.6893505,0.010109499999999993,3.98445
7,2018,Catholic Europe,3,0.7343259999999999,0.019519934904263007,3.9851666666666667
7,2018,Orthodox/ex-Communist,12,0.7193269166666667,0.06616464545039435,3.9844333333333335
7,2018,Confucian,8,0.733876375,0.03974544995637078,3.98485
7,2018,South/Southeast Asian,8,0.705486625,0.055460552280286346,3.984025
7,2018,African-Islamic,14,0.6852067857142856,0.03212989473367348,3.9834928571428567
