,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,1000.0,333.3333333333333,303.03030303030306,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,714.2857142857143,769.2307692307693,56.81818181818181,9999.0,9999.0,9999.0,54.054054054054056,9999.0,9999.0,1000.0,9999.0,108.69565217391305,9999.0
child_qualities_autonomy_self_expression|WVS_A,1000.0,0.0,9999.0,9999.0,9999.0,78.74015748031496,113.63636363636363,1000.0,9999.0,208.33333333333334,98.0392156862745,9999.0,55.55555555555556,476.1904761904762,9999.0,38.02281368821293,370.3703703703703,250.0,9999.0,9999.0,9999.0,94.33962264150944,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,333.3333333333333,9999.0,0.0,9999.0,9999.0,142.85714285714286,666.6666666666666,250.0,9999.0,1000.0,344.82758620689657,9999.0,114.9425287356322,81.96721311475409,9999.0,48.78048780487805,166.66666666666666,113.63636363636363,9999.0,9999.0,9999.0,65.78947368421052,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,303.03030303030306,9999.0,9999.0,0.0,9999.0,126.58227848101265,232.5581395348837,126.58227848101265,9999.0,243.90243902439022,79.36507936507937,9999.0,79.36507936507937,75.18796992481204,9999.0,769.2307692307693,416.6666666666667,91.74311926605505,9999.0,9999.0,9999.0,80.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,78.74015748031496,142.85714285714286,126.58227848101265,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,22.075055187637968,285.7142857142857,17.88908765652952,60.24096385542168,9999.0,9999.0,9999.0,58.8235294117647,9999.0,9999.0,38.314176245210724,9999.0,35.08771929824561,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,113.63636363636363,666.6666666666666,232.5581395348837,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,51.54639175257732,37.3134328358209,68.4931506849315,28.98550724637681,9999.0,9999.0,9999.0,24.03846153846154,9999.0,9999.0,60.975609756097555,9999.0,25.77319587628866,9999.0
confidence_in_international_organizations|WVS_E,9999.0,1000.0,250.0,126.58227848101265,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,47.39336492890995,250.0,90.90909090909092,166.66666666666666,9999.0,9999.0,9999.0,416.6666666666667,9999.0,9999.0,54.34782608695652,9999.0,63.291139240506325,9999.0
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,208.33333333333334,1000.0,243.90243902439022,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,270.27027027027026,81.96721311475409,90.09009009009009,42.918454935622314,9999.0,9999.0,9999.0,36.76470588235294,9999.0,9999.0,144.92753623188406,9999.0,49.26108374384237,9999.0
gender_role_traditionalism|WVS_D,1000.0,98.0392156862745,344.82758620689657,79.36507936507937,9999.0,22.075055187637968,51.54639175257732,47.39336492890995,9999.0,270.27027027027026,0.0,147.05882352941177,16.420361247947454,51.02040816326531,9999.0,83.33333333333333,56.497175141242934,53.475935828877,9999.0,9999.0,25.125628140703515,27.932960893854748,22.93577981651376,9999.0
importance_of_life_domains|WVS_A,714.2857142857143,9999.0,9999.0,9999.0,9999.0,285.7142857142857,37.3134328358209,250.0,9999.0,81.96721311475409,147.05882352941177,0.0,100.0,51.54639175257732,9999.0,26.455026455026456,204.08163265306123,42.918454935622314,9999.0,9999.0,9999.0,37.87878787878788,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,769.2307692307693,55.55555555555556,114.9425287356322,79.36507936507937,9999.0,17.88908765652952,68.4931506849315,90.90909090909092,9999.0,90.09009009009009,16.420361247947454,100.0,0.0,9999.0,9999.0,14.22475106685633,56.17977528089888,526.3157894736842,9999.0,9999.0,42.5531914893617,133.33333333333334,46.51162790697675,9999.0
