,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.005,0.0118,-0.0029,0.0091,,,,,,-0.0069,-0.0056,-0.0009,-0.0028,0.0157,,,-0.0107,0.0177,0.0072,0.0085,,0.0132,0.0258
child_qualities_autonomy_self_expression|WVS_A,0.005,0.0,,,0.0,-0.0101,0.0069,0.0079,,0.001,0.0231,,0.0219,-0.0001,0.0071,0.0139,0.0059,-0.0282,0.0302,0.0128,,-0.014,,
child_qualities_conformity_tradition|WVS_A,0.0118,,0.0,,0.0025,0.0244,0.0173,-0.0077,,-0.0072,-0.0109,,-0.0117,0.0003,0.0098,-0.0026,0.0001,0.0134,-0.0049,-0.0041,,0.0252,,
child_qualities_prosocial_diligence|WVS_A,-0.0029,,,0.0,0.0022,-0.0072,-0.0015,0.0042,,0.0027,0.007,,0.007,-0.0004,0.0008,0.0001,-0.0012,-0.0032,0.0026,0.0047,,-0.0068,,
civic_dishonesty_tolerance|WVS_F,0.0091,0.0,0.0025,0.0022,0.0,0.0224,0.0233,0.026,,-0.0115,-0.0179,0.0087,0.0008,-0.0105,,0.0067,-0.001,,,,0.0105,0.0019,0.0197,0.0185
confidence_in_civil_society_organizations|WVS_E,,-0.0101,0.0244,-0.0072,0.0224,0.0,,,,,-0.0339,0.0014,-0.0188,-0.0069,0.0214,,,-0.0041,0.0106,0.0061,0.0239,,0.0145,0.042
confidence_in_domestic_institutions|WVS_E,,0.0069,0.0173,-0.0015,0.0233,,0.0,,,,0.0062,-0.0013,0.0108,-0.0032,0.0358,,,-0.0079,0.0266,0.0218,0.0158,,0.0253,0.0268
confidence_in_international_organizations|WVS_E,,0.0079,-0.0077,0.0042,0.026,,,0.0,,,-0.0064,0.0023,0.0066,-0.007,0.0209,,,-0.0162,0.0189,0.0202,-0.0015,,0.0146,0.0068
democratic_system_evaluation|WVS_E,,,,,,,,,0.0,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,0.001,-0.0072,0.0027,-0.0115,,,,,0.0,0.0221,0.0009,0.0107,0.0053,-0.0077,,,0.009,-0.0096,-0.003,-0.007,,-0.0069,-0.0216
gender_role_traditionalism|WVS_D,-0.0069,0.0231,-0.0109,0.007,-0.0179,-0.0339,0.0062,-0.0064,,0.0221,0.0,-0.0088,0.0414,0.0102,0.0047,-0.0047,-0.0051,-0.0032,0.0127,0.0095,-0.0179,-0.0135,0.0065,-0.0287
importance_of_life_domains|WVS_A,-0.0056,,,,0.0087,0.0014,-0.0013,0.0023,,0.0009,-0.0088,0.0,-0.0056,-0.0012,0.0012,-0.0099,-0.0063,0.0165,-0.0164,0.0004,,0.0028,,
job_scarcity_gender_discrimination|WVS_C,-0.0009,0.0219,-0.0117,0.007,0.0008,-0.0188,0.0108,0.0066,,0.0107,0.0414,-0.0056,0.0,,0.012,0.0026,-0.002,-0.0123,0.0212,0.0177,-0.0122,-0.012,0.011,-0.0144
job_scarcity_nativist_preference|WVS_C,-0.0028,-0.0001,0.0003,-0.0004,-0.0105,-0.0069,-0.0032,-0.007,,0.0053,0.0102,-0.0012,,0.0,-0.0059,-0.0036,-0.0012,0.0053,-0.0046,-0.0044,-0.0018,0.0003,-0.0036,-0.007
life_autonomy_morality_permissiveness|WVS_F,0.0157,0.0071,0.0098,0.0008,,0.0214,0.0358,0.0209,,-0.0077,0.0047,0.0012,0.012,-0.0059,0.0,0.0103,0.0001,,,,0.0111,0.0088,0.0274,0.0218
offline_political_participation|WVS_E,,0.0139,-0.0026,0.0001,0.0067,,,,,,-0.0047,-0.0099,0.0026,-0.0036,0.0103,0.0,,-0.023,0.0261,0.0074,-0.004,,0.0094,0.0196
postmaterialist_values|WVS_E,,0.0059,0.0001,-0.0012,-0.001,,,,,,-0.0051,-0.0063,-0.002,-0.0012,0.0001,,0.0,-0.0117,0.0108,-0.0009,-0.0019,,0.0019,0.0121
religious_belief|WVS_F,-0.0107,-0.0282,0.0134,-0.0032,,-0.0041,-0.0079,-0.0162,,0.009,-0.0032,0.0165,-0.0123,0.0053,,-0.023,-0.0117,0.0,,,0.0149,0.0139,-0.013,-0.0207
religious_practice_and_self_identification|WVS_F,0.0177,0.0302,-0.0049,0.0026,,0.0106,0.0266,0.0189,,-0.0096,0.0127,-0.0164,0.0212,-0.0046,,0.0261,0.0108,,0.0,,-0.0072,-0.0052,0.0251,0.0324
sexual_and_reproductive_morality_permissiveness|WVS_F,0.0072,0.0128,-0.0041,0.0047,,0.0061,0.0218,0.0202,,-0.003,0.0095,0.0004,0.0177,-0.0044,,0.0074,-0.0009,,,0.0,0.0009,-0.0045,0.0198,0.0082
social_intolerance_outgroups|WVS_A,0.0085,,,,0.0105,0.0239,0.0158,-0.0015,,-0.007,-0.0179,,-0.0122,-0.0018,0.0111,-0.004,-0.0019,0.0149,-0.0072,0.0009,0.0,0.0214,,
societal_change_attitudes|WVS_E,,-0.014,0.0252,-0.0068,0.0019,,,,,,-0.0135,0.0028,-0.012,0.0003,0.0088,,,0.0139,-0.0052,-0.0045,0.0214,0.0,0.0056,0.021
subjective_wellbeing|WVS_A,0.0132,,,,0.0197,0.0145,0.0253,0.0146,,-0.0069,0.0065,,0.011,-0.0036,0.0274,0.0094,0.0019,-0.013,0.0251,0.0198,,0.0056,0.0,
voluntary_association_active_membership|WVS_A,0.0258,,,,0.0185,0.042,0.0268,0.0068,,-0.0216,-0.0287,,-0.0144,-0.007,0.0218,0.0196,0.0121,-0.0207,0.0324,0.0082,,0.021,,0.0
