,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0546,-0.0102,0.0057,0.064,,,,,,0.0106,-0.0105,-0.001,0.0051,0.088,,,-0.0474,0.0389,0.0895,-0.0391,,0.0615,
child_qualities_autonomy_self_expression|WVS_A,0.0546,0.0,,,0.0577,0.0375,0.0853,-0.0098,0.0476,-0.06,-0.0064,,-0.0103,-0.0046,0.0804,0.0255,-0.046,-0.0544,0.0501,0.08,,-0.0522,,
child_qualities_conformity_tradition|WVS_A,-0.0102,,0.0,,-0.0105,-0.0098,-0.014,0.0007,-0.0093,0.0144,-0.0001,,0.0014,-0.003,-0.0115,0.0001,0.0058,0.0135,-0.0131,-0.0157,,0.0069,,
child_qualities_prosocial_diligence|WVS_A,0.0057,,,0.0,0.004,0.0048,0.0103,-0.0033,0.008,-0.0079,-0.0065,,-0.0043,-0.0062,0.0103,0.0097,-0.0053,-0.0116,0.0116,0.0056,,-0.0037,,
civic_dishonesty_tolerance|WVS_F,0.064,0.0577,-0.0105,0.004,0.0,0.0444,0.0867,-0.0029,0.0451,-0.0668,0.01,-0.0,-0.0017,0.015,,0.0059,-0.0522,,,,-0.0396,-0.066,0.0612,
confidence_in_civil_society_organizations|WVS_E,,0.0375,-0.0098,0.0048,0.0444,0.0,,,,,-0.0088,-0.0048,-0.0102,0.0027,0.0454,,,-0.049,0.0478,0.0551,-0.0174,,0.0377,
confidence_in_domestic_institutions|WVS_E,,0.0853,-0.014,0.0103,0.0867,,0.0,,,,0.0023,-0.0181,-0.008,0.0044,0.1196,,,-0.0771,0.0702,0.129,-0.0546,,0.0925,
confidence_in_international_organizations|WVS_E,,-0.0098,0.0007,-0.0033,-0.0029,,,0.0,,,0.0064,0.007,0.0042,0.0064,-0.01,,,0.0127,-0.0118,-0.0067,0.0026,,-0.0076,
democratic_system_evaluation|WVS_E,,0.0476,-0.0093,0.008,0.0451,,,,0.0,,-0.0062,-0.0154,-0.0083,-0.0022,0.067,,,-0.0542,0.0506,0.0677,-0.0268,,0.0495,
economic_ideology|WVS_E,,-0.06,0.0144,-0.0079,-0.0668,,,,,0.0,0.005,0.0105,0.0105,-0.0063,-0.077,,,0.0714,-0.0686,-0.0879,0.0302,,-0.0607,
