,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,18.315018315018314,98.0392156862745,175.43859649122805,15.625,9999.0,9999.0,9999.0,9999.0,9999.0,94.33962264150944,95.23809523809523,1000.0,196.078431372549,11.363636363636365,9999.0,9999.0,21.09704641350211,25.706940874035993,11.1731843575419,25.57544757033248,9999.0,16.260162601626018,9999.0
child_qualities_autonomy_self_expression|WVS_A,18.315018315018314,0.0,9999.0,9999.0,17.33102253032929,26.666666666666668,11.723329425556859,102.04081632653062,21.008403361344538,16.666666666666668,156.25,9999.0,97.08737864077669,217.3913043478261,12.437810945273633,39.21568627450981,21.73913043478261,18.38235294117647,19.960079840319363,12.5,9999.0,19.157088122605362,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,98.0392156862745,9999.0,0.0,9999.0,95.23809523809523,102.04081632653062,71.42857142857143,1000.0,107.52688172043011,69.44444444444444,1000.0,9999.0,714.2857142857143,333.3333333333333,86.95652173913044,1000.0,172.41379310344828,74.07407407407408,76.33587786259541,63.69426751592357,9999.0,144.92753623188406,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,175.43859649122805,9999.0,9999.0,0.0,250.0,208.33333333333334,97.08737864077669,303.03030303030306,125.0,126.58227848101265,153.84615384615384,9999.0,232.5581395348837,161.29032258064515,97.08737864077669,103.09278350515464,188.67924528301887,86.20689655172414,86.20689655172414,178.57142857142858,9999.0,270.27027027027026,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,15.625,17.33102253032929,95.23809523809523,250.0,0.0,22.52252252252252,11.534025374855824,344.82758620689657,22.172949002217294,14.970059880239521,100.0,1000.0,588.2352941176471,66.66666666666667,9999.0,169.49152542372883,19.157088122605362,9999.0,9999.0,9999.0,25.25252525252525,15.15151515151515,16.339869281045754,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,26.666666666666668,102.04081632653062,208.33333333333334,22.52252252252252,0.0,9999.0,9999.0,9999.0,9999.0,113.63636363636363,208.33333333333334,98.0392156862745,370.3703703703703,22.026431718061673,9999.0,9999.0,20.408163265306122,20.920502092050206,18.148820326678766,57.4712643678161,9999.0,26.525198938992045,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,11.723329425556859,71.42857142857143,97.08737864077669,11.534025374855824,9999.0,0.0,9999.0,9999.0,9999.0,434.7826086956522,55.24861878453038,125.0,227.27272727272725,8.361204013377927,9999.0,9999.0,12.970168612191959,14.245014245014245,7.751937984496124,18.315018315018314,9999.0,10.81081081081081,9999.0
confidence_in_international_organizations|WVS_E,9999.0,102.04081632653062,1000.0,303.03030303030306,344.82758620689657,9999.0,9999.0,0.0,9999.0,9999.0,156.25,142.85714285714286,238.0952380952381,156.25,100.0,9999.0,9999.0,78.74015748031496,84.74576271186442,149.2537313432836,384.61538461538464,9999.0,131.57894736842104,9999.0
democratic_system_evaluation|WVS_E,9999.0,21.008403361344538,107.52688172043011,125.0,22.172949002217294,9999.0,9999.0,9999.0,0.0,9999.0,161.29032258064515,64.93506493506493,120.48192771084337,454.5454545454545,14.925373134328357,9999.0,9999.0,18.45018450184502,19.76284584980237,14.771048744460858,37.3134328358209,9999.0,20.2020202020202,9999.0
economic_ideology|WVS_E,9999.0,16.666666666666668,69.44444444444444,126.58227848101265,14.970059880239521,9999.0,9999.0,9999.0,9999.0,0.0,200.0,95.23809523809523,95.23809523809523,158.73015873015873,12.987012987012987,9999.0,9999.0,14.005602240896357,14.57725947521866,11.376564277588168,33.11258278145695,9999.0,16.474464579901156,9999.0
