,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,37.03703703703704,1000.0,34.24657534246575,31.948881789137378,9999.0,9999.0,9999.0,9999.0,9999.0,19.49317738791423,151.51515151515153,13.966480446927374,72.46376811594203,27.17391304347826,9999.0,9999.0,625.0,68.9655172413793,26.109660574412533,9999.0,9999.0,57.14285714285714,34.36426116838488
child_qualities_autonomy_self_expression|WVS_A,37.03703703703704,0.0,9999.0,9999.0,43.10344827586207,303.03030303030306,46.948356807511736,384.61538461538464,9999.0,294.11764705882354,14.771048744460858,9999.0,13.58695652173913,40.983606557377044,43.29004329004329,20.876826722338205,227.27272727272725,263.1578947368421,144.92753623188406,28.81844380403458,9999.0,84.74576271186442,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,1000.0,9999.0,0.0,9999.0,86.95652173913044,196.078431372549,625.0,1000.0,9999.0,161.29032258064515,250.0,9999.0,243.90243902439022,243.90243902439022,172.41379310344828,312.5,125.0,227.27272727272725,123.4567901234568,588.2352941176471,9999.0,909.090909090909,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,34.24657534246575,9999.0,9999.0,0.0,33.78378378378378,1000.0,60.6060606060606,75.18796992481204,9999.0,121.95121951219511,19.841269841269842,9999.0,17.123287671232877,66.66666666666667,34.24657534246575,20.449897750511248,136.986301369863,588.2352941176471,370.3703703703703,30.3030303030303,9999.0,85.47008547008546,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,31.948881789137378,43.10344827586207,86.95652173913044,33.78378378378378,0.0,68.02721088435375,769.2307692307693,74.6268656716418,9999.0,43.66812227074236,24.752475247524753,37.735849056603776,27.700831024930746,163.93442622950818,9999.0,19.607843137254903,47.39336492890995,9999.0,9999.0,9999.0,9999.0,46.728971962616825,58.8235294117647,41.666666666666664
confidence_in_civil_society_organizations|WVS_E,9999.0,303.03030303030306,196.078431372549,1000.0,68.02721088435375,0.0,9999.0,9999.0,9999.0,9999.0,100.0,58.13953488372093,43.10344827586207,136.986301369863,400.0,9999.0,9999.0,714.2857142857143,44.84304932735426,172.41379310344828,9999.0,9999.0,151.51515151515153,333.3333333333333
confidence_in_domestic_institutions|WVS_E,9999.0,46.948356807511736,625.0,60.6060606060606,769.2307692307693,9999.0,0.0,9999.0,9999.0,9999.0,21.321961620469086,67.11409395973155,15.748031496062993,52.35602094240838,50.5050505050505,9999.0,9999.0,1000.0,54.6448087431694,35.08771929824561,9999.0,9999.0,35.587188612099645,1000.0
confidence_in_international_organizations|WVS_E,9999.0,384.61538461538464,1000.0,75.18796992481204,74.6268656716418,9999.0,9999.0,0.0,9999.0,9999.0,1000.0,114.9425287356322,37.3134328358209,294.11764705882354,40.816326530612244,9999.0,9999.0,175.43859649122805,30.12048192771084,68.02721088435375,9999.0,9999.0,125.0,36.36363636363637
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,294.11764705882354,161.29032258064515,121.95121951219511,43.66812227074236,9999.0,9999.0,9999.0,9999.0,0.0,78.74015748031496,96.15384615384616,144.92753623188406,90.90909090909092,75.75757575757576,9999.0,9999.0,181.81818181818184,1000.0,500.0,9999.0,9999.0,84.74576271186442,48.309178743961354
gender_role_traditionalism|WVS_D,19.49317738791423,14.771048744460858,250.0,19.841269841269842,24.752475247524753,100.0,21.321961620469086,1000.0,9999.0,78.74015748031496,0.0,102.04081632653062,6.915629322268326,20.964360587002098,21.14164904862579,11.248593925759279,95.23809523809523,140.8450704225352,156.25,14.40922190201729,9999.0,57.14285714285714,14.471780028943561,55.865921787709496
importance_of_life_domains|WVS_A,151.51515151515153,9999.0,9999.0,9999.0,37.735849056603776,58.13953488372093,67.11409395973155,114.9425287356322,9999.0,96.15384615384616,102.04081632653062,0.0,204.08163265306123,625.0,555.5555555555555,144.92753623188406,163.93442622950818,714.2857142857143,28.57142857142857,476.1904761904762,9999.0,73.52941176470588,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,13.966480446927374,13.58695652173913,243.90243902439022,17.123287671232877,27.700831024930746,43.10344827586207,15.748031496062993,37.3134328358209,9999.0,144.92753623188406,6.915629322268326,204.08163265306123,0.0,9999.0,15.723270440251572,8.496176720475786,322.5806451612903,212.7659574468085,45.87155963302752,11.641443538998836,9999.0,65.35947712418302,14.367816091954024,38.314176245210724
job_scarcity_nativist_preference|WVS_C,72.46376811594203,40.983606557377044,243.90243902439022,66.66666666666667,163.93442622950818,136.986301369863,52.35602094240838,294.11764705882354,9999.0,90.90909090909092,20.964360587002098,625.0,9999.0,0.0,75.18796992481204,37.45318352059925,104.16666666666667,270.27027027027026,384.61538461538464,40.65040650406504,9999.0,344.82758620689657,41.32231404958678,714.2857142857143
