,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0187,-0.0152,-0.0015,0.0148,,,,,,,0.0019,0.0151,0.0143,0.0116,,,-0.0137,0.0158,0.0133,-0.0165,,0.0077,0.0095
child_qualities_autonomy_self_expression|WVS_A,0.0187,0.0,,,0.0625,-0.0691,0.0219,-0.0581,,0.003,,,0.0784,0.0672,0.0623,0.0864,-0.0436,-0.0488,0.0693,0.08,,-0.0397,,
child_qualities_conformity_tradition|WVS_A,-0.0152,,0.0,,-0.0494,0.047,-0.0179,0.0397,,-0.0018,,,-0.0609,-0.0573,-0.0446,-0.074,0.0261,0.0414,-0.0527,-0.0564,,0.0303,,
child_qualities_prosocial_diligence|WVS_A,-0.0015,,,0.0,-0.0073,-0.0052,-0.0004,-0.0042,,-0.0034,,,0.0006,0.0059,-0.001,0.0113,0.0004,0.0033,-0.002,0.0009,,-0.0032,,
civic_dishonesty_tolerance|WVS_F,0.0148,0.0625,-0.0494,-0.0073,0.0,-0.0183,0.0433,-0.0263,,0.0354,,0.0223,0.0748,0.0343,,0.0433,-0.0123,,,,-0.0826,-0.0459,-0.0015,-0.0004
confidence_in_civil_society_organizations|WVS_E,,-0.0691,0.047,-0.0052,-0.0183,0.0,,,,,,-0.0206,-0.0495,-0.0459,-0.0366,,,0.0086,-0.0305,-0.0532,0.0875,,-0.0127,0.0002
confidence_in_domestic_institutions|WVS_E,,0.0219,-0.0179,-0.0004,0.0433,,0.0,,,,,0.0086,0.03,0.0157,0.025,,,-0.0348,0.0407,0.0353,-0.0273,,-0.0035,-0.0006
confidence_in_international_organizations|WVS_E,,-0.0581,0.0397,-0.0042,-0.0263,,,0.0,,,,-0.0198,-0.0462,-0.0376,-0.0354,,,0.0168,-0.0327,-0.0525,0.0775,,-0.0071,0.0027
democratic_system_evaluation|WVS_E,,,,,,,,,0.0,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,0.003,-0.0018,-0.0034,0.0354,,,,,0.0,,0.0084,0.015,-0.0006,0.0144,,,-0.0231,0.0265,0.0234,-0.0205,,-0.0055,-0.0124
gender_role_traditionalism|WVS_D,,,,,,,,,,,0.0,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,0.0019,,,,0.0223,-0.0206,0.0086,-0.0198,,0.0084,,0.0,0.0227,0.0142,0.0185,0.0083,-0.0164,-0.0136,0.02,0.0274,,-0.0164,,
job_scarcity_gender_discrimination|WVS_C,0.0151,0.0784,-0.0609,0.0006,0.0748,-0.0495,0.03,-0.0462,,0.015,,0.0227,0.0,,0.0586,0.0666,-0.0286,-0.058,0.0747,0.083,-0.0897,-0.0418,0.0108,0.0079
job_scarcity_nativist_preference|WVS_C,0.0143,0.0672,-0.0573,0.0059,0.0343,-0.0459,0.0157,-0.0376,,-0.0006,,0.0142,,0.0,0.0425,0.0737,-0.0238,-0.0333,0.0461,0.0556,-0.0702,-0.0271,0.0135,0.0161
life_autonomy_morality_permissiveness|WVS_F,0.0116,0.0623,-0.0446,-0.001,,-0.0366,0.025,-0.0354,,0.0144,,0.0185,0.0586,0.0425,0.0,0.041,-0.0236,,,,-0.0793,-0.0353,0.0078,0.0027
offline_political_participation|WVS_E,,0.0864,-0.074,0.0113,0.0433,,,,,,,0.0083,0.0666,0.0737,0.041,0.0,,-0.0473,0.0628,0.0609,-0.0733,,0.0162,0.0435
postmaterialist_values|WVS_E,,-0.0436,0.0261,0.0004,-0.0123,,,,,,,-0.0164,-0.0286,-0.0238,-0.0236,,0.0,0.0022,-0.0144,-0.035,0.0567,,-0.0115,0.0069
religious_belief|WVS_F,-0.0137,-0.0488,0.0414,0.0033,,0.0086,-0.0348,0.0168,,-0.0231,,-0.0136,-0.058,-0.0333,,-0.0473,0.0022,0.0,,,0.053,0.0323,-0.0007,-0.0094
religious_practice_and_self_identification|WVS_F,0.0158,0.0693,-0.0527,-0.002,,-0.0305,0.0407,-0.0327,,0.0265,,0.02,0.0747,0.0461,,0.0628,-0.0144,,0.0,,-0.0808,-0.0454,0.001,0.0081
sexual_and_reproductive_morality_permissiveness|WVS_F,0.0133,0.08,-0.0564,0.0009,,-0.0532,0.0353,-0.0525,,0.0234,,0.0274,0.083,0.0556,,0.0609,-0.035,,,0.0,-0.103,-0.0539,0.0077,-0.0
social_intolerance_outgroups|WVS_A,-0.0165,,,,-0.0826,0.0875,-0.0273,0.0775,,-0.0205,,,-0.0897,-0.0702,-0.0793,-0.0733,0.0567,0.053,-0.0808,-0.103,0.0,0.0615,,
societal_change_attitudes|WVS_E,,-0.0397,0.0303,-0.0032,-0.0459,,,,,,,-0.0164,-0.0418,-0.0271,-0.0353,,,0.0323,-0.0454,-0.0539,0.0615,0.0,0.003,0.0085
subjective_wellbeing|WVS_A,0.0077,,,,-0.0015,-0.0127,-0.0035,-0.0071,,-0.0055,,,0.0108,0.0135,0.0078,0.0162,-0.0115,-0.0007,0.001,0.0077,,0.003,0.0,
voluntary_association_active_membership|WVS_A,0.0095,,,,-0.0004,0.0002,-0.0006,0.0027,,-0.0124,,,0.0079,0.0161,0.0027,0.0435,0.0069,-0.0094,0.0081,-0.0,,0.0085,,0.0
