,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,75.75757575757576,909.090909090909,175.43859649122805,83.33333333333333,9999.0,9999.0,9999.0,9999.0,9999.0,140.8450704225352,93.45794392523365,62.5,9999.0,117.6470588235294,9999.0,9999.0,1000.0,88.49557522123894,185.18518518518516,80.0,9999.0,322.5806451612903,9999.0
child_qualities_autonomy_self_expression|WVS_A,75.75757575757576,0.0,9999.0,9999.0,526.3157894736842,26.7379679144385,69.44444444444444,9999.0,9999.0,33.003300330033,21.367521367521366,9999.0,11.325028312570781,9999.0,15.105740181268883,12.484394506866415,232.5581395348837,46.51162790697675,192.30769230769232,18.484288354898336,9999.0,40.16064257028113,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,909.090909090909,9999.0,0.0,9999.0,909.090909090909,263.1578947368421,312.5,9999.0,9999.0,144.92753623188406,1000.0,9999.0,113.63636363636363,9999.0,112.35955056179776,86.95652173913044,263.1578947368421,178.57142857142858,263.1578947368421,161.29032258064515,9999.0,625.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,175.43859649122805,9999.0,9999.0,0.0,285.7142857142857,46.51162790697675,117.6470588235294,9999.0,9999.0,49.75124378109453,46.51162790697675,9999.0,20.120724346076457,9999.0,23.31002331002331,21.231422505307854,192.30769230769232,67.11409395973155,114.9425287356322,31.347962382445143,9999.0,106.38297872340425,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,83.33333333333333,526.3157894736842,909.090909090909,285.7142857142857,0.0,117.6470588235294,1000.0,9999.0,9999.0,106.38297872340425,212.7659574468085,44.84304932735426,92.59259259259258,9999.0,9999.0,57.4712643678161,666.6666666666666,9999.0,9999.0,9999.0,263.1578947368421,82.64462809917356,277.77777777777777,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,26.7379679144385,263.1578947368421,46.51162790697675,117.6470588235294,0.0,9999.0,9999.0,9999.0,9999.0,31.152647975077883,75.18796992481204,18.6219739292365,9999.0,20.080321285140563,9999.0,9999.0,64.1025641025641,67.56756756756756,25.125628140703515,45.45454545454546,9999.0,1000.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,69.44444444444444,312.5,117.6470588235294,1000.0,9999.0,0.0,9999.0,9999.0,9999.0,714.2857142857143,123.4567901234568,65.78947368421052,9999.0,54.34782608695652,9999.0,9999.0,82.64462809917356,90.90909090909092,74.6268656716418,476.1904761904762,9999.0,163.93442622950818,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,33.003300330033,144.92753623188406,49.75124378109453,106.38297872340425,9999.0,9999.0,9999.0,9999.0,0.0,111.11111111111111,64.1025641025641,25.44529262086514,9999.0,27.548209366391184,9999.0,9999.0,53.763440860215056,50.5050505050505,34.602076124567475,71.94244604316548,9999.0,156.25,9999.0
