,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,59.1715976331361,1000.0,243.90243902439022,31.152647975077883,9999.0,9999.0,9999.0,9999.0,9999.0,125.0,263.1578947368421,303.03030303030306,103.09278350515464,42.37288135593221,9999.0,9999.0,61.7283950617284,84.74576271186442,32.25806451612903,59.880239520958085,9999.0,34.48275862068965,9999.0
child_qualities_autonomy_self_expression|WVS_A,59.1715976331361,0.0,9999.0,9999.0,22.22222222222222,129.87012987012986,48.78048780487805,116.27906976744185,140.8450704225352,37.45318352059925,105.26315789473685,9999.0,357.14285714285717,178.57142857142858,38.91050583657587,161.29032258064515,555.5555555555555,90.09009009009009,90.90909090909092,32.467532467532465,9999.0,22.98850574712644,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,1000.0,9999.0,0.0,9999.0,294.11764705882354,82.64462809917356,60.975609756097555,105.26315789473685,526.3157894736842,161.29032258064515,43.47826086956522,9999.0,51.02040816326531,714.2857142857143,1000.0,161.29032258064515,322.5806451612903,36.231884057971016,40.16064257028113,142.85714285714286,9999.0,81.96721311475409,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,243.90243902439022,9999.0,9999.0,0.0,81.96721311475409,526.3157894736842,1000.0,1000.0,135.13513513513513,769.2307692307693,232.5581395348837,9999.0,625.0,357.14285714285717,322.5806451612903,116.27906976744185,111.11111111111111,270.27027027027026,555.5555555555555,434.7826086956522,9999.0,126.58227848101265,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,31.152647975077883,22.22222222222222,294.11764705882354,81.96721311475409,0.0,48.543689320388346,27.397260273972606,91.74311926605505,135.13513513513513,16.666666666666668,32.89473684210526,151.51515151515153,208.33333333333334,357.14285714285717,9999.0,47.84688995215311,204.08163265306123,9999.0,9999.0,9999.0,19.193857965451055,10.449320794148381,14.970059880239521,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,129.87012987012986,82.64462809917356,526.3157894736842,48.543689320388346,0.0,9999.0,9999.0,9999.0,9999.0,169.49152542372883,81.96721311475409,370.3703703703703,526.3157894736842,84.03361344537815,9999.0,9999.0,54.94505494505494,45.662100456621005,84.03361344537815,769.2307692307693,9999.0,74.07407407407408,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,48.78048780487805,60.975609756097555,1000.0,27.397260273972606,9999.0,0.0,9999.0,9999.0,9999.0,192.30769230769232,169.49152542372883,71.94244604316548,85.47008547008546,50.5050505050505,9999.0,9999.0,47.61904761904761,60.975609756097555,47.61904761904761,96.15384615384616,9999.0,65.78947368421052,9999.0
confidence_in_international_organizations|WVS_E,9999.0,116.27906976744185,105.26315789473685,1000.0,91.74311926605505,9999.0,9999.0,0.0,9999.0,9999.0,333.3333333333333,1000.0,82.64462809917356,129.87012987012986,217.3913043478261,9999.0,9999.0,144.92753623188406,833.3333333333334,294.11764705882354,285.7142857142857,9999.0,909.090909090909,9999.0
democratic_system_evaluation|WVS_E,9999.0,140.8450704225352,526.3157894736842,135.13513513513513,135.13513513513513,9999.0,9999.0,9999.0,0.0,9999.0,666.6666666666666,163.93442622950818,126.58227848101265,185.18518518518516,69.93006993006993,9999.0,9999.0,69.44444444444444,63.69426751592357,55.24861878453038,357.14285714285717,9999.0,52.91005291005291,9999.0
economic_ideology|WVS_E,9999.0,37.45318352059925,161.29032258064515,769.2307692307693,16.666666666666668,9999.0,9999.0,9999.0,9999.0,0.0,117.6470588235294,46.728971962616825,71.94244604316548,1000.0,24.154589371980677,9999.0,9999.0,29.239766081871345,21.231422505307854,17.035775127768314,47.61904761904761,9999.0,16.286644951140065,9999.0
