,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.0096,-0.0071,0.0131,-0.0043,,,,,,0.0241,-0.0135,0.0208,-0.0115,0.0221,,,-0.0388,0.0186,0.0334,-0.0094,,0.0304,0.0172
child_qualities_autonomy_self_expression|WVS_A,0.0096,0.0,,,0.0302,0.0717,0.0556,0.0845,,0.0776,0.0234,,0.0498,-0.0454,0.112,0.0337,-0.0605,-0.043,0.0683,0.0925,,-0.0118,,
child_qualities_conformity_tradition|WVS_A,-0.0071,,0.0,,-0.0226,-0.0481,-0.0408,-0.0582,,-0.0535,-0.0193,,-0.0352,0.0309,-0.0765,-0.0247,0.0409,0.0321,-0.045,-0.0665,,0.0069,,
child_qualities_prosocial_diligence|WVS_A,0.0131,,,0.0,0.0007,0.0052,0.0138,0.0001,,0.0025,0.0283,,0.0162,-0.0037,0.0195,0.0212,-0.0009,-0.0278,0.0148,0.0313,,0.0073,,
civic_dishonesty_tolerance|WVS_F,-0.0043,0.0302,-0.0226,0.0007,0.0,0.0026,0.0636,-0.0249,,0.0155,0.0147,-0.0093,-0.0073,0.014,,-0.009,-0.0168,,,,-0.0311,-0.0213,-0.0091,0.0123
confidence_in_civil_society_organizations|WVS_E,,0.0717,-0.0481,0.0052,0.0026,0.0,,,,,-0.0434,-0.0402,0.0456,-0.0691,0.0936,,,-0.0506,0.0494,0.0547,-0.0354,,0.0567,0.013
confidence_in_domestic_institutions|WVS_E,,0.0556,-0.0408,0.0138,0.0636,,0.0,,,,0.0352,-0.0308,0.016,0.0032,0.0536,,,-0.0106,0.0295,0.0895,-0.0468,,0.0176,0.0255
confidence_in_international_organizations|WVS_E,,0.0845,-0.0582,0.0001,-0.0249,,,0.0,,,0.0165,-0.0516,0.045,-0.0518,0.0775,,,-0.0294,0.0538,0.0237,0.029,,0.0371,-0.0586
democratic_system_evaluation|WVS_E,,,,,,,,,0.0,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,0.0776,-0.0535,0.0025,0.0155,,,,,0.0,0.0245,-0.0431,0.0298,-0.0286,0.0686,,,-0.011,0.0435,0.0488,-0.0012,,0.0247,-0.0283
gender_role_traditionalism|WVS_D,0.0241,0.0234,-0.0193,0.0283,0.0147,-0.0434,0.0352,0.0165,,0.0245,0.0,-0.0347,0.0246,0.0459,0.0086,-0.019,0.0173,-0.032,0.0284,0.0594,0.0342,0.0225,0.0029,-0.0266
importance_of_life_domains|WVS_A,-0.0135,,,,-0.0093,-0.0402,-0.0308,-0.0516,,-0.0431,-0.0347,0.0,-0.0366,0.0273,-0.0688,-0.0313,0.0303,0.039,-0.0453,-0.066,,-0.001,,
job_scarcity_gender_discrimination|WVS_C,0.0208,0.0498,-0.0352,0.0162,-0.0073,0.0456,0.016,0.045,,0.0298,0.0246,-0.0366,0.0,,0.0671,0.0546,-0.0252,-0.0608,0.0498,0.0605,-0.0121,0.0107,0.0522,0.0099
job_scarcity_nativist_preference|WVS_C,-0.0115,-0.0454,0.0309,-0.0037,0.014,-0.0691,0.0032,-0.0518,,-0.0286,0.0459,0.0273,,0.0,-0.0703,-0.0557,0.0371,0.0517,-0.0364,-0.0343,0.0241,-0.0019,-0.0485,-0.0109
life_autonomy_morality_permissiveness|WVS_F,0.0221,0.112,-0.0765,0.0195,,0.0936,0.0536,0.0775,,0.0686,0.0086,-0.0688,0.0671,-0.0703,0.0,0.0825,-0.0651,,,,-0.0455,-0.0025,0.0863,0.0208
offline_political_participation|WVS_E,,0.0337,-0.0247,0.0212,-0.009,,,,,,-0.019,-0.0313,0.0546,-0.0557,0.0825,0.0,,-0.094,0.0483,0.0721,-0.0488,,0.0772,0.0542
postmaterialist_values|WVS_E,,-0.0605,0.0409,-0.0009,-0.0168,,,,,,0.0173,0.0303,-0.0252,0.0371,-0.0651,,0.0,0.0176,-0.0343,-0.043,0.0204,,-0.0257,0.0028
religious_belief|WVS_F,-0.0388,-0.043,0.0321,-0.0278,,-0.0506,-0.0106,-0.0294,,-0.011,-0.032,0.039,-0.0608,0.0517,,-0.094,0.0176,0.0,,,0.026,-0.0268,-0.0829,-0.0319
religious_practice_and_self_identification|WVS_F,0.0186,0.0683,-0.045,0.0148,,0.0494,0.0295,0.0538,,0.0435,0.0284,-0.0453,0.0498,-0.0364,,0.0483,-0.0343,,0.0,,-0.0155,0.0055,0.0521,0.0031
sexual_and_reproductive_morality_permissiveness|WVS_F,0.0334,0.0925,-0.0665,0.0313,,0.0547,0.0895,0.0237,,0.0488,0.0594,-0.066,0.0605,-0.0343,,0.0721,-0.043,,,0.0,-0.0502,0.0016,0.0681,0.0389
social_intolerance_outgroups|WVS_A,-0.0094,,,,-0.0311,-0.0354,-0.0468,0.029,,-0.0012,0.0342,,-0.0121,0.0241,-0.0455,-0.0488,0.0204,0.026,-0.0155,-0.0502,0.0,0.0091,,
societal_change_attitudes|WVS_E,,-0.0118,0.0069,0.0073,-0.0213,,,,,,0.0225,-0.001,0.0107,-0.0019,-0.0025,,,-0.0268,0.0055,0.0016,0.0091,0.0,0.013,0.0037
subjective_wellbeing|WVS_A,0.0304,,,,-0.0091,0.0567,0.0176,0.0371,,0.0247,0.0029,,0.0522,-0.0485,0.0863,0.0772,-0.0257,-0.0829,0.0521,0.0681,,0.013,0.0,
voluntary_association_active_membership|WVS_A,0.0172,,,,0.0123,0.013,0.0255,-0.0586,,-0.0283,-0.0266,,0.0099,-0.0109,0.0208,0.0542,0.0028,-0.0319,0.0031,0.0389,,0.0037,,0.0
