,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,277.77777777777777,185.18518518518516,263.1578947368421,57.80346820809249,9999.0,9999.0,9999.0,9999.0,9999.0,50.76142131979696,166.66666666666666,60.975609756097555,500.0,666.6666666666666,9999.0,9999.0,49.26108374384237,9999.0,9999.0,51.54639175257732,9999.0,35.714285714285715,39.0625
child_qualities_autonomy_self_expression|WVS_A,277.77777777777777,0.0,9999.0,9999.0,294.11764705882354,588.2352941176471,384.61538461538464,62.11180124223603,9999.0,1000.0,322.5806451612903,9999.0,86.95652173913044,196.078431372549,136.986301369863,28.653295128939828,74.07407407407408,500.0,9999.0,9999.0,9999.0,133.33333333333334,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,185.18518518518516,9999.0,0.0,9999.0,149.2537313432836,172.41379310344828,277.77777777777777,64.51612903225806,9999.0,833.3333333333334,175.43859649122805,9999.0,79.36507936507937,192.30769230769232,107.52688172043011,29.58579881656805,80.0,1000.0,9999.0,9999.0,9999.0,217.3913043478261,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,263.1578947368421,9999.0,9999.0,0.0,1000.0,169.49152542372883,188.67924528301887,500.0,9999.0,454.5454545454545,1000.0,9999.0,714.2857142857143,1000.0,370.3703703703703,98.0392156862745,625.0,588.2352941176471,9999.0,9999.0,9999.0,769.2307692307693,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,57.80346820809249,294.11764705882354,149.2537313432836,1000.0,0.0,243.90243902439022,56.17977528089888,322.5806451612903,9999.0,133.33333333333334,30.581039755351682,243.90243902439022,31.446540880503143,263.1578947368421,9999.0,39.52569169960474,1000.0,9999.0,9999.0,9999.0,49.26108374384237,1000.0,88.49557522123894,156.25
confidence_in_civil_society_organizations|WVS_E,9999.0,588.2352941176471,172.41379310344828,169.49152542372883,243.90243902439022,0.0,9999.0,9999.0,9999.0,9999.0,52.083333333333336,135.13513513513513,53.763440860215056,256.4102564102564,133.33333333333334,9999.0,9999.0,1000.0,9999.0,9999.0,1000.0,9999.0,133.33333333333334,45.662100456621005
confidence_in_domestic_institutions|WVS_E,9999.0,384.61538461538464,277.77777777777777,188.67924528301887,56.17977528089888,9999.0,0.0,9999.0,9999.0,9999.0,32.57328990228013,97.08737864077669,42.37288135593221,1000.0,769.2307692307693,9999.0,9999.0,44.44444444444444,9999.0,9999.0,49.75124378109453,9999.0,40.0,45.45454545454546
confidence_in_international_organizations|WVS_E,9999.0,62.11180124223603,64.51612903225806,500.0,322.5806451612903,9999.0,9999.0,0.0,9999.0,9999.0,142.85714285714286,357.14285714285717,140.8450704225352,138.88888888888889,90.90909090909092,9999.0,9999.0,123.4567901234568,9999.0,9999.0,131.57894736842104,9999.0,38.61003861003861,28.81844380403458
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,1000.0,833.3333333333334,454.5454545454545,133.33333333333334,9999.0,9999.0,9999.0,9999.0,0.0,208.33333333333334,250.0,200.0,1000.0,1000.0,9999.0,9999.0,111.11111111111111,9999.0,9999.0,125.0,9999.0,103.09278350515464,100.0
gender_role_traditionalism|WVS_D,50.76142131979696,322.5806451612903,175.43859649122805,1000.0,30.581039755351682,52.083333333333336,32.57328990228013,142.85714285714286,9999.0,208.33333333333334,0.0,192.30769230769232,9.132420091324201,70.92198581560284,46.08294930875576,322.5806451612903,1000.0,31.055900621118013,9999.0,9999.0,40.65040650406504,222.22222222222223,42.5531914893617,49.26108374384237
importance_of_life_domains|WVS_A,166.66666666666666,9999.0,9999.0,9999.0,243.90243902439022,135.13513513513513,97.08737864077669,357.14285714285717,9999.0,250.0,192.30769230769232,0.0,188.67924528301887,1000.0,1000.0,144.92753623188406,400.0,172.41379310344828,9999.0,9999.0,9999.0,217.3913043478261,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,60.975609756097555,86.95652173913044,79.36507936507937,714.2857142857143,31.446540880503143,53.763440860215056,42.37288135593221,140.8450704225352,9999.0,200.0,9.132420091324201,188.67924528301887,0.0,9999.0,38.46153846153846,40.816326530612244,123.4567901234568,33.78378378378378,9999.0,9999.0,40.983606557377044,1000.0,57.80346820809249,31.347962382445143
job_scarcity_nativist_preference|WVS_C,500.0,196.078431372549,192.30769230769232,1000.0,263.1578947368421,256.4102564102564,1000.0,138.88888888888889,9999.0,1000.0,70.92198581560284,1000.0,9999.0,0.0,161.29032258064515,48.07692307692308,156.25,588.2352941176471,9999.0,9999.0,909.090909090909,500.0,227.27272727272725,72.99270072992701
life_autonomy_morality_permissiveness|WVS_F,666.6666666666666,136.986301369863,107.52688172043011,370.3703703703703,9999.0,133.33333333333334,769.2307692307693,90.90909090909092,9999.0,1000.0,46.08294930875576,1000.0,38.46153846153846,161.29032258064515,0.0,34.48275862068965,106.38297872340425,9999.0,9999.0,9999.0,227.27272727272725,416.6666666666667,131.57894736842104,41.49377593360996
offline_political_participation|WVS_E,9999.0,28.653295128939828,29.58579881656805,98.0392156862745,39.52569169960474,9999.0,9999.0,9999.0,9999.0,9999.0,322.5806451612903,144.92753623188406,40.816326530612244,48.07692307692308,34.48275862068965,0.0,9999.0,26.881720430107528,9999.0,9999.0,25.06265664160401,9999.0,12.330456226880393,9.099181073703367
postmaterialist_values|WVS_E,9999.0,74.07407407407408,80.0,625.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,400.0,123.4567901234568,156.25,106.38297872340425,9999.0,0.0,227.27272727272725,9999.0,9999.0,263.1578947368421,9999.0,52.083333333333336,33.898305084745765
religious_belief|WVS_F,49.26108374384237,500.0,1000.0,588.2352941176471,9999.0,1000.0,44.44444444444444,123.4567901234568,9999.0,111.11111111111111,31.055900621118013,172.41379310344828,33.78378378378378,588.2352941176471,9999.0,26.881720430107528,227.27272727272725,0.0,9999.0,9999.0,52.083333333333336,1000.0,47.84688995215311,126.58227848101265
religious_practice_and_self_identification|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0
sexual_and_reproductive_morality_permissiveness|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0
social_intolerance_outgroups|WVS_A,51.54639175257732,9999.0,9999.0,9999.0,49.26108374384237,1000.0,49.75124378109453,131.57894736842104,9999.0,125.0,40.65040650406504,9999.0,40.983606557377044,909.090909090909,227.27272727272725,25.06265664160401,263.1578947368421,52.083333333333336,9999.0,9999.0,0.0,1000.0,9999.0,9999.0
societal_change_attitudes|WVS_E,9999.0,133.33333333333334,217.3913043478261,769.2307692307693,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,222.22222222222223,217.3913043478261,1000.0,500.0,416.6666666666667,9999.0,9999.0,1000.0,9999.0,9999.0,1000.0,0.0,217.3913043478261,204.08163265306123
subjective_wellbeing|WVS_A,35.714285714285715,9999.0,9999.0,9999.0,88.49557522123894,133.33333333333334,40.0,38.61003861003861,9999.0,103.09278350515464,42.5531914893617,9999.0,57.80346820809249,227.27272727272725,131.57894736842104,12.330456226880393,52.083333333333336,47.84688995215311,9999.0,9999.0,9999.0,217.3913043478261,0.0,9999.0
voluntary_association_active_membership|WVS_A,39.0625,9999.0,9999.0,9999.0,156.25,45.662100456621005,45.45454545454546,28.81844380403458,9999.0,100.0,49.26108374384237,9999.0,31.347962382445143,72.99270072992701,41.49377593360996,9.099181073703367,33.898305084745765,126.58227848101265,9999.0,9999.0,9999.0,204.08163265306123,9999.0,0.0
