,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.1333,-0.1112,0.0449,,,,,,,0.1375,0.057,0.0071,,,,,0.118,,,,,-0.0624,
child_qualities_autonomy_self_expression|WVS_A,0.1333,0.0,,,,,-0.0241,,,,0.5405,,0.1051,,,,0.0503,0.043,,,,,,
child_qualities_conformity_tradition|WVS_A,-0.1112,,0.0,,,,0.0249,,,,-0.4602,,-0.094,,,,-0.0187,-0.0166,,,,,,
child_qualities_prosocial_diligence|WVS_A,0.0449,,,0.0,,,-0.048,,,,0.3678,,0.0739,,,,-0.0076,-0.0379,,,,,,
civic_dishonesty_tolerance|WVS_F,,,,,0.0,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,,,,,0.0,,,,,,,,,,,,,,,,,,
confidence_in_domestic_institutions|WVS_E,,-0.0241,0.0249,-0.048,,,0.0,,,,-0.0124,0.0614,-0.0134,,,,,0.0861,,,,,-0.0164,
confidence_in_international_organizations|WVS_E,,,,,,,,0.0,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,0.0,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,,,,,,0.0,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,0.1375,0.5405,-0.4602,0.3678,,,-0.0124,,,,0.0,-0.1135,0.1086,,,,0.0509,0.0319,,,,,-0.1245,
importance_of_life_domains|WVS_A,0.057,,,,,,0.0614,,,,-0.1135,0.0,-0.0544,,,,0.0465,0.1054,,,,,,
job_scarcity_gender_discrimination|WVS_C,0.0071,0.1051,-0.094,0.0739,,,-0.0134,,,,0.1086,-0.0544,0.0,,,,-0.0103,-0.0218,,,,,-0.0114,
job_scarcity_nativist_preference|WVS_C,,,,,,,,,,,,,,0.0,,,,,,,,,,
life_autonomy_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,0.0,,,,,,,,,
offline_political_participation|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,
postmaterialist_values|WVS_E,,0.0503,-0.0187,-0.0076,,,,,,,0.0509,0.0465,-0.0103,,,,0.0,0.0961,,,,,-0.0472,
religious_belief|WVS_F,0.118,0.043,-0.0166,-0.0379,,,0.0861,,,,0.0319,0.1054,-0.0218,,,,0.0961,0.0,,,,,-0.0548,
religious_practice_and_self_identification|WVS_F,,,,,,,,,,,,,,,,,,,0.0,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,,,,,,0.0,,,,
social_intolerance_outgroups|WVS_A,,,,,,,,,,,,,,,,,,,,,0.0,,,
societal_change_attitudes|WVS_E,,,,,,,,,,,,,,,,,,,,,,0.0,,
subjective_wellbeing|WVS_A,-0.0624,,,,,,-0.0164,,,,-0.1245,,-0.0114,,,,-0.0472,-0.0548,,,,,0.0,
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,0.0
