,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,85.47008547008546,769.2307692307693,588.2352941176471,78.74015748031496,9999.0,9999.0,9999.0,9999.0,9999.0,85.47008547008546,133.33333333333334,30.959752321981423,93.45794392523365,232.5581395348837,9999.0,9999.0,322.5806451612903,65.35947712418302,1000.0,54.054054054054056,9999.0,59.523809523809526,78.74015748031496
child_qualities_autonomy_self_expression|WVS_A,85.47008547008546,0.0,9999.0,9999.0,1000.0,163.93442622950818,120.48192771084337,196.078431372549,9999.0,102.04081632653062,57.4712643678161,9999.0,46.728971962616825,76.92307692307692,120.48192771084337,62.893081761006286,116.27906976744185,81.30081300813008,123.4567901234568,70.92198581560284,9999.0,232.5581395348837,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,769.2307692307693,9999.0,0.0,9999.0,51.54639175257732,149.2537313432836,101.010101010101,1000.0,9999.0,232.5581395348837,153.84615384615384,9999.0,86.95652173913044,526.3157894736842,62.11180124223603,1000.0,256.4102564102564,54.054054054054056,47.84688995215311,49.75124378109453,9999.0,104.16666666666667,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,588.2352941176471,9999.0,9999.0,0.0,151.51515151515153,666.6666666666666,454.5454545454545,714.2857142857143,9999.0,1000.0,1000.0,9999.0,1000.0,1000.0,217.3913043478261,454.5454545454545,625.0,149.2537313432836,136.986301369863,178.57142857142858,9999.0,212.7659574468085,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,78.74015748031496,1000.0,51.54639175257732,151.51515151515153,0.0,26.315789473684212,17.6678445229682,40.48582995951417,9999.0,285.7142857142857,17.006802721088437,24.509803921568626,9.900990099009901,20.080321285140563,9999.0,50.0,43.29004329004329,9999.0,9999.0,9999.0,19.646365422396855,27.855153203342617,18.90359168241966,41.1522633744856
confidence_in_civil_society_organizations|WVS_E,9999.0,163.93442622950818,149.2537313432836,666.6666666666666,26.315789473684212,0.0,9999.0,9999.0,9999.0,9999.0,30.8641975308642,69.93006993006993,18.315018315018314,56.497175141242934,22.075055187637968,9999.0,9999.0,64.51612903225806,44.052863436123346,26.455026455026456,27.62430939226519,9999.0,53.191489361702125,89.28571428571429
confidence_in_domestic_institutions|WVS_E,9999.0,120.48192771084337,101.010101010101,454.5454545454545,17.6678445229682,9999.0,0.0,9999.0,9999.0,9999.0,24.57002457002457,49.01960784313725,14.388489208633093,39.52569169960474,15.015015015015013,9999.0,9999.0,46.29629629629629,31.25,17.88908765652952,21.598272138228943,9999.0,32.89473684210526,105.26315789473685
confidence_in_international_organizations|WVS_E,9999.0,196.078431372549,1000.0,714.2857142857143,40.48582995951417,9999.0,9999.0,0.0,9999.0,9999.0,31.645569620253163,119.04761904761905,21.598272138228943,58.13953488372093,28.169014084507044,9999.0,9999.0,1000.0,232.5581395348837,35.2112676056338,21.50537634408602,9999.0,52.631578947368425,555.5555555555555
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,102.04081632653062,232.5581395348837,1000.0,285.7142857142857,9999.0,9999.0,9999.0,9999.0,0.0,99.00990099009901,833.3333333333334,31.347962382445143,250.0,294.11764705882354,9999.0,9999.0,66.2251655629139,153.84615384615384,151.51515151515153,263.1578947368421,9999.0,90.09009009009009,44.052863436123346
gender_role_traditionalism|WVS_D,85.47008547008546,57.4712643678161,153.84615384615384,1000.0,17.006802721088437,30.8641975308642,24.57002457002457,31.645569620253163,9999.0,99.00990099009901,0.0,52.631578947368425,9.37207122774133,35.842293906810035,13.071895424836601,90.90909090909092,51.81347150259067,44.84304932735426,46.08294930875576,14.534883720930232,12.360939431396787,243.90243902439022,34.24657534246575,68.4931506849315
importance_of_life_domains|WVS_A,133.33333333333334,9999.0,9999.0,9999.0,24.509803921568626,69.93006993006993,49.01960784313725,119.04761904761905,9999.0,833.3333333333334,52.631578947368425,0.0,30.3030303030303,55.55555555555556,26.246719160104984,74.07407407407408,106.38297872340425,55.55555555555556,31.055900621118013,29.761904761904763,9999.0,57.80346820809249,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,30.959752321981423,46.728971962616825,86.95652173913044,1000.0,9.900990099009901,18.315018315018314,14.388489208633093,21.598272138228943,9999.0,31.347962382445143,9.37207122774133,30.3030303030303,0.0,9999.0,8.31255195344971,14.970059880239521,84.74576271186442,21.413276231263385,20.28397565922921,8.8339222614841,8.39630562552477,833.3333333333334,24.875621890547265,20.53388090349076
job_scarcity_nativist_preference|WVS_C,93.45794392523365,76.92307692307692,526.3157894736842,1000.0,20.080321285140563,56.497175141242934,39.52569169960474,58.13953488372093,9999.0,250.0,35.842293906810035,55.55555555555556,9999.0,0.0,19.607843137254903,52.631578947368425,108.69565217391305,121.95121951219511,30.211480362537767,26.455026455026456,33.003300330033,60.6060606060606,35.08771929824561,303.03030303030306
life_autonomy_morality_permissiveness|WVS_F,232.5581395348837,120.48192771084337,62.11180124223603,217.3913043478261,9999.0,22.075055187637968,15.015015015015013,28.169014084507044,9999.0,294.11764705882354,13.071895424836601,26.246719160104984,8.31255195344971,19.607843137254903,0.0,62.11180124223603,31.645569620253163,9999.0,9999.0,9999.0,11.547344110854503,31.746031746031747,17.57469244288225,42.73504273504273
offline_political_participation|WVS_E,9999.0,62.893081761006286,1000.0,454.5454545454545,50.0,9999.0,9999.0,9999.0,9999.0,9999.0,90.90909090909092,74.07407407407408,14.970059880239521,52.631578947368425,62.11180124223603,0.0,9999.0,51.81347150259067,84.03361344537815,208.33333333333334,123.4567901234568,9999.0,23.980815347721823,22.831050228310502
postmaterialist_values|WVS_E,9999.0,116.27906976744185,256.4102564102564,625.0,43.29004329004329,9999.0,9999.0,9999.0,9999.0,9999.0,51.81347150259067,106.38297872340425,84.74576271186442,108.69565217391305,31.645569620253163,9999.0,0.0,1000.0,243.90243902439022,33.44481605351171,28.98550724637681,9999.0,42.5531914893617,102.04081632653062
religious_belief|WVS_F,322.5806451612903,81.30081300813008,54.054054054054056,149.2537313432836,9999.0,64.51612903225806,46.29629629629629,1000.0,9999.0,66.2251655629139,44.84304932735426,55.55555555555556,21.413276231263385,121.95121951219511,9999.0,51.81347150259067,1000.0,0.0,9999.0,9999.0,384.61538461538464,64.93506493506493,91.74311926605505,30.769230769230766
religious_practice_and_self_identification|WVS_F,65.35947712418302,123.4567901234568,47.84688995215311,136.986301369863,9999.0,44.052863436123346,31.25,232.5581395348837,9999.0,153.84615384615384,46.08294930875576,31.055900621118013,20.28397565922921,30.211480362537767,9999.0,84.03361344537815,243.90243902439022,9999.0,0.0,9999.0,256.4102564102564,28.169014084507044,31.055900621118013,33.11258278145695
sexual_and_reproductive_morality_permissiveness|WVS_F,1000.0,70.92198581560284,49.75124378109453,178.57142857142858,9999.0,26.455026455026456,17.88908765652952,35.2112676056338,9999.0,151.51515151515153,14.534883720930232,29.761904761904763,8.8339222614841,26.455026455026456,9999.0,208.33333333333334,33.44481605351171,9999.0,9999.0,0.0,13.227513227513228,34.72222222222222,21.551724137931036,38.61003861003861
social_intolerance_outgroups|WVS_A,54.054054054054056,9999.0,9999.0,9999.0,19.646365422396855,27.62430939226519,21.598272138228943,21.50537634408602,9999.0,263.1578947368421,12.360939431396787,9999.0,8.39630562552477,33.003300330033,11.547344110854503,123.4567901234568,28.98550724637681,384.61538461538464,256.4102564102564,13.227513227513228,0.0,1000.0,9999.0,9999.0
societal_change_attitudes|WVS_E,9999.0,232.5581395348837,104.16666666666667,212.7659574468085,27.855153203342617,9999.0,9999.0,9999.0,9999.0,9999.0,243.90243902439022,57.80346820809249,833.3333333333334,60.6060606060606,31.746031746031747,9999.0,9999.0,64.93506493506493,28.169014084507044,34.72222222222222,1000.0,0.0,43.47826086956522,625.0
subjective_wellbeing|WVS_A,59.523809523809526,9999.0,9999.0,9999.0,18.90359168241966,53.191489361702125,32.89473684210526,52.631578947368425,9999.0,90.09009009009009,34.24657534246575,9999.0,24.875621890547265,35.08771929824561,17.57469244288225,23.980815347721823,42.5531914893617,91.74311926605505,31.055900621118013,21.551724137931036,9999.0,43.47826086956522,0.0,9999.0
voluntary_association_active_membership|WVS_A,78.74015748031496,9999.0,9999.0,9999.0,41.1522633744856,89.28571428571429,105.26315789473685,555.5555555555555,9999.0,44.052863436123346,68.4931506849315,9999.0,20.53388090349076,303.03030303030306,42.73504273504273,22.831050228310502,102.04081632653062,30.769230769230766,33.11258278145695,38.61003861003861,9999.0,625.0,9999.0,0.0
