,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,0.022,-0.0083,0.0121,-0.0011,,,,,,0.0104,-0.0036,0.009,-0.0022,0.0087,,,-0.0239,0.0259,0.0157,-0.0079,,0.012,
child_qualities_autonomy_self_expression|WVS_A,0.022,0.0,,,0.0342,0.0177,0.0163,-0.0475,,-0.0498,0.0651,,0.0468,-0.0225,0.0523,0.0442,0.0087,-0.0894,0.1065,0.0811,,-0.0175,,
child_qualities_conformity_tradition|WVS_A,-0.0083,,0.0,,-0.0109,-0.0118,-0.0064,0.017,,0.0169,-0.0128,,-0.0138,0.0037,-0.0184,-0.0191,-0.0074,0.0355,-0.0397,-0.0279,,0.0023,,
child_qualities_prosocial_diligence|WVS_A,0.0121,,,0.0,0.0104,0.0181,0.0098,-0.0166,,-0.0084,0.0211,,0.0054,-0.0217,0.0155,0.0177,0.0062,-0.0524,0.0603,0.0239,,0.0009,,
civic_dishonesty_tolerance|WVS_F,-0.0011,0.0342,-0.0109,0.0104,0.0,0.0396,0.0159,-0.0042,,-0.0188,0.004,-0.0236,0.0103,-0.0211,,0.0064,-0.01,,,,-0.0088,-0.0501,0.0089,
confidence_in_civil_society_organizations|WVS_E,,0.0177,-0.0118,0.0181,0.0396,0.0,,,,,-0.0136,-0.0246,-0.0016,-0.0184,0.0257,,,-0.0638,0.0688,0.0383,0.0014,,0.0095,
confidence_in_domestic_institutions|WVS_E,,0.0163,-0.0064,0.0098,0.0159,,0.0,,,,0.0039,-0.0107,0.0035,-0.0086,0.0128,,,-0.0272,0.0304,0.0187,-0.0037,,0.0079,
confidence_in_international_organizations|WVS_E,,-0.0475,0.017,-0.0166,-0.0042,,,0.0,,,-0.0232,0.0051,-0.0207,0.0036,-0.0207,,,0.044,-0.0488,-0.0322,0.0186,,-0.0244,
democratic_system_evaluation|WVS_E,,,,,,,,,0.0,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,-0.0498,0.0169,-0.0084,-0.0188,,,,,0.0,-0.0296,-0.0023,-0.0288,-0.0011,-0.032,,,0.041,-0.045,-0.0452,0.0264,,-0.0252,
gender_role_traditionalism|WVS_D,0.0104,0.0651,-0.0128,0.0211,0.004,-0.0136,0.0039,-0.0232,,-0.0296,0.0,-0.0075,0.0303,-0.008,0.0228,0.0157,-0.0043,-0.0265,0.0321,0.0335,-0.0294,-0.0033,0.0252,
