,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,14.245014245014245,13.58695652173913,18.6219739292365,45.04504504504504,9999.0,9999.0,9999.0,9999.0,9999.0,11.135857461024498,34.36426116838488,14.388489208633093,12.077294685990339,12.804097311139564,9999.0,9999.0,13.458950201884251,12.77139208173691,10.330578512396695,9.354536950420954,9999.0,13.123359580052492,49.01960784313725
child_qualities_autonomy_self_expression|WVS_A,14.245014245014245,0.0,9999.0,9999.0,23.52941176470588,1000.0,33.44481605351171,44.24778761061947,9999.0,88.49557522123894,11.013215859030836,9999.0,14.903129657228016,12.658227848101266,10.224948875255624,9.487666034155598,50.25125628140703,10.940919037199125,9.587727708533077,9.074410163339383,9999.0,555.5555555555555,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,13.58695652173913,9999.0,0.0,9999.0,34.72222222222222,151.51515151515153,35.842293906810035,57.80346820809249,9999.0,59.880239520958085,11.11111111111111,9999.0,14.306151645207438,11.60092807424594,10.952902519167578,8.920606601248885,31.152647975077883,11.074197120708748,9.83284169124877,9.191176470588236,9999.0,88.49557522123894,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,18.6219739292365,9999.0,9999.0,0.0,64.93506493506493,121.95121951219511,52.91005291005291,103.09278350515464,9999.0,68.4931506849315,15.797788309636653,9999.0,19.047619047619047,16.58374792703151,16.528925619834713,13.071895424836601,34.36426116838488,15.408320493066256,15.45595054095827,15.15151515151515,9999.0,90.90909090909092,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,45.04504504504504,23.52941176470588,34.72222222222222,64.93506493506493,0.0,90.90909090909092,128.2051282051282,52.35602094240838,9999.0,68.4931506849315,34.96503496503497,19.960079840319363,24.509803921568626,19.801980198019802,9999.0,44.44444444444444,60.24096385542168,9999.0,9999.0,9999.0,16.31321370309951,18.45018450184502,25.906735751295336,27.3224043715847
confidence_in_civil_society_organizations|WVS_E,9999.0,1000.0,151.51515151515153,121.95121951219511,90.90909090909092,0.0,9999.0,9999.0,9999.0,9999.0,212.7659574468085,133.33333333333334,78.125,84.74576271186442,161.29032258064515,9999.0,9999.0,71.42857142857143,136.986301369863,100.0,333.3333333333333,9999.0,277.77777777777777,125.0
confidence_in_domestic_institutions|WVS_E,9999.0,33.44481605351171,35.842293906810035,52.91005291005291,128.2051282051282,9999.0,0.0,9999.0,9999.0,9999.0,34.013605442176875,136.986301369863,45.24886877828054,35.3356890459364,32.78688524590164,9999.0,9999.0,28.328611898016998,24.630541871921185,30.211480362537767,25.641025641025642,9999.0,33.222591362126245,344.82758620689657
confidence_in_international_organizations|WVS_E,9999.0,44.24778761061947,57.80346820809249,103.09278350515464,52.35602094240838,9999.0,9999.0,0.0,9999.0,9999.0,41.666666666666664,86.20689655172414,70.92198581560284,48.309178743961354,39.0625,9999.0,9999.0,51.81347150259067,39.0625,32.67973856209151,33.222591362126245,9999.0,50.25125628140703,169.49152542372883
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,88.49557522123894,59.880239520958085,68.4931506849315,68.4931506849315,9999.0,9999.0,9999.0,9999.0,0.0,476.1904761904762,103.09278350515464,53.475935828877,51.81347150259067,51.54639175257732,9999.0,9999.0,31.545741324921135,40.48582995951417,45.45454545454546,94.33962264150944,9999.0,83.33333333333333,119.04761904761905
gender_role_traditionalism|WVS_D,11.135857461024498,11.013215859030836,11.11111111111111,15.797788309636653,34.96503496503497,212.7659574468085,34.013605442176875,41.666666666666664,9999.0,476.1904761904762,0.0,26.17801047120419,11.947431302270012,10.090817356205854,9.165902841429881,9.017132551848512,50.0,12.903225806451614,10.92896174863388,8.116883116883116,7.209805335255949,149.2537313432836,10.351966873706004,42.5531914893617
