,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A
autocracy_support|WVS_E,0.0,217.3913043478261,400.0,212.7659574468085,161.29032258064515,9999.0,9999.0,9999.0,9999.0,9999.0,81.30081300813008,105.26315789473685,121.95121951219511,153.84615384615384,97.08737864077669,9999.0,9999.0,185.18518518518516,204.08163265306123,147.05882352941177,81.96721311475409,9999.0,39.37007874015748,1000.0
child_qualities_autonomy_self_expression|WVS_A,217.3913043478261,0.0,9999.0,9999.0,55.865921787709496,104.16666666666667,217.3913043478261,117.6470588235294,9999.0,161.29032258064515,63.291139240506325,9999.0,111.11111111111111,79.36507936507937,82.64462809917356,45.45454545454546,625.0,81.96721311475409,87.71929824561403,72.99270072992701,9999.0,277.77777777777777,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,400.0,9999.0,0.0,9999.0,178.57142857142858,357.14285714285717,285.7142857142857,526.3157894736842,9999.0,156.25,769.2307692307693,9999.0,238.0952380952381,153.84615384615384,158.73015873015873,52.35602094240838,169.49152542372883,91.74311926605505,74.07407407407408,217.3913043478261,9999.0,1000.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,212.7659574468085,9999.0,9999.0,0.0,82.64462809917356,400.0,60.975609756097555,61.34969325153375,9999.0,87.71929824561403,1000.0,9999.0,1000.0,1000.0,185.18518518518516,79.36507936507937,72.46376811594203,175.43859649122805,285.7142857142857,1000.0,9999.0,1000.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,161.29032258064515,55.865921787709496,178.57142857142858,82.64462809917356,0.0,76.92307692307692,29.15451895043732,20.66115702479339,9999.0,48.07692307692308,69.44444444444444,769.2307692307693,116.27906976744185,59.1715976331361,9999.0,1000.0,33.898305084745765,9999.0,9999.0,9999.0,71.42857142857143,555.5555555555555,38.314176245210724,123.4567901234568
confidence_in_civil_society_organizations|WVS_E,9999.0,104.16666666666667,357.14285714285717,400.0,76.92307692307692,0.0,9999.0,9999.0,9999.0,9999.0,32.362459546925564,99.00990099009901,44.84304932735426,79.36507936507937,111.11111111111111,9999.0,9999.0,208.33333333333334,84.03361344537815,76.92307692307692,153.84615384615384,9999.0,99.00990099009901,129.87012987012986
confidence_in_domestic_institutions|WVS_E,9999.0,217.3913043478261,285.7142857142857,60.975609756097555,29.15451895043732,9999.0,0.0,9999.0,9999.0,9999.0,42.19409282700422,36.90036900369004,76.92307692307692,129.87012987012986,35.587188612099645,9999.0,9999.0,35.97122302158274,47.16981132075472,90.09009009009009,26.315789473684212,9999.0,13.054830287206267,285.7142857142857
confidence_in_international_organizations|WVS_E,9999.0,117.6470588235294,526.3157894736842,61.34969325153375,20.66115702479339,9999.0,9999.0,0.0,9999.0,9999.0,833.3333333333334,75.18796992481204,434.7826086956522,222.22222222222223,78.74015748031496,9999.0,9999.0,30.211480362537767,37.87878787878788,294.11764705882354,40.16064257028113,9999.0,18.90359168241966,156.25
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,161.29032258064515,156.25,87.71929824561403,48.07692307692308,9999.0,9999.0,9999.0,9999.0,0.0,80.64516129032258,54.6448087431694,161.29032258064515,212.7659574468085,48.07692307692308,9999.0,9999.0,84.74576271186442,256.4102564102564,105.26315789473685,43.66812227074236,9999.0,18.315018315018314,294.11764705882354
gender_role_traditionalism|WVS_D,81.30081300813008,63.291139240506325,769.2307692307693,1000.0,69.44444444444444,32.362459546925564,42.19409282700422,833.3333333333334,9999.0,80.64516129032258,0.0,56.17977528089888,32.25806451612903,55.24861878453038,57.80346820809249,52.91005291005291,204.08163265306123,131.57894736842104,69.93006993006993,46.728971962616825,61.7283950617284,109.89010989010988,36.76470588235294,135.13513513513513
importance_of_life_domains|WVS_A,105.26315789473685,9999.0,9999.0,9999.0,769.2307692307693,99.00990099009901,36.90036900369004,75.18796992481204,9999.0,54.6448087431694,56.17977528089888,0.0,84.74576271186442,103.09278350515464,65.35947712418302,40.0,58.8235294117647,243.90243902439022,344.82758620689657,84.03361344537815,9999.0,222.22222222222223,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,121.95121951219511,111.11111111111111,238.0952380952381,1000.0,116.27906976744185,44.84304932735426,76.92307692307692,434.7826086956522,9999.0,161.29032258064515,32.25806451612903,84.74576271186442,0.0,9999.0,99.00990099009901,151.51515151515153,1000.0,114.9425287356322,60.975609756097555,67.11409395973155,109.89010989010988,156.25,57.80346820809249,108.69565217391305
job_scarcity_nativist_preference|WVS_C,153.84615384615384,79.36507936507937,153.84615384615384,1000.0,59.1715976331361,79.36507936507937,129.87012987012986,222.22222222222223,9999.0,212.7659574468085,55.24861878453038,103.09278350515464,9999.0,0.0,109.89010989010988,60.6060606060606,434.7826086956522,102.04081632653062,250.0,91.74311926605505,108.69565217391305,243.90243902439022,76.33587786259541,1000.0
life_autonomy_morality_permissiveness|WVS_F,97.08737864077669,82.64462809917356,158.73015873015873,185.18518518518516,9999.0,111.11111111111111,35.587188612099645,78.74015748031496,9999.0,48.07692307692308,57.80346820809249,65.35947712418302,99.00990099009901,109.89010989010988,0.0,26.315789473684212,47.61904761904761,9999.0,9999.0,9999.0,69.44444444444444,208.33333333333334,28.49002849002849,175.43859649122805
offline_political_participation|WVS_E,9999.0,45.45454545454546,52.35602094240838,79.36507936507937,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,52.91005291005291,40.0,151.51515151515153,60.6060606060606,26.315789473684212,0.0,9999.0,100.0,42.016806722689076,38.46153846153846,39.682539682539684,9999.0,13.94700139470014,42.37288135593221
postmaterialist_values|WVS_E,9999.0,625.0,169.49152542372883,72.46376811594203,33.898305084745765,9999.0,9999.0,9999.0,9999.0,9999.0,204.08163265306123,58.8235294117647,1000.0,434.7826086956522,47.61904761904761,9999.0,0.0,61.34969325153375,217.3913043478261,163.93442622950818,41.1522633744856,9999.0,17.793594306049823,140.8450704225352
religious_belief|WVS_F,185.18518518518516,81.96721311475409,91.74311926605505,175.43859649122805,9999.0,208.33333333333334,35.97122302158274,30.211480362537767,9999.0,84.74576271186442,131.57894736842104,243.90243902439022,114.9425287356322,102.04081632653062,9999.0,100.0,61.34969325153375,0.0,9999.0,9999.0,101.010101010101,769.2307692307693,53.763440860215056,65.78947368421052
religious_practice_and_self_identification|WVS_F,204.08163265306123,87.71929824561403,74.07407407407408,285.7142857142857,9999.0,84.03361344537815,47.16981132075472,37.87878787878788,9999.0,256.4102564102564,69.93006993006993,344.82758620689657,60.975609756097555,250.0,9999.0,42.016806722689076,217.3913043478261,9999.0,0.0,9999.0,97.08737864077669,434.7826086956522,113.63636363636363,45.04504504504504
sexual_and_reproductive_morality_permissiveness|WVS_F,147.05882352941177,72.99270072992701,217.3913043478261,1000.0,9999.0,76.92307692307692,90.09009009009009,294.11764705882354,9999.0,105.26315789473685,46.728971962616825,84.03361344537815,67.11409395973155,91.74311926605505,9999.0,38.46153846153846,163.93442622950818,9999.0,9999.0,0.0,128.2051282051282,222.22222222222223,49.26108374384237,263.1578947368421
social_intolerance_outgroups|WVS_A,81.96721311475409,9999.0,9999.0,9999.0,71.42857142857143,153.84615384615384,26.315789473684212,40.16064257028113,9999.0,43.66812227074236,61.7283950617284,9999.0,109.89010989010988,108.69565217391305,69.44444444444444,39.682539682539684,41.1522633744856,101.010101010101,97.08737864077669,128.2051282051282,0.0,227.27272727272725,9999.0,9999.0
societal_change_attitudes|WVS_E,9999.0,277.77777777777777,1000.0,1000.0,555.5555555555555,9999.0,9999.0,9999.0,9999.0,9999.0,109.89010989010988,222.22222222222223,156.25,243.90243902439022,208.33333333333334,9999.0,9999.0,769.2307692307693,434.7826086956522,222.22222222222223,227.27272727272725,0.0,113.63636363636363,1000.0
subjective_wellbeing|WVS_A,39.37007874015748,9999.0,9999.0,9999.0,38.314176245210724,99.00990099009901,13.054830287206267,18.90359168241966,9999.0,18.315018315018314,36.76470588235294,9999.0,57.80346820809249,76.33587786259541,28.49002849002849,13.94700139470014,17.793594306049823,53.763440860215056,113.63636363636363,49.26108374384237,9999.0,113.63636363636363,0.0,9999.0
voluntary_association_active_membership|WVS_A,1000.0,9999.0,9999.0,9999.0,123.4567901234568,129.87012987012986,285.7142857142857,156.25,9999.0,294.11764705882354,135.13513513513513,9999.0,108.69565217391305,1000.0,175.43859649122805,42.37288135593221,140.8450704225352,65.78947368421052,45.04504504504504,263.1578947368421,9999.0,1000.0,9999.0,0.0
