,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.003,-0.0019,0.0041,-0.0148,,,,,,0.0221,0.0012,0.0116,0.0131,0.0171,,,-0.0083,0.0099,0.0126,-0.024,,0.0009,-0.0113,-0.0173
child_qualities_autonomy_self_expression|WVS_A,0.003,0.0,,,0.0124,-0.0074,0.0276,0.008,0.0225,-0.0161,0.0411,,0.0391,0.0062,0.0209,0.0362,-0.019,-0.0187,0.028,0.0278,,-0.0009,,,0.0229
child_qualities_conformity_tradition|WVS_A,-0.0019,,0.0,,-0.0145,-0.0036,-0.0174,0.0037,-0.0086,0.0079,-0.0074,,-0.0106,0.0002,-0.0118,-0.0222,-0.001,0.0107,-0.0171,-0.0125,,0.0042,,,-0.0124
child_qualities_prosocial_diligence|WVS_A,0.0041,,,0.0,-0.0009,0.0004,0.0047,-0.0034,0.0022,-0.0044,0.0011,,-0.0011,0.0026,0.0043,0.0037,0.0076,-0.0012,0.0021,0.0007,,0.0036,,,-0.0044
civic_dishonesty_tolerance|WVS_F,-0.0148,0.0124,-0.0145,-0.0009,0.0,0.0101,0.0089,-0.0013,-0.009,0.0118,-0.0088,-0.0185,0.0031,-0.0093,,-0.0186,-0.0077,,,,0.011,-0.0212,0.0016,0.0085,0.0346
confidence_in_civil_society_organizations|WVS_E,,-0.0074,-0.0036,0.0004,0.0101,0.0,,,,,-0.0368,-0.0038,-0.0197,-0.0165,-0.005,,,-0.0061,0.0043,-0.0108,0.0049,,-0.007,-0.0004,0.0018
confidence_in_domestic_institutions|WVS_E,,0.0276,-0.0174,0.0047,0.0089,,0.0,,,,0.0348,-0.012,0.0277,0.0127,0.0281,,,-0.0175,0.0288,0.0276,-0.0367,,0.0114,-0.0019,0.0073
confidence_in_international_organizations|WVS_E,,0.008,0.0037,-0.0034,-0.0013,,,0.0,,,0.0246,0.0038,0.0164,0.0076,-0.0028,,,0.0087,-0.007,0.0049,0.0064,,0.0095,0.0115,0.0102
democratic_system_evaluation|WVS_E,,0.0225,-0.0086,0.0022,-0.009,,,,0.0,,0.0304,0.0026,0.0233,0.0096,0.0254,,,-0.0218,0.026,0.0242,-0.0382,,0.0157,0.0061,-0.0103
economic_ideology|WVS_E,,-0.0161,0.0079,-0.0044,0.0118,,,,,0.0,-0.0206,-0.0015,-0.0153,-0.0101,-0.0256,,,0.0213,-0.0259,-0.0188,0.0383,,-0.0095,0.0053,0.0191
gender_role_traditionalism|WVS_D,0.0221,0.0411,-0.0074,0.0011,-0.0088,-0.0368,0.0348,0.0246,0.0304,-0.0206,0.0,-0.0053,0.0754,0.0481,0.0282,-0.0317,-0.0178,0.0105,0.0062,0.0447,-0.0246,0.0262,0.0307,0.0026,0.0187
importance_of_life_domains|WVS_A,0.0012,,,,-0.0185,-0.0038,-0.012,0.0038,0.0026,-0.0015,-0.0053,0.0,-0.0051,-0.0017,-0.0031,0.0106,-0.0056,-0.0026,-0.0059,-0.0029,,0.0067,,,-0.016
job_scarcity_gender_discrimination|WVS_C,0.0116,0.0391,-0.0106,-0.0011,0.0031,-0.0197,0.0277,0.0164,0.0233,-0.0153,0.0754,-0.0051,0.0,,0.0207,0.0002,-0.0173,-0.0019,0.0132,0.0333,-0.0194,0.0105,0.0275,0.0174,
job_scarcity_nativist_preference|WVS_C,0.0131,0.0062,0.0002,0.0026,-0.0093,-0.0165,0.0127,0.0076,0.0096,-0.0101,0.0481,-0.0017,,0.0,0.01,-0.0209,0.0023,0.0085,-0.0034,0.013,-0.0085,0.0155,0.0021,-0.0109,
life_autonomy_morality_permissiveness|WVS_F,0.0171,0.0209,-0.0118,0.0043,,-0.005,0.0281,-0.0028,0.0254,-0.0256,0.0282,-0.0031,0.0207,0.01,0.0,0.0488,0.0081,,,,-0.0362,0.0132,0.0097,-0.0028,-0.008
offline_political_participation|WVS_E,,0.0362,-0.0222,0.0037,-0.0186,,,,,,-0.0317,0.0106,0.0002,-0.0209,0.0488,0.0,,-0.0771,0.0775,0.0301,-0.0933,,0.0287,0.0204,-0.042
postmaterialist_values|WVS_E,,-0.019,-0.001,0.0076,-0.0077,,,,,,-0.0178,-0.0056,-0.0173,0.0023,0.0081,,0.0,-0.0056,0.002,-0.0065,-0.0102,,-0.0211,-0.0308,-0.0205
religious_belief|WVS_F,-0.0083,-0.0187,0.0107,-0.0012,,-0.0061,-0.0175,0.0087,-0.0218,0.0213,0.0105,-0.0026,-0.0019,0.0085,,-0.0771,-0.0056,0.0,,,0.033,-0.0022,-0.0129,-0.0099,0.0102
religious_practice_and_self_identification|WVS_F,0.0099,0.028,-0.0171,0.0021,,0.0043,0.0288,-0.007,0.026,-0.0259,0.0062,-0.0059,0.0132,-0.0034,,0.0775,0.002,,0.0,,-0.0405,0.001,0.0163,0.0098,-0.0003
sexual_and_reproductive_morality_permissiveness|WVS_F,0.0126,0.0278,-0.0125,0.0007,,-0.0108,0.0276,0.0049,0.0242,-0.0188,0.0447,-0.0029,0.0333,0.013,,0.0301,-0.0065,,,0.0,-0.0275,0.0086,0.022,0.011,0.0084
social_intolerance_outgroups|WVS_A,-0.024,,,,0.011,0.0049,-0.0367,0.0064,-0.0382,0.0383,-0.0246,,-0.0194,-0.0085,-0.0362,-0.0933,-0.0102,0.033,-0.0405,-0.0275,0.0,-0.017,,,0.0174
societal_change_attitudes|WVS_E,,-0.0009,0.0042,0.0036,-0.0212,,,,,,0.0262,0.0067,0.0105,0.0155,0.0132,,,-0.0022,0.001,0.0086,-0.017,0.0,-0.0002,-0.0124,-0.023
subjective_wellbeing|WVS_A,0.0009,,,,0.0016,-0.007,0.0114,0.0095,0.0157,-0.0095,0.0307,,0.0275,0.0021,0.0097,0.0287,-0.0211,-0.0129,0.0163,0.022,,-0.0002,0.0,,0.012
voluntary_association_belonging|WVS_A,-0.0113,,,,0.0085,-0.0004,-0.0019,0.0115,0.0061,0.0053,0.0026,,0.0174,-0.0109,-0.0028,0.0204,-0.0308,-0.0099,0.0098,0.011,,-0.0124,,0.0,0.018
work_ethic|WVS_C,-0.0173,0.0229,-0.0124,-0.0044,0.0346,0.0018,0.0073,0.0102,-0.0103,0.0191,0.0187,-0.016,,,-0.008,-0.042,-0.0205,0.0102,-0.0003,0.0084,0.0174,-0.023,0.012,0.018,0.0
