,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.0005,0.0099,-0.011,,,,,,,-0.0108,0.0197,-0.036,-0.0005,,,,0.0042,-0.0214,,0.0082,,0.0069,0.0342,-0.0027
child_qualities_autonomy_self_expression|WVS_A,0.0005,0.0,,,,0.0061,0.0189,0.0032,0.0161,-0.0056,0.0034,,0.0019,-0.0083,,0.0254,0.0079,-0.0126,-0.0045,,,0.004,,,-0.0063
child_qualities_conformity_tradition|WVS_A,0.0099,,0.0,,,-0.0036,-0.0085,-0.0087,-0.0205,-0.0013,-0.0041,,-0.0226,0.0032,,0.0033,0.0025,0.0105,-0.0118,,,0.0065,,,-0.0022
child_qualities_prosocial_diligence|WVS_A,-0.011,,,0.0,,-0.0005,0.02,0.0086,0.0181,0.0025,0.0251,,0.0357,-0.0171,,0.0059,-0.0042,-0.0237,0.0151,,,0.0197,,,-0.0129
civic_dishonesty_tolerance|WVS_F,,,,,0.0,,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,0.0061,-0.0036,-0.0005,,0.0,,,,,-0.0091,-0.0076,-0.0045,0.0012,,,,-0.0027,-0.0122,,-0.0109,,-0.0022,0.0334,-0.0004
confidence_in_domestic_institutions|WVS_E,,0.0189,-0.0085,0.02,,,0.0,,,,0.0146,-0.0067,-0.0141,-0.0429,,,,-0.0605,-0.0088,,0.0539,,0.0395,0.0814,-0.021
confidence_in_international_organizations|WVS_E,,0.0032,-0.0087,0.0086,,,,0.0,,,0.0061,-0.0103,0.0104,-0.01,,,,-0.0208,0.0125,,0.0092,,0.0025,0.0027,0.0008
democratic_system_evaluation|WVS_E,,0.0161,-0.0205,0.0181,,,,,0.0,,0.0051,-0.026,0.0176,-0.0231,,,,-0.0458,0.0084,,0.0105,,0.0073,0.0476,-0.0039
economic_ideology|WVS_E,,-0.0056,-0.0013,0.0025,,,,,,0.0,0.0076,-0.0063,0.0259,0.0102,,,,0.0137,0.0152,,-0.0124,,-0.01,-0.0478,0.0035
gender_role_traditionalism|WVS_D,-0.0108,0.0034,-0.0041,0.0251,,-0.0091,0.0146,0.0061,0.0051,0.0076,0.0,-0.0073,0.0384,-0.0195,,-0.0082,-0.0122,-0.0249,0.0204,,0.0363,0.0362,0.0281,-0.0298,-0.0175
importance_of_life_domains|WVS_A,0.0197,,,,,-0.0076,-0.0067,-0.0103,-0.026,-0.0063,-0.0073,0.0,-0.0506,0.0,,0.0183,0.0046,0.0084,-0.0192,,,0.0124,,,-0.0017
job_scarcity_gender_discrimination|WVS_C,-0.036,0.0019,-0.0226,0.0357,,-0.0045,-0.0141,0.0104,0.0176,0.0259,0.0384,-0.0506,0.0,,,-0.0814,-0.0229,-0.0089,0.045,,-0.017,0.0058,-0.0049,-0.0873,
job_scarcity_nativist_preference|WVS_C,-0.0005,-0.0083,0.0032,-0.0171,,0.0012,-0.0429,-0.01,-0.0231,0.0102,-0.0195,0.0,,0.0,,-0.0466,-0.004,0.0401,-0.0052,,-0.0456,-0.0307,-0.0307,-0.0291,
life_autonomy_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,0.0,,,,,,,,,,
offline_political_participation|WVS_E,,0.0254,0.0033,0.0059,,,,,,,-0.0082,0.0183,-0.0814,-0.0466,,0.0,,-0.0566,-0.0506,,0.0662,,0.0545,0.1641,-0.0308
postmaterialist_values|WVS_E,,0.0079,0.0025,-0.0042,,,,,,,-0.0122,0.0046,-0.0229,-0.004,,,0.0,-0.0027,-0.027,,0.0007,,0.0082,0.0625,-0.0062
religious_belief|WVS_F,0.0042,-0.0126,0.0105,-0.0237,,-0.0027,-0.0605,-0.0208,-0.0458,0.0137,-0.0249,0.0084,-0.0089,0.0401,,-0.0566,-0.0027,0.0,,,-0.0565,-0.0365,-0.0355,-0.0345,0.0166
religious_practice_and_self_identification|WVS_F,-0.0214,-0.0045,-0.0118,0.0151,,-0.0122,-0.0088,0.0125,0.0084,0.0152,0.0204,-0.0192,0.045,-0.0052,,-0.0506,-0.027,,0.0,,0.0039,0.0052,-0.0082,-0.0587,0.0082
sexual_and_reproductive_morality_permissiveness|WVS_F,,,,,,,,,,,,,,,,,,,,0.0,,,,,
social_intolerance_outgroups|WVS_A,0.0082,,,,,-0.0109,0.0539,0.0092,0.0105,-0.0124,0.0363,,-0.017,-0.0456,,0.0662,0.0007,-0.0565,0.0039,,0.0,0.0662,,,-0.0311
societal_change_attitudes|WVS_E,,0.004,0.0065,0.0197,,,,,,,0.0362,0.0124,0.0058,-0.0307,,,,-0.0365,0.0052,,0.0662,0.0,0.0453,0.0013,-0.0267
subjective_wellbeing|WVS_A,0.0069,,,,,-0.0022,0.0395,0.0025,0.0073,-0.01,0.0281,,-0.0049,-0.0307,,0.0545,0.0082,-0.0355,-0.0082,,,0.0453,0.0,,-0.0274
voluntary_association_belonging|WVS_A,0.0342,,,,,0.0334,0.0814,0.0027,0.0476,-0.0478,-0.0298,,-0.0873,-0.0291,,0.1641,0.0625,-0.0345,-0.0587,,,0.0013,,0.0,-0.0143
work_ethic|WVS_C,-0.0027,-0.0063,-0.0022,-0.0129,,-0.0004,-0.021,0.0008,-0.0039,0.0035,-0.0175,-0.0017,,,,-0.0308,-0.0062,0.0166,0.0082,,-0.0311,-0.0267,-0.0274,-0.0143,0.0
