,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,45.45454545454546,58.13953488372093,80.0,909.090909090909,9999.0,9999.0,9999.0,9999.0,9999.0,277.77777777777777,102.04081632653062,555.5555555555555,500.0,67.11409395973155,9999.0,9999.0,35.97122302158274,43.10344827586207,57.14285714285714,131.57894736842104,9999.0,60.6060606060606,9999.0,84.74576271186442
child_qualities_autonomy_self_expression|WVS_A,45.45454545454546,0.0,9999.0,9999.0,34.013605442176875,87.71929824561403,34.24657534246575,91.74311926605505,60.24096385542168,1000.0,33.11258278145695,9999.0,104.16666666666667,131.57894736842104,26.455026455026456,43.47826086956522,1000.0,46.29629629629629,31.847133757961785,20.920502092050206,9999.0,65.35947712418302,9999.0,9999.0,41.84100418410041
child_qualities_conformity_tradition|WVS_A,58.13953488372093,9999.0,0.0,9999.0,344.82758620689657,163.93442622950818,71.42857142857143,333.3333333333333,86.95652173913044,434.7826086956522,833.3333333333334,9999.0,1000.0,1000.0,70.92198581560284,35.2112676056338,117.6470588235294,39.21568627450981,42.5531914893617,74.6268656716418,9999.0,121.95121951219511,9999.0,9999.0,163.93442622950818
child_qualities_prosocial_diligence|WVS_A,80.0,9999.0,9999.0,0.0,78.125,270.27027027027026,71.94244604316548,312.5,140.8450704225352,344.82758620689657,666.6666666666666,9999.0,370.3703703703703,416.6666666666667,69.44444444444444,75.75757575757576,1000.0,86.95652173913044,81.96721311475409,59.1715976331361,9999.0,135.13513513513513,9999.0,9999.0,107.52688172043011
civic_dishonesty_tolerance|WVS_F,909.090909090909,34.013605442176875,344.82758620689657,78.125,0.0,1000.0,50.25125628140703,95.23809523809523,1000.0,625.0,51.81347150259067,30.581039755351682,67.11409395973155,277.77777777777777,9999.0,131.57894736842104,112.35955056179776,9999.0,9999.0,9999.0,41.666666666666664,714.2857142857143,30.8641975308642,9999.0,88.49557522123894
confidence_in_civil_society_organizations|WVS_E,9999.0,87.71929824561403,163.93442622950818,270.27027027027026,1000.0,0.0,9999.0,9999.0,9999.0,9999.0,24.691358024691358,384.61538461538464,129.87012987012986,65.35947712418302,76.92307692307692,9999.0,9999.0,140.8450704225352,71.94244604316548,86.20689655172414,100.0,9999.0,1000.0,9999.0,1000.0
confidence_in_domestic_institutions|WVS_E,9999.0,34.24657534246575,71.42857142857143,71.94244604316548,50.25125628140703,9999.0,0.0,9999.0,9999.0,9999.0,53.191489361702125,50.0,192.30769230769232,303.03030303030306,42.016806722689076,9999.0,9999.0,65.35947712418302,48.07692307692308,31.446540880503143,57.14285714285714,9999.0,36.231884057971016,9999.0,54.6448087431694
confidence_in_international_organizations|WVS_E,9999.0,91.74311926605505,333.3333333333333,312.5,95.23809523809523,9999.0,9999.0,0.0,9999.0,9999.0,131.57894736842104,123.4567901234568,188.67924528301887,1000.0,101.010101010101,9999.0,9999.0,1000.0,400.0,109.89010989010988,126.58227848101265,9999.0,123.4567901234568,9999.0,1000.0
democratic_system_evaluation|WVS_E,9999.0,60.24096385542168,86.95652173913044,140.8450704225352,1000.0,9999.0,9999.0,9999.0,0.0,9999.0,46.51162790697675,294.11764705882354,625.0,86.20689655172414,91.74311926605505,9999.0,9999.0,44.44444444444444,41.84100418410041,51.54639175257732,128.2051282051282,9999.0,78.74015748031496,9999.0,70.4225352112676
economic_ideology|WVS_E,9999.0,1000.0,434.7826086956522,344.82758620689657,625.0,9999.0,9999.0,9999.0,9999.0,0.0,59.880239520958085,344.82758620689657,588.2352941176471,140.8450704225352,833.3333333333334,9999.0,9999.0,434.7826086956522,1000.0,434.7826086956522,555.5555555555555,9999.0,476.1904761904762,9999.0,1000.0
gender_role_traditionalism|WVS_D,277.77777777777777,33.11258278145695,833.3333333333334,666.6666666666666,51.81347150259067,24.691358024691358,53.191489361702125,131.57894736842104,46.51162790697675,59.880239520958085,0.0,102.04081632653062,78.125,23.696682464454977,36.101083032490976,113.63636363636363,116.27906976744185,1000.0,48.07692307692308,19.083969465648853,33.67003367003367,74.07407407407408,44.44444444444444,9999.0,35.3356890459364
importance_of_life_domains|WVS_A,102.04081632653062,9999.0,9999.0,9999.0,30.581039755351682,384.61538461538464,50.0,123.4567901234568,294.11764705882354,344.82758620689657,102.04081632653062,0.0,112.35955056179776,181.81818181818184,43.10344827586207,175.43859649122805,270.27027027027026,1000.0,178.57142857142858,37.59398496240602,9999.0,217.3913043478261,9999.0,9999.0,90.90909090909092
job_scarcity_gender_discrimination|WVS_C,555.5555555555555,104.16666666666667,1000.0,370.3703703703703,67.11409395973155,129.87012987012986,192.30769230769232,188.67924528301887,625.0,588.2352941176471,78.125,112.35955056179776,0.0,9999.0,86.20689655172414,370.3703703703703,625.0,188.67924528301887,1000.0,85.47008547008546,114.9425287356322,263.1578947368421,125.0,9999.0,9999.0
job_scarcity_nativist_preference|WVS_C,500.0,131.57894736842104,1000.0,416.6666666666667,277.77777777777777,65.35947712418302,303.03030303030306,1000.0,86.20689655172414,140.8450704225352,23.696682464454977,181.81818181818184,9999.0,0.0,196.078431372549,714.2857142857143,384.61538461538464,227.27272727272725,97.08737864077669,60.6060606060606,147.05882352941177,117.6470588235294,357.14285714285717,9999.0,9999.0
life_autonomy_morality_permissiveness|WVS_F,67.11409395973155,26.455026455026456,70.92198581560284,69.44444444444444,9999.0,76.92307692307692,42.016806722689076,101.010101010101,91.74311926605505,833.3333333333334,36.101083032490976,43.10344827586207,86.20689655172414,196.078431372549,0.0,69.44444444444444,1000.0,9999.0,9999.0,9999.0,41.84100418410041,123.4567901234568,33.11258278145695,9999.0,66.66666666666667
offline_political_participation|WVS_E,9999.0,43.47826086956522,35.2112676056338,75.75757575757576,131.57894736842104,9999.0,9999.0,9999.0,9999.0,9999.0,113.63636363636363,175.43859649122805,370.3703703703703,714.2857142857143,69.44444444444444,0.0,9999.0,21.413276231263385,25.510204081632654,78.125,175.43859649122805,9999.0,64.93506493506493,9999.0,120.48192771084337
postmaterialist_values|WVS_E,9999.0,1000.0,117.6470588235294,1000.0,112.35955056179776,9999.0,9999.0,9999.0,9999.0,9999.0,116.27906976744185,270.27027027027026,625.0,384.61538461538464,1000.0,9999.0,0.0,75.75757575757576,98.0392156862745,142.85714285714286,333.3333333333333,9999.0,312.5,9999.0,250.0
religious_belief|WVS_F,35.97122302158274,46.29629629629629,39.21568627450981,86.95652173913044,9999.0,140.8450704225352,65.35947712418302,1000.0,44.44444444444444,434.7826086956522,1000.0,1000.0,188.67924528301887,227.27272727272725,9999.0,21.413276231263385,75.75757575757576,0.0,9999.0,9999.0,232.5581395348837,58.8235294117647,83.33333333333333,9999.0,97.08737864077669
religious_practice_and_self_identification|WVS_F,43.10344827586207,31.847133757961785,42.5531914893617,81.96721311475409,9999.0,71.94244604316548,48.07692307692308,400.0,41.84100418410041,1000.0,48.07692307692308,178.57142857142858,1000.0,97.08737864077669,9999.0,25.510204081632654,98.0392156862745,9999.0,0.0,9999.0,70.92198581560284,58.8235294117647,51.282051282051285,9999.0,58.13953488372093
sexual_and_reproductive_morality_permissiveness|WVS_F,57.14285714285714,20.920502092050206,74.6268656716418,59.1715976331361,9999.0,86.20689655172414,31.446540880503143,109.89010989010988,51.54639175257732,434.7826086956522,19.083969465648853,37.59398496240602,85.47008547008546,60.6060606060606,9999.0,78.125,142.85714285714286,9999.0,9999.0,0.0,32.362459546925564,52.35602094240838,24.509803921568626,9999.0,35.2112676056338
social_intolerance_outgroups|WVS_A,131.57894736842104,9999.0,9999.0,9999.0,41.666666666666664,100.0,57.14285714285714,126.58227848101265,128.2051282051282,555.5555555555555,33.67003367003367,9999.0,114.9425287356322,147.05882352941177,41.84100418410041,175.43859649122805,333.3333333333333,232.5581395348837,70.92198581560284,32.362459546925564,0.0,163.93442622950818,9999.0,9999.0,72.99270072992701
societal_change_attitudes|WVS_E,9999.0,65.35947712418302,121.95121951219511,135.13513513513513,714.2857142857143,9999.0,9999.0,9999.0,9999.0,9999.0,74.07407407407408,217.3913043478261,263.1578947368421,117.6470588235294,123.4567901234568,9999.0,9999.0,58.8235294117647,58.8235294117647,52.35602094240838,163.93442622950818,0.0,73.52941176470588,9999.0,65.78947368421052
subjective_wellbeing|WVS_A,60.6060606060606,9999.0,9999.0,9999.0,30.8641975308642,1000.0,36.231884057971016,123.4567901234568,78.74015748031496,476.1904761904762,44.44444444444444,9999.0,125.0,357.14285714285717,33.11258278145695,64.93506493506493,312.5,83.33333333333333,51.282051282051285,24.509803921568626,9999.0,73.52941176470588,0.0,9999.0,46.51162790697675
voluntary_association_belonging|WVS_A,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0
