,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,-0.0231,-0.0039,-0.0107,-0.001,,,,,,0.0059,-0.0053,0.016,0.0353,0.0213,,,,-0.0188,,-0.0323,,0.022,,
child_qualities_autonomy_self_expression|WVS_A,-0.0231,0.0,,,-0.0039,-0.0093,-0.0085,-0.0098,-0.0133,0.0094,-0.0048,,-0.0165,-0.0195,-0.0139,-0.0232,-0.006,,0.0034,,,-0.0229,,,
child_qualities_conformity_tradition|WVS_A,-0.0039,,0.0,,-0.0012,-0.0223,-0.0024,-0.0053,-0.0019,0.0032,0.0267,,0.0261,0.0029,-0.0026,-0.0166,-0.0033,,0.0335,,,0.0035,,,
child_qualities_prosocial_diligence|WVS_A,-0.0107,,,0.0,-0.0081,-0.0152,-0.0081,-0.0071,-0.0046,0.0099,0.0133,,0.0038,-0.0059,-0.0115,-0.0008,-0.0021,,-0.0024,,,-0.0071,,,
civic_dishonesty_tolerance|WVS_F,-0.001,-0.0039,-0.0012,-0.0081,0.0,0.0175,0.0047,0.0039,-0.0045,-0.0101,-0.0293,0.0108,-0.0237,-0.0074,,-0.015,-0.0012,,,,0.001,-0.0073,-0.0182,,
confidence_in_civil_society_organizations|WVS_E,,-0.0093,-0.0223,-0.0152,0.0175,0.0,,,,,-0.1292,0.0284,-0.1171,-0.0123,0.0226,,,,-0.1246,,0.0027,,-0.0324,,
confidence_in_domestic_institutions|WVS_E,,-0.0085,-0.0024,-0.0081,0.0047,,0.0,,,,-0.0088,0.0105,-0.0019,0.0251,0.0173,,,,-0.0078,,-0.0181,,0.0047,,
confidence_in_international_organizations|WVS_E,,-0.0098,-0.0053,-0.0071,0.0039,,,0.0,,,-0.0253,0.0029,-0.0189,0.0055,0.0097,,,,-0.0279,,-0.007,,-0.0017,,
democratic_system_evaluation|WVS_E,,-0.0133,-0.0019,-0.0046,-0.0045,,,,0.0,,0.0129,-0.0071,0.019,0.0228,0.009,,,,-0.0126,,-0.0192,,0.0189,,
economic_ideology|WVS_E,,0.0094,0.0032,0.0099,-0.0101,,,,,0.0,0.0324,-0.0072,0.0226,0.0024,-0.0102,,,,0.0142,,0.003,,0.0128,,
gender_role_traditionalism|WVS_D,0.0059,-0.0048,0.0267,0.0133,-0.0293,-0.1292,-0.0088,-0.0253,0.0129,0.0324,0.0,-0.0419,0.1804,0.0597,-0.0122,-0.0199,-0.0072,,0.1496,,-0.0361,0.0436,0.0633,,
importance_of_life_domains|WVS_A,-0.0053,,,,0.0108,0.0284,0.0105,0.0029,-0.0071,-0.0072,-0.0419,0.0,-0.0413,-0.0041,0.0102,-0.0091,-0.0014,,-0.0143,,,-0.0238,,,
job_scarcity_gender_discrimination|WVS_C,0.016,-0.0165,0.0261,0.0038,-0.0237,-0.1171,-0.0019,-0.0189,0.019,0.0226,0.1804,-0.0413,0.0,,-0.0063,-0.0143,-0.0049,,0.1479,,-0.0458,0.052,0.0689,,
job_scarcity_nativist_preference|WVS_C,0.0353,-0.0195,0.0029,-0.0059,-0.0074,-0.0123,0.0251,0.0055,0.0228,0.0024,0.0597,-0.0041,,0.0,0.0223,0.0371,0.0069,,0.0215,,-0.0452,0.0254,0.0394,,
life_autonomy_morality_permissiveness|WVS_F,0.0213,-0.0139,-0.0026,-0.0115,,0.0226,0.0173,0.0097,0.009,-0.0102,-0.0122,0.0102,-0.0063,0.0223,0.0,0.0174,0.0048,,,,-0.0199,0.0042,0.0007,,
offline_political_participation|WVS_E,,-0.0232,-0.0166,-0.0008,-0.015,,,,,,-0.0199,-0.0091,-0.0143,0.0371,0.0174,0.0,,,-0.1053,,-0.0326,,0.0378,,
postmaterialist_values|WVS_E,,-0.006,-0.0033,-0.0021,-0.0012,,,,,,-0.0072,-0.0014,-0.0049,0.0069,0.0048,,0.0,,-0.0199,,-0.0059,,0.0052,,
religious_belief|WVS_F,,,,,,,,,,,,,,,,,,0.0,,,,,,,
