,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,43.29004329004329,256.4102564102564,93.45794392523365,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,169.49152542372883,188.67924528301887,62.5,28.328611898016998,46.948356807511736,9999.0,9999.0,9999.0,53.191489361702125,9999.0,30.959752321981423,9999.0,45.45454545454546,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,43.29004329004329,0.0,9999.0,9999.0,256.4102564102564,107.52688172043011,117.6470588235294,102.04081632653062,75.18796992481204,106.38297872340425,208.33333333333334,9999.0,60.6060606060606,51.282051282051285,71.94244604316548,43.10344827586207,166.66666666666666,9999.0,294.11764705882354,9999.0,9999.0,43.66812227074236,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,256.4102564102564,9999.0,0.0,9999.0,833.3333333333334,44.84304932735426,416.6666666666667,188.67924528301887,526.3157894736842,312.5,37.45318352059925,9999.0,38.314176245210724,344.82758620689657,384.61538461538464,60.24096385542168,303.03030303030306,9999.0,29.850746268656714,9999.0,9999.0,285.7142857142857,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,93.45794392523365,9999.0,9999.0,0.0,123.4567901234568,65.78947368421052,123.4567901234568,140.8450704225352,217.3913043478261,101.010101010101,75.18796992481204,9999.0,263.1578947368421,169.49152542372883,86.95652173913044,1000.0,476.1904761904762,9999.0,416.6666666666667,9999.0,9999.0,140.8450704225352,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,1000.0,256.4102564102564,833.3333333333334,123.4567901234568,0.0,57.14285714285714,212.7659574468085,256.4102564102564,222.22222222222223,99.00990099009901,34.129692832764505,92.59259259259258,42.19409282700422,135.13513513513513,9999.0,66.66666666666667,833.3333333333334,9999.0,9999.0,9999.0,1000.0,136.986301369863,54.94505494505494,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,107.52688172043011,44.84304932735426,65.78947368421052,57.14285714285714,0.0,9999.0,9999.0,9999.0,9999.0,7.739938080495356,35.2112676056338,8.539709649871904,81.30081300813008,44.24778761061947,9999.0,9999.0,9999.0,8.025682182985554,9999.0,370.3703703703703,9999.0,30.8641975308642,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,117.6470588235294,416.6666666666667,123.4567901234568,212.7659574468085,9999.0,0.0,9999.0,9999.0,9999.0,113.63636363636363,95.23809523809523,526.3157894736842,39.8406374501992,57.80346820809249,9999.0,9999.0,9999.0,128.2051282051282,9999.0,55.24861878453038,9999.0,212.7659574468085,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,102.04081632653062,188.67924528301887,140.8450704225352,256.4102564102564,9999.0,9999.0,0.0,9999.0,9999.0,39.52569169960474,344.82758620689657,52.91005291005291,181.81818181818184,103.09278350515464,9999.0,9999.0,9999.0,35.842293906810035,9999.0,142.85714285714286,9999.0,588.2352941176471,9999.0,9999.0
democratic_system_evaluation|WVS_E,9999.0,75.18796992481204,526.3157894736842,217.3913043478261,222.22222222222223,9999.0,9999.0,9999.0,0.0,9999.0,77.51937984496124,140.8450704225352,52.631578947368425,43.859649122807014,111.11111111111111,9999.0,9999.0,9999.0,79.36507936507937,9999.0,52.083333333333336,9999.0,52.91005291005291,9999.0,9999.0
economic_ideology|WVS_E,9999.0,106.38297872340425,312.5,101.010101010101,99.00990099009901,9999.0,9999.0,9999.0,9999.0,0.0,30.8641975308642,138.88888888888889,44.24778761061947,416.6666666666667,98.0392156862745,9999.0,9999.0,9999.0,70.4225352112676,9999.0,333.3333333333333,9999.0,78.125,9999.0,9999.0
