,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,1000.0,104.16666666666667,97.08737864077669,47.16981132075472,9999.0,9999.0,9999.0,9999.0,9999.0,19.646365422396855,23.64066193853428,24.813895781637715,9999.0,1000.0,9999.0,9999.0,9999.0,384.61538461538464,67.11409395973155,212.7659574468085,9999.0,99.00990099009901,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,1000.0,0.0,9999.0,9999.0,71.94244604316548,1000.0,217.3913043478261,285.7142857142857,500.0,1000.0,200.0,9999.0,34.48275862068965,9999.0,101.010101010101,227.27272727272725,54.054054054054056,9999.0,909.090909090909,105.26315789473685,9999.0,51.02040816326531,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,104.16666666666667,9999.0,0.0,9999.0,48.543689320388346,63.291139240506325,555.5555555555555,149.2537313432836,526.3157894736842,500.0,49.01960784313725,9999.0,250.0,9999.0,129.87012987012986,1000.0,105.26315789473685,9999.0,1000.0,400.0,9999.0,44.44444444444444,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,97.08737864077669,9999.0,9999.0,0.0,149.2537313432836,86.20689655172414,416.6666666666667,147.05882352941177,185.18518518518516,84.74576271186442,51.02040816326531,9999.0,74.6268656716418,9999.0,400.0,1000.0,92.59259259259258,9999.0,312.5,285.7142857142857,9999.0,172.41379310344828,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,47.16981132075472,71.94244604316548,48.543689320388346,149.2537313432836,0.0,39.0625,98.0392156862745,99.00990099009901,370.3703703703703,49.01960784313725,18.45018450184502,22.371364653243848,94.33962264150944,9999.0,9999.0,370.3703703703703,92.59259259259258,9999.0,9999.0,9999.0,46.29629629629629,34.602076124567475,161.29032258064515,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,1000.0,63.291139240506325,86.20689655172414,39.0625,0.0,9999.0,9999.0,9999.0,9999.0,14.641288433382138,13.35113484646195,14.347202295552368,9999.0,1000.0,9999.0,9999.0,9999.0,526.3157894736842,40.16064257028113,140.8450704225352,9999.0,63.291139240506325,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,217.3913043478261,555.5555555555555,416.6666666666667,98.0392156862745,9999.0,0.0,9999.0,9999.0,9999.0,370.3703703703703,27.247956403269754,38.314176245210724,9999.0,1000.0,9999.0,9999.0,9999.0,370.3703703703703,128.2051282051282,35.714285714285715,9999.0,312.5,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,285.7142857142857,149.2537313432836,147.05882352941177,99.00990099009901,9999.0,9999.0,0.0,9999.0,9999.0,26.666666666666668,23.752969121140143,23.20185614849188,9999.0,588.2352941176471,9999.0,9999.0,9999.0,1000.0,69.44444444444444,144.92753623188406,9999.0,105.26315789473685,9999.0,9999.0
democratic_system_evaluation|WVS_E,9999.0,500.0,526.3157894736842,185.18518518518516,370.3703703703703,9999.0,9999.0,9999.0,0.0,9999.0,80.0,46.728971962616825,58.47953216374269,9999.0,1000.0,9999.0,9999.0,9999.0,625.0,238.0952380952381,344.82758620689657,9999.0,196.078431372549,9999.0,9999.0
economic_ideology|WVS_E,9999.0,1000.0,500.0,84.74576271186442,49.01960784313725,9999.0,9999.0,9999.0,9999.0,0.0,23.696682464454977,26.17801047120419,172.41379310344828,9999.0,250.0,9999.0,9999.0,9999.0,147.05882352941177,555.5555555555555,25.25252525252525,9999.0,476.1904761904762,9999.0,9999.0
