,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,0.0028,-0.0017,-0.0051,,,,,,,0.009,-0.0073,0.0142,0.0018,0.0014,,,-0.0011,-0.0106,-0.0012,0.0048,,-0.0024,-0.0069,-0.0001
child_qualities_autonomy_self_expression|WVS_A,0.0028,0.0,,,,-0.0298,0.001,-0.0398,0.0375,-0.0149,0.0302,,0.013,0.019,0.0032,0.0081,0.027,0.0126,-0.012,-0.0093,,0.0189,,,-0.014
child_qualities_conformity_tradition|WVS_A,-0.0017,,0.0,,,0.0199,-0.0046,0.0362,-0.038,0.0185,-0.0225,,-0.0032,-0.0057,-0.0063,-0.0322,-0.0357,-0.0067,0.0097,0.0033,,-0.025,,,0.0155
child_qualities_prosocial_diligence|WVS_A,-0.0051,,,0.0,,-0.007,-0.0026,-0.0096,0.007,-0.002,0.011,,0.0045,0.0085,-0.0018,-0.0113,0.0005,0.0067,0.0005,-0.0032,,0.001,,,-0.0009
civic_dishonesty_tolerance|WVS_F,,,,,0.0,,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,-0.0298,0.0199,-0.007,,0.0,,,,,-0.0591,-0.0212,-0.0339,-0.0398,-0.0045,,,-0.024,0.0245,0.019,0.0125,,-0.0465,0.0215,0.0217
confidence_in_domestic_institutions|WVS_E,,0.001,-0.0046,-0.0026,,,0.0,,,,0.0063,0.0014,0.0027,-0.008,0.0016,,,-0.0033,-0.0013,0.004,0.0037,,0.003,0.0106,0.0005
confidence_in_international_organizations|WVS_E,,-0.0398,0.0362,-0.0096,,,,0.0,,,-0.0692,-0.0415,-0.0276,-0.0511,-0.0077,,,-0.0328,0.0271,0.0233,0.0223,,-0.0768,0.0071,0.0345
democratic_system_evaluation|WVS_E,,0.0375,-0.038,0.007,,,,,0.0,,0.0622,0.0485,0.0191,0.0423,0.0094,,,0.0279,-0.0222,-0.0194,-0.0199,,0.0774,0.0133,-0.0372
economic_ideology|WVS_E,,-0.0149,0.0185,-0.002,,,,,,0.0,-0.0219,-0.0236,-0.0005,-0.0105,-0.0049,,,-0.0096,0.0061,0.0045,0.0079,,-0.0355,-0.017,0.0159
gender_role_traditionalism|WVS_D,0.009,0.0302,-0.0225,0.011,,-0.0591,0.0063,-0.0692,0.0622,-0.0219,0.0,0.0202,0.0454,0.0291,0.0024,-0.0218,0.0515,0.0212,-0.0216,-0.0089,-0.0045,0.0317,0.0494,-0.0157,-0.0155
importance_of_life_domains|WVS_A,-0.0073,,,,,-0.0212,0.0014,-0.0415,0.0485,-0.0236,0.0202,0.0,-0.0052,0.0144,0.0061,0.04,0.0369,0.0118,-0.0061,-0.0062,,0.0295,,,-0.0187
job_scarcity_gender_discrimination|WVS_C,0.0142,0.013,-0.0032,0.0045,,-0.0339,0.0027,-0.0276,0.0191,-0.0005,0.0454,-0.0052,0.0,,-0.0009,-0.04,0.0133,0.0097,-0.017,-0.0067,0.0017,0.001,0.01,-0.0277,
