,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,357.14285714285717,588.2352941176471,196.078431372549,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,111.11111111111111,136.986301369863,70.4225352112676,555.5555555555555,714.2857142857143,9999.0,9999.0,909.090909090909,94.33962264150944,833.3333333333334,208.33333333333334,9999.0,416.6666666666667,144.92753623188406,1000.0
child_qualities_autonomy_self_expression|WVS_A,357.14285714285717,0.0,9999.0,9999.0,9999.0,33.557046979865774,1000.0,25.125628140703515,26.666666666666668,67.11409395973155,33.11258278145695,9999.0,76.92307692307692,52.631578947368425,312.5,123.4567901234568,37.03703703703704,79.36507936507937,83.33333333333333,107.52688172043011,9999.0,52.91005291005291,9999.0,9999.0,71.42857142857143
child_qualities_conformity_tradition|WVS_A,588.2352941176471,9999.0,0.0,9999.0,9999.0,50.25125628140703,217.3913043478261,27.62430939226519,26.315789473684212,54.054054054054056,44.44444444444444,9999.0,312.5,175.43859649122805,158.73015873015873,31.055900621118013,28.011204481792713,149.2537313432836,103.09278350515464,303.03030303030306,9999.0,40.0,9999.0,9999.0,64.51612903225806
child_qualities_prosocial_diligence|WVS_A,196.078431372549,9999.0,9999.0,0.0,9999.0,142.85714285714286,384.61538461538464,104.16666666666667,142.85714285714286,500.0,90.90909090909092,9999.0,222.22222222222223,117.6470588235294,555.5555555555555,88.49557522123894,1000.0,149.2537313432836,1000.0,312.5,9999.0,1000.0,9999.0,9999.0,1000.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,33.557046979865774,50.25125628140703,142.85714285714286,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,16.920473773265652,47.16981132075472,29.498525073746315,25.125628140703515,222.22222222222223,9999.0,9999.0,41.666666666666664,40.816326530612244,52.631578947368425,80.0,9999.0,21.50537634408602,46.51162790697675,46.08294930875576
confidence_in_domestic_institutions|WVS_E,9999.0,1000.0,217.3913043478261,384.61538461538464,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,158.73015873015873,714.2857142857143,370.3703703703703,125.0,625.0,9999.0,9999.0,303.03030303030306,769.2307692307693,250.0,270.27027027027026,9999.0,333.3333333333333,94.33962264150944,1000.0
confidence_in_international_organizations|WVS_E,9999.0,25.125628140703515,27.62430939226519,104.16666666666667,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,14.450867052023122,24.096385542168672,36.231884057971016,19.569471624266146,129.87012987012986,9999.0,9999.0,30.487804878048777,36.90036900369004,42.918454935622314,44.84304932735426,9999.0,13.020833333333334,140.8450704225352,28.98550724637681
democratic_system_evaluation|WVS_E,9999.0,26.666666666666668,26.315789473684212,142.85714285714286,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,16.077170418006432,20.618556701030926,52.35602094240838,23.64066193853428,106.38297872340425,9999.0,9999.0,35.842293906810035,45.04504504504504,51.54639175257732,50.25125628140703,9999.0,12.919896640826874,75.18796992481204,26.881720430107528
economic_ideology|WVS_E,9999.0,67.11409395973155,54.054054054054056,500.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,45.662100456621005,42.37288135593221,1000.0,95.23809523809523,204.08163265306123,9999.0,9999.0,104.16666666666667,163.93442622950818,222.22222222222223,126.58227848101265,9999.0,28.169014084507044,58.8235294117647,62.893081761006286
gender_role_traditionalism|WVS_D,111.11111111111111,33.11258278145695,44.44444444444444,90.90909090909092,9999.0,16.920473773265652,158.73015873015873,14.450867052023122,16.077170418006432,45.662100456621005,0.0,49.504950495049506,22.026431718061673,34.36426116838488,416.6666666666667,45.87155963302752,19.417475728155342,47.16981132075472,46.29629629629629,112.35955056179776,222.22222222222223,31.545741324921135,20.242914979757085,63.69426751592357,64.51612903225806
importance_of_life_domains|WVS_A,136.986301369863,9999.0,9999.0,9999.0,9999.0,47.16981132075472,714.2857142857143,24.096385542168672,20.618556701030926,42.37288135593221,49.504950495049506,0.0,192.30769230769232,69.44444444444444,163.93442622950818,25.0,27.100271002710027,84.74576271186442,163.93442622950818,161.29032258064515,9999.0,33.898305084745765,9999.0,9999.0,53.475935828877
job_scarcity_gender_discrimination|WVS_C,70.4225352112676,76.92307692307692,312.5,222.22222222222223,9999.0,29.498525073746315,370.3703703703703,36.231884057971016,52.35602094240838,1000.0,22.026431718061673,192.30769230769232,0.0,9999.0,1000.0,25.0,75.18796992481204,103.09278350515464,58.8235294117647,149.2537313432836,588.2352941176471,1000.0,100.0,36.101083032490976,9999.0
job_scarcity_nativist_preference|WVS_C,555.5555555555555,52.631578947368425,175.43859649122805,117.6470588235294,9999.0,25.125628140703515,125.0,19.569471624266146,23.64066193853428,95.23809523809523,34.36426116838488,69.44444444444444,9999.0,0.0,1000.0,108.69565217391305,99.00990099009901,41.1522633744856,62.893081761006286,45.45454545454546,54.6448087431694,149.2537313432836,31.847133757961785,30.959752321981423,9999.0
life_autonomy_morality_permissiveness|WVS_F,714.2857142857143,312.5,158.73015873015873,555.5555555555555,9999.0,222.22222222222223,625.0,129.87012987012986,106.38297872340425,204.08163265306123,416.6666666666667,163.93442622950818,1000.0,1000.0,0.0,82.64462809917356,109.89010989010988,9999.0,9999.0,9999.0,909.090909090909,142.85714285714286,119.04761904761905,126.58227848101265,204.08163265306123
offline_political_participation|WVS_E,9999.0,123.4567901234568,31.055900621118013,88.49557522123894,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,45.87155963302752,25.0,25.0,108.69565217391305,82.64462809917356,0.0,9999.0,416.6666666666667,256.4102564102564,400.0,158.73015873015873,9999.0,25.38071065989848,13.986013986013987,40.983606557377044
postmaterialist_values|WVS_E,9999.0,37.03703703703704,28.011204481792713,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,19.417475728155342,27.100271002710027,75.18796992481204,99.00990099009901,109.89010989010988,9999.0,0.0,74.07407407407408,71.94244604316548,277.77777777777777,166.66666666666666,9999.0,16.339869281045754,36.101083032490976,42.016806722689076
religious_belief|WVS_F,909.090909090909,79.36507936507937,149.2537313432836,149.2537313432836,9999.0,41.666666666666664,303.03030303030306,30.487804878048777,35.842293906810035,104.16666666666667,47.16981132075472,84.74576271186442,103.09278350515464,41.1522633744856,9999.0,416.6666666666667,74.07407407407408,0.0,9999.0,9999.0,102.04081632653062,102.04081632653062,45.24886877828054,72.46376811594203,89.28571428571429
