,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,31.545741324921135,151.51515151515153,156.25,16.233766233766232,9999.0,9999.0,9999.0,9999.0,9999.0,41.49377593360996,59.523809523809526,42.918454935622314,52.631578947368425,10.604453870625663,9999.0,9999.0,35.3356890459364,24.154589371980677,12.077294685990339,26.7379679144385,9999.0,26.80965147453083,9999.0,64.93506493506493
child_qualities_autonomy_self_expression|WVS_A,31.545741324921135,0.0,9999.0,9999.0,25.188916876574307,54.6448087431694,38.75968992248062,169.49152542372883,88.49557522123894,85.47008547008546,59.1715976331361,9999.0,104.16666666666667,250.0,20.833333333333332,28.08988764044944,43.10344827586207,270.27027027027026,64.93506493506493,18.45018450184502,9999.0,99.00990099009901,9999.0,9999.0,31.746031746031747
child_qualities_conformity_tradition|WVS_A,151.51515151515153,9999.0,0.0,9999.0,54.6448087431694,1000.0,45.87155963302752,178.57142857142858,126.58227848101265,625.0,500.0,9999.0,133.33333333333334,625.0,44.84304932735426,196.078431372549,84.74576271186442,84.03361344537815,185.18518518518516,35.08771929824561,9999.0,147.05882352941177,9999.0,9999.0,161.29032258064515
child_qualities_prosocial_diligence|WVS_A,156.25,9999.0,9999.0,0.0,1000.0,243.90243902439022,169.49152542372883,416.6666666666667,454.5454545454545,93.45794392523365,294.11764705882354,9999.0,129.87012987012986,1000.0,185.18518518518516,71.42857142857143,1000.0,208.33333333333334,204.08163265306123,109.89010989010988,9999.0,250.0,9999.0,9999.0,76.92307692307692
civic_dishonesty_tolerance|WVS_F,16.233766233766232,25.188916876574307,54.6448087431694,1000.0,0.0,18.867924528301888,27.247956403269754,34.129692832764505,625.0,86.20689655172414,33.78378378378378,384.61538461538464,53.191489361702125,47.16981132075472,9999.0,13.75515818431912,25.839793281653748,9999.0,9999.0,9999.0,22.123893805309734,52.083333333333336,28.328611898016998,9999.0,66.66666666666667
confidence_in_civil_society_organizations|WVS_E,9999.0,54.6448087431694,1000.0,243.90243902439022,18.867924528301888,0.0,9999.0,9999.0,9999.0,9999.0,32.362459546925564,45.04504504504504,34.96503496503497,42.37288135593221,10.34126163391934,9999.0,9999.0,26.595744680851062,20.833333333333332,12.547051442910917,23.980815347721823,9999.0,30.487804878048777,9999.0,588.2352941176471
confidence_in_domestic_institutions|WVS_E,9999.0,38.75968992248062,45.87155963302752,169.49152542372883,27.247956403269754,9999.0,0.0,9999.0,9999.0,9999.0,212.7659574468085,58.47953216374269,250.0,400.0,20.449897750511248,9999.0,9999.0,178.57142857142858,52.083333333333336,18.38235294117647,100.0,9999.0,312.5,9999.0,112.35955056179776
confidence_in_international_organizations|WVS_E,9999.0,169.49152542372883,178.57142857142858,416.6666666666667,34.129692832764505,9999.0,9999.0,0.0,9999.0,9999.0,35.842293906810035,131.57894736842104,43.47826086956522,53.475935828877,15.847860538827257,9999.0,9999.0,32.78688524590164,25.510204081632654,19.417475728155342,28.011204481792713,9999.0,147.05882352941177,9999.0,57.80346820809249
democratic_system_evaluation|WVS_E,9999.0,88.49557522123894,126.58227848101265,454.5454545454545,625.0,9999.0,9999.0,9999.0,0.0,9999.0,500.0,322.5806451612903,227.27272727272725,200.0,72.99270072992701,9999.0,9999.0,76.33587786259541,131.57894736842104,149.2537313432836,97.08737864077669,9999.0,344.82758620689657,9999.0,84.74576271186442
economic_ideology|WVS_E,9999.0,85.47008547008546,625.0,93.45794392523365,86.20689655172414,9999.0,9999.0,9999.0,9999.0,0.0,312.5,67.56756756756756,370.3703703703703,185.18518518518516,34.84320557491289,9999.0,9999.0,140.8450704225352,66.2251655629139,41.32231404958678,71.94244604316548,9999.0,57.80346820809249,9999.0,45.04504504504504
