,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,151.51515151515153,526.3157894736842,117.6470588235294,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,73.52941176470588,204.08163265306123,1000.0,53.475935828877,135.13513513513513,9999.0,9999.0,15.503875968992247,23.86634844868735,9999.0,133.33333333333334,9999.0,178.57142857142858,9999.0,769.2307692307693
child_qualities_autonomy_self_expression|WVS_A,151.51515151515153,0.0,9999.0,9999.0,9999.0,28.81844380403458,204.08163265306123,55.55555555555556,26.17801047120419,52.91005291005291,15.552099533437016,9999.0,20.242914979757085,77.51937984496124,28.49002849002849,52.083333333333336,35.3356890459364,11.19820828667413,16.722408026755854,9999.0,9999.0,1000.0,9999.0,9999.0,70.92198581560284
child_qualities_conformity_tradition|WVS_A,526.3157894736842,9999.0,0.0,9999.0,9999.0,1000.0,63.291139240506325,82.64462809917356,16.722408026755854,39.37007874015748,37.45318352059925,9999.0,67.11409395973155,78.125,25.839793281653748,22.88329519450801,70.4225352112676,14.903129657228016,72.46376811594203,9999.0,9999.0,333.3333333333333,9999.0,9999.0,1000.0
child_qualities_prosocial_diligence|WVS_A,117.6470588235294,9999.0,9999.0,0.0,9999.0,74.07407407407408,77.51937984496124,500.0,32.57328990228013,175.43859649122805,1000.0,9999.0,109.89010989010988,64.51612903225806,62.11180124223603,38.314176245210724,1000.0,17.543859649122805,37.45318352059925,9999.0,9999.0,72.46376811594203,9999.0,9999.0,434.7826086956522
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,28.81844380403458,1000.0,74.07407407407408,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,12.836970474967908,116.27906976744185,16.556291390728475,101.010101010101,98.0392156862745,9999.0,9999.0,6.653359946773121,7.412898443291327,9999.0,44.052863436123346,9999.0,135.13513513513513,9999.0,56.497175141242934
confidence_in_domestic_institutions|WVS_E,9999.0,204.08163265306123,63.291139240506325,77.51937984496124,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,52.35602094240838,526.3157894736842,48.07692307692308,54.34782608695652,42.5531914893617,9999.0,9999.0,11.862396204033216,16.556291390728475,9999.0,1000.0,9999.0,769.2307692307693,9999.0,322.5806451612903
confidence_in_international_organizations|WVS_E,9999.0,55.55555555555556,82.64462809917356,500.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,29.498525073746315,294.11764705882354,44.642857142857146,416.6666666666667,59.523809523809526,9999.0,9999.0,15.64945226917058,27.548209366391184,9999.0,48.78048780487805,9999.0,140.8450704225352,9999.0,156.25
democratic_system_evaluation|WVS_E,9999.0,26.17801047120419,16.722408026755854,32.57328990228013,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,14.66275659824047,263.1578947368421,14.245014245014245,19.120458891013385,9.891196834817013,9999.0,9999.0,11.001100110011002,21.691973969631235,9999.0,11.1731843575419,9999.0,25.0,9999.0,49.01960784313725
economic_ideology|WVS_E,9999.0,52.91005291005291,39.37007874015748,175.43859649122805,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,40.983606557377044,1000.0,46.728971962616825,33.898305084745765,32.25806451612903,9999.0,9999.0,21.551724137931036,74.6268656716418,9999.0,23.64066193853428,9999.0,45.45454545454546,9999.0,1000.0
gender_role_traditionalism|WVS_D,73.52941176470588,15.552099533437016,37.45318352059925,1000.0,9999.0,12.836970474967908,52.35602094240838,29.498525073746315,14.66275659824047,40.983606557377044,0.0,94.33962264150944,9.115770282588878,44.24778761061947,15.174506828528072,45.45454545454546,18.281535648994517,7.052186177715091,6.518904823989569,9999.0,14.40922190201729,294.11764705882354,39.21568627450981,9999.0,29.069767441860463
importance_of_life_domains|WVS_A,204.08163265306123,9999.0,9999.0,9999.0,9999.0,116.27906976744185,526.3157894736842,294.11764705882354,263.1578947368421,1000.0,94.33962264150944,0.0,476.1904761904762,121.95121951219511,1000.0,250.0,714.2857142857143,30.12048192771084,45.662100456621005,9999.0,9999.0,227.27272727272725,9999.0,9999.0,714.2857142857143
job_scarcity_gender_discrimination|WVS_C,1000.0,20.242914979757085,67.11409395973155,109.89010989010988,9999.0,16.556291390728475,48.07692307692308,44.642857142857146,14.245014245014245,46.728971962616825,9.115770282588878,476.1904761904762,0.0,9999.0,17.271157167530223,54.94505494505494,18.34862385321101,55.24861878453038,8.968609865470851,9999.0,15.923566878980893,42.918454935622314,32.89473684210526,9999.0,9999.0
job_scarcity_nativist_preference|WVS_C,53.475935828877,77.51937984496124,78.125,64.51612903225806,9999.0,101.010101010101,54.34782608695652,416.6666666666667,19.120458891013385,33.898305084745765,44.24778761061947,121.95121951219511,9999.0,0.0,32.467532467532465,41.84100418410041,28.81844380403458,13.35113484646195,34.602076124567475,9999.0,18.6219739292365,50.5050505050505,31.152647975077883,9999.0,9999.0
life_autonomy_morality_permissiveness|WVS_F,135.13513513513513,28.49002849002849,25.839793281653748,62.11180124223603,9999.0,98.0392156862745,42.5531914893617,59.523809523809526,9.891196834817013,32.25806451612903,15.174506828528072,1000.0,17.271157167530223,32.467532467532465,0.0,14.005602240896357,36.76470588235294,9999.0,9999.0,9999.0,16.129032258064516,40.816326530612244,35.714285714285715,9999.0,57.4712643678161
offline_political_participation|WVS_E,9999.0,52.083333333333336,22.88329519450801,38.314176245210724,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,45.45454545454546,250.0,54.94505494505494,41.84100418410041,14.005602240896357,0.0,9999.0,11.709601873536299,12.738853503184714,9999.0,18.867924528301888,9999.0,39.37007874015748,9999.0,163.93442622950818
