,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,12.578616352201257,16.556291390728475,119.04761904761905,19.569471624266146,9999.0,9999.0,9999.0,9999.0,9999.0,19.342359767891683,24.03846153846154,138.88888888888889,59.1715976331361,26.109660574412533,9999.0,9999.0,42.918454935622314,48.309178743961354,23.923444976076556,21.367521367521366,9999.0,30.12048192771084,13.262599469496022,47.84688995215311
child_qualities_autonomy_self_expression|WVS_A,12.578616352201257,0.0,9999.0,9999.0,15.576323987538942,33.333333333333336,19.083969465648853,26.041666666666668,8.680555555555555,16.207455429497568,10.152284263959391,9999.0,23.58490566037736,15.197568389057752,12.269938650306749,12.87001287001287,47.61904761904761,20.32520325203252,34.84320557491289,11.655011655011656,9999.0,22.42152466367713,9999.0,9999.0,17.953321364452425
child_qualities_conformity_tradition|WVS_A,16.556291390728475,9999.0,0.0,9999.0,21.73913043478261,212.7659574468085,27.247956403269754,31.347962382445143,11.947431302270012,19.569471624266146,20.366598778004075,9999.0,51.81347150259067,24.213075060532685,17.699115044247787,13.422818791946309,151.51515151515153,20.964360587002098,35.97122302158274,17.921146953405017,9999.0,30.395136778115504,9999.0,9999.0,24.509803921568626
child_qualities_prosocial_diligence|WVS_A,119.04761904761905,9999.0,9999.0,0.0,97.08737864077669,454.5454545454545,129.87012987012986,169.49152542372883,90.90909090909092,97.08737864077669,86.20689655172414,9999.0,175.43859649122805,120.48192771084337,94.33962264150944,196.078431372549,142.85714285714286,149.2537313432836,200.0,81.30081300813008,9999.0,91.74311926605505,9999.0,9999.0,95.23809523809523
civic_dishonesty_tolerance|WVS_F,19.569471624266146,15.576323987538942,21.73913043478261,97.08737864077669,0.0,85.47008547008546,19.120458891013385,43.66812227074236,18.76172607879925,21.929824561403507,23.148148148148145,25.25252525252525,1000.0,117.6470588235294,9999.0,116.27906976744185,29.069767441860463,9999.0,9999.0,9999.0,22.321428571428573,20.876826722338205,48.07692307692308,21.598272138228943,32.362459546925564
confidence_in_civil_society_organizations|WVS_E,9999.0,33.333333333333336,212.7659574468085,454.5454545454545,85.47008547008546,0.0,9999.0,9999.0,9999.0,9999.0,10.050251256281406,81.96721311475409,17.035775127768314,44.24778761061947,35.08771929824561,9999.0,9999.0,74.07407407407408,98.0392156862745,28.08988764044944,82.64462809917356,9999.0,102.04081632653062,68.9655172413793,40.32258064516129
confidence_in_domestic_institutions|WVS_E,9999.0,19.083969465648853,27.247956403269754,129.87012987012986,19.120458891013385,9999.0,0.0,9999.0,9999.0,9999.0,23.86634844868735,29.069767441860463,227.27272727272725,270.27027027027026,39.21568627450981,9999.0,9999.0,107.52688172043011,61.34969325153375,36.36363636363637,27.3224043715847,9999.0,69.93006993006993,31.055900621118013,49.01960784313725
confidence_in_international_organizations|WVS_E,9999.0,26.041666666666668,31.347962382445143,169.49152542372883,43.66812227074236,9999.0,9999.0,0.0,9999.0,9999.0,38.314176245210724,60.975609756097555,41.84100418410041,25.0,25.641025641025642,9999.0,9999.0,36.63003663003663,56.81818181818181,22.88329519450801,49.26108374384237,9999.0,28.98550724637681,12.755102040816327,28.49002849002849
democratic_system_evaluation|WVS_E,9999.0,8.680555555555555,11.947431302270012,90.90909090909092,18.76172607879925,9999.0,9999.0,9999.0,0.0,9999.0,12.453300124533001,19.455252918287936,24.509803921568626,15.673981191222571,12.953367875647668,9999.0,9999.0,19.569471624266146,32.67973856209151,11.560693641618498,17.421602787456447,9999.0,13.297872340425531,5.8582308142940835,18.34862385321101
economic_ideology|WVS_E,9999.0,16.207455429497568,19.569471624266146,97.08737864077669,21.929824561403507,9999.0,9999.0,9999.0,9999.0,0.0,18.281535648994517,32.05128205128205,30.3030303030303,19.011406844106464,16.666666666666668,9999.0,9999.0,28.248587570621467,35.714285714285715,15.923566878980893,26.315789473684212,9999.0,22.172949002217294,9.980039920159681,18.148820326678766
