,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,0.0,9999.0,9999.0,833.3333333333334,41.32231404958678,84.03361344537815,50.76142131979696,9999.0,588.2352941176471,27.100271002710027,9999.0,36.36363636363637,80.0,625.0,9999.0,66.2251655629139,9999.0,23.752969121140143,500.0,9999.0,95.23809523809523,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,0.0,9999.0,333.3333333333333,400.0,400.0,434.7826086956522,9999.0,454.5454545454545,149.2537313432836,9999.0,208.33333333333334,500.0,1000.0,9999.0,625.0,9999.0,161.29032258064515,1000.0,9999.0,277.77777777777777,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,9999.0,0.0,1000.0,38.02281368821293,70.92198581560284,48.309178743961354,9999.0,200.0,23.86634844868735,9999.0,32.154340836012864,70.4225352112676,909.090909090909,9999.0,81.96721311475409,9999.0,21.691973969631235,666.6666666666666,9999.0,70.4225352112676,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,833.3333333333334,333.3333333333333,1000.0,0.0,163.93442622950818,454.5454545454545,714.2857142857143,9999.0,625.0,136.986301369863,88.49557522123894,1000.0,232.5581395348837,9999.0,9999.0,63.69426751592357,9999.0,9999.0,9999.0,68.4931506849315,200.0,52.35602094240838,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,41.32231404958678,400.0,38.02281368821293,163.93442622950818,0.0,9999.0,9999.0,9999.0,9999.0,24.213075060532685,99.00990099009901,31.645569620253163,64.1025641025641,285.7142857142857,9999.0,9999.0,9999.0,20.920502092050206,400.0,270.27027027027026,9999.0,74.6268656716418,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,84.03361344537815,400.0,70.92198581560284,454.5454545454545,9999.0,0.0,9999.0,9999.0,9999.0,43.47826086956522,175.43859649122805,58.47953216374269,129.87012987012986,1000.0,9999.0,9999.0,9999.0,40.16064257028113,1000.0,188.67924528301887,9999.0,322.5806451612903,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,50.76142131979696,434.7826086956522,48.309178743961354,714.2857142857143,9999.0,9999.0,0.0,9999.0,9999.0,29.58579881656805,172.41379310344828,39.0625,86.95652173913044,833.3333333333334,9999.0,9999.0,9999.0,25.906735751295336,666.6666666666666,188.67924528301887,9999.0,129.87012987012986,9999.0,9999.0
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
economic_ideology|WVS_E,9999.0,588.2352941176471,454.5454545454545,200.0,625.0,9999.0,9999.0,9999.0,9999.0,0.0,131.57894736842104,169.49152542372883,178.57142857142858,294.11764705882354,1000.0,9999.0,9999.0,9999.0,161.29032258064515,1000.0,322.5806451612903,9999.0,625.0,9999.0,9999.0
gender_role_traditionalism|WVS_D,9999.0,27.100271002710027,149.2537313432836,23.86634844868735,136.986301369863,24.213075060532685,43.47826086956522,29.58579881656805,9999.0,131.57894736842104,0.0,89.28571428571429,19.53125,45.662100456621005,714.2857142857143,9999.0,62.5,9999.0,13.140604467805518,769.2307692307693,59.523809523809526,42.5531914893617,129.87012987012986,9999.0,9999.0
importance_of_life_domains|WVS_A,9999.0,9999.0,9999.0,9999.0,88.49557522123894,99.00990099009901,175.43859649122805,172.41379310344828,9999.0,169.49152542372883,89.28571428571429,0.0,90.09009009009009,113.63636363636363,178.57142857142858,9999.0,185.18518518518516,9999.0,92.59259259259258,588.2352941176471,9999.0,166.66666666666666,9999.0,9999.0,9999.0
job_scarcity_gender_discrimination|WVS_C,9999.0,36.36363636363637,208.33333333333334,32.154340836012864,1000.0,31.645569620253163,58.47953216374269,39.0625,9999.0,178.57142857142858,19.53125,90.09009009009009,0.0,9999.0,666.6666666666666,9999.0,68.4931506849315,9999.0,17.6678445229682,555.5555555555555,101.010101010101,57.4712643678161,90.09009009009009,9999.0,9999.0
job_scarcity_nativist_preference|WVS_C,9999.0,80.0,500.0,70.4225352112676,232.5581395348837,64.1025641025641,129.87012987012986,86.95652173913044,9999.0,294.11764705882354,45.662100456621005,113.63636363636363,9999.0,0.0,384.61538461538464,9999.0,109.89010989010988,9999.0,40.816326530612244,625.0,588.2352941176471,135.13513513513513,108.69565217391305,9999.0,9999.0
life_autonomy_morality_permissiveness|WVS_F,9999.0,625.0,1000.0,909.090909090909,9999.0,285.7142857142857,1000.0,833.3333333333334,9999.0,1000.0,714.2857142857143,178.57142857142858,666.6666666666666,384.61538461538464,0.0,9999.0,140.8450704225352,9999.0,9999.0,9999.0,178.57142857142858,666.6666666666666,108.69565217391305,9999.0,9999.0
offline_political_participation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
postmaterialist_values|WVS_E,9999.0,66.2251655629139,625.0,81.96721311475409,63.69426751592357,9999.0,9999.0,9999.0,9999.0,9999.0,62.5,185.18518518518516,68.4931506849315,109.89010989010988,140.8450704225352,9999.0,0.0,9999.0,41.666666666666664,303.03030303030306,172.41379310344828,9999.0,64.93506493506493,9999.0,9999.0
religious_belief|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
