,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
autocracy_support|WVS_E,0.0,454.5454545454545,142.85714285714286,270.27027027027026,25.706940874035993,9999.0,9999.0,9999.0,9999.0,9999.0,60.975609756097555,156.25,39.682539682539684,48.07692307692308,58.13953488372093,9999.0,9999.0,133.33333333333334,40.32258064516129,48.78048780487805,151.51515151515153,9999.0,53.763440860215056,15.290519877675841,34.129692832764505
child_qualities_autonomy_self_expression|WVS_A,454.5454545454545,0.0,9999.0,9999.0,119.04761904761905,151.51515151515153,238.0952380952381,256.4102564102564,58.8235294117647,93.45794392523365,26.455026455026456,9999.0,85.47008547008546,129.87012987012986,142.85714285714286,1000.0,96.15384615384616,416.6666666666667,434.7826086956522,74.6268656716418,9999.0,90.09009009009009,9999.0,9999.0,54.6448087431694
child_qualities_conformity_tradition|WVS_A,142.85714285714286,9999.0,0.0,9999.0,21.05263157894737,1000.0,83.33333333333333,294.11764705882354,250.0,454.5454545454545,256.4102564102564,9999.0,26.881720430107528,27.17391304347826,67.56756756756756,94.33962264150944,72.99270072992701,25.706940874035993,21.88183807439825,41.1522633744856,9999.0,256.4102564102564,9999.0,9999.0,71.42857142857143
child_qualities_prosocial_diligence|WVS_A,270.27027027027026,9999.0,9999.0,0.0,49.01960784313725,1000.0,333.3333333333333,294.11764705882354,312.5,833.3333333333334,86.95652173913044,9999.0,72.99270072992701,78.125,322.5806451612903,153.84615384615384,526.3157894736842,56.81818181818181,48.543689320388346,250.0,9999.0,149.2537313432836,9999.0,9999.0,76.33587786259541
civic_dishonesty_tolerance|WVS_F,25.706940874035993,119.04761904761905,21.05263157894737,49.01960784313725,0.0,66.2251655629139,90.90909090909092,833.3333333333334,22.22222222222222,31.152647975077883,30.395136778115504,40.65040650406504,16.366612111292962,35.587188612099645,9999.0,21.459227467811157,42.37288135593221,9999.0,9999.0,9999.0,67.56756756756756,344.82758620689657,55.55555555555556,38.167938931297705,64.1025641025641
confidence_in_civil_society_organizations|WVS_E,9999.0,151.51515151515153,1000.0,1000.0,66.2251655629139,0.0,9999.0,9999.0,9999.0,9999.0,46.29629629629629,384.61538461538464,77.51937984496124,370.3703703703703,476.1904761904762,9999.0,9999.0,196.078431372549,322.5806451612903,1000.0,80.0,9999.0,151.51515151515153,76.33587786259541,208.33333333333334
confidence_in_domestic_institutions|WVS_E,9999.0,238.0952380952381,83.33333333333333,333.3333333333333,90.90909090909092,9999.0,0.0,9999.0,9999.0,9999.0,125.0,78.125,125.0,71.94244604316548,125.0,9999.0,9999.0,88.49557522123894,93.45794392523365,84.03361344537815,312.5,9999.0,555.5555555555555,119.04761904761905,434.7826086956522
confidence_in_international_organizations|WVS_E,9999.0,256.4102564102564,294.11764705882354,294.11764705882354,833.3333333333334,9999.0,9999.0,0.0,9999.0,9999.0,104.16666666666667,1000.0,1000.0,555.5555555555555,1000.0,9999.0,9999.0,243.90243902439022,294.11764705882354,714.2857142857143,208.33333333333334,9999.0,416.6666666666667,500.0,232.5581395348837
democratic_system_evaluation|WVS_E,9999.0,58.8235294117647,250.0,312.5,22.22222222222222,9999.0,9999.0,9999.0,0.0,9999.0,21.27659574468085,232.5581395348837,26.17801047120419,60.24096385542168,80.0,9999.0,9999.0,76.33587786259541,48.78048780487805,119.04761904761905,68.02721088435375,9999.0,33.67003367003367,14.85884101040119,93.45794392523365
economic_ideology|WVS_E,9999.0,93.45794392523365,454.5454545454545,833.3333333333334,31.152647975077883,9999.0,9999.0,9999.0,9999.0,0.0,31.545741324921135,285.7142857142857,39.682539682539684,85.47008547008546,101.010101010101,9999.0,9999.0,121.95121951219511,64.1025641025641,116.27906976744185,92.59259259259258,9999.0,55.24861878453038,21.78649237472767,114.9425287356322
