,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,15.1285930408472,41.666666666666664,14.04494382022472,66.66666666666667,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,17.513134851138354,43.47826086956522,1000.0,17.035775127768314,17.98561151079137,19.417475728155342,9999.0,24.752475247524753,9999.0,11.123470522803116,24.875621890547265,9999.0,15.64945226917058,9999.0,9999.0,238.0952380952381,9999.0,9999.0,27.62430939226519
autocracy_support|WVS_E,9999.0,0.0,24.630541871921185,72.99270072992701,26.38522427440633,277.77777777777777,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,27.855153203342617,98.0392156862745,1000.0,29.32551319648094,29.498525073746315,32.362459546925564,9999.0,42.37288135593221,9999.0,19.76284584980237,37.174721189591075,9999.0,23.86634844868735,9999.0,9999.0,285.7142857142857,9999.0,9999.0,43.66812227074236
child_qualities_autonomy_self_expression|WVS_A,15.1285930408472,24.630541871921185,0.0,9999.0,9999.0,1000.0,42.19409282700422,37.59398496240602,81.30081300813008,28.011204481792713,16.5016501650165,75.75757575757576,10.493179433368311,29.15451895043732,9999.0,12.820512820512821,14.471780028943561,16.638935108153078,8.445945945945946,19.960079840319363,59.1715976331361,11.22334455667789,31.645569620253163,18.315018315018314,11.737089201877934,9999.0,22.271714922048996,9999.0,9999.0,9999.0,17.699115044247787
child_qualities_conformity_tradition|WVS_A,41.666666666666664,72.99270072992701,9999.0,0.0,9999.0,1000.0,28.328611898016998,29.58579881656805,24.509803921568626,217.3913043478261,100.0,161.29032258064515,48.543689320388346,45.04504504504504,9999.0,86.20689655172414,48.543689320388346,40.983606557377044,27.932960893854748,303.03030303030306,102.04081632653062,14.684287812041118,18.115942028985508,70.92198581560284,38.75968992248062,9999.0,42.5531914893617,9999.0,9999.0,9999.0,357.14285714285717
child_qualities_prosocial_diligence|WVS_A,14.04494382022472,26.38522427440633,9999.0,9999.0,0.0,35.714285714285715,47.16981132075472,45.24886877828054,53.763440860215056,24.57002457002457,14.471780028943561,41.84100418410041,12.21001221001221,37.59398496240602,9999.0,13.966480446927374,19.083969465648853,27.77777777777778,8.539709649871904,17.57469244288225,200.0,14.641288433382138,43.29004329004329,19.305019305019304,17.33102253032929,9999.0,27.700831024930746,9999.0,9999.0,9999.0,25.0
civic_dishonesty_tolerance|WVS_F,66.66666666666667,277.77777777777777,1000.0,1000.0,35.714285714285715,0.0,1000.0,714.2857142857143,232.5581395348837,67.11409395973155,45.45454545454546,58.47953216374269,175.43859649122805,12.468827930174564,416.6666666666667,175.43859649122805,119.04761904761905,9999.0,41.49377593360996,51.282051282051285,121.95121951219511,9999.0,9999.0,1000.0,9999.0,9999.0,714.2857142857143,103.09278350515464,9999.0,9999.0,163.93442622950818
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,42.19409282700422,28.328611898016998,47.16981132075472,1000.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,18.148820326678766,14.880952380952381,56.17977528089888,151.51515151515153,149.2537313432836,51.282051282051285,9999.0,71.42857142857143,9999.0,17.301038062283737,14.641288433382138,9999.0,83.33333333333333,9999.0,9999.0,108.69565217391305,9999.0,9999.0,70.92198581560284
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,37.59398496240602,29.58579881656805,45.24886877828054,714.2857142857143,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,120.48192771084337,22.321428571428573,83.33333333333333,28.73563218390805,22.026431718061673,16.863406408094434,9999.0,74.07407407407408,9999.0,10.741138560687432,14.684287812041118,9999.0,15.625,9999.0,9999.0,86.95652173913044,9999.0,9999.0,52.083333333333336
confidence_in_international_organizations|WVS_E,9999.0,9999.0,81.30081300813008,24.509803921568626,53.763440860215056,232.5581395348837,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,39.682539682539684,14.367816091954024,72.46376811594203,49.504950495049506,30.769230769230766,26.041666666666668,9999.0,156.25,9999.0,10.559662090813093,12.987012987012987,9999.0,23.58490566037736,9999.0,9999.0,91.74311926605505,9999.0,9999.0,192.30769230769232
democratic_system_evaluation|WVS_E,9999.0,9999.0,28.011204481792713,217.3913043478261,24.57002457002457,67.11409395973155,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,24.390243902439025,181.81818181818184,131.57894736842104,39.8406374501992,67.11409395973155,227.27272727272725,9999.0,38.314176245210724,9999.0,285.7142857142857,79.36507936507937,9999.0,93.45794392523365,9999.0,9999.0,232.5581395348837,9999.0,9999.0,63.69426751592357
