,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,0.0003,0.0002,-0.0049,-0.0006,,,,,,,-0.0019,-0.0075,-0.0045,0.0015,0.0048,-0.0019,,0.0014,,0.0092,-0.0197,,-0.0024,0.0008,,-0.01,,,-0.0058
autocracy_support|WVS_E,,0.0,0.0408,-0.0227,-0.0196,0.0367,,,,,,,0.0208,0.0193,0.0178,0.0205,0.0022,0.0293,,0.0094,,-0.0088,-0.0208,,0.0468,-0.0229,,0.0493,,,0.0447
child_qualities_autonomy_self_expression|WVS_A,0.0003,0.0408,0.0,,,0.0278,-0.0171,0.0082,-0.0133,0.0411,0.0095,-0.0221,0.0497,0.0239,,0.0183,-0.0045,0.0297,0.0342,0.0071,-0.0039,0.0011,-0.0299,0.011,0.0485,,-0.0079,,,,0.0506
child_qualities_conformity_tradition|WVS_A,0.0002,-0.0227,,0.0,,-0.0112,0.0098,-0.0034,0.0093,-0.022,-0.0054,0.0119,-0.0251,-0.0106,,-0.012,-0.0003,-0.0144,-0.0218,-0.0069,-0.0014,0.0037,0.0139,-0.0047,-0.0255,,0.0008,,,,-0.0217
child_qualities_prosocial_diligence|WVS_A,-0.0049,-0.0196,,,0.0,-0.0346,-0.0042,-0.0133,-0.009,-0.0274,-0.0043,0.0171,-0.0086,-0.0155,,0.0027,0.009,-0.0175,-0.0062,0.0069,0.0159,-0.0148,0.0183,-0.0019,-0.0317,,0.0194,,,,-0.0474
civic_dishonesty_tolerance|WVS_F,-0.0006,0.0367,0.0278,-0.0112,-0.0346,0.0,0.0039,0.0261,-0.0064,0.0388,0.0098,-0.0402,-0.0216,0.029,0.0258,-0.0001,-0.0091,,0.0381,-0.005,-0.0019,,,0.0145,,-0.0197,-0.024,0.0449,,,0.0709
confidence_in_civil_society_organizations|WVS_E,,,-0.0171,0.0098,-0.0042,0.0039,0.0,,,,,,-0.0442,-0.0073,-0.01,-0.0126,0.002,-0.0101,,-0.0074,,-0.0002,0.0173,,-0.017,0.0121,,-0.021,,,-0.0099
confidence_in_domestic_institutions|WVS_E,,,0.0082,-0.0034,-0.0133,0.0261,,0.0,,,,,-0.0213,0.0121,0.0089,-0.0029,-0.0036,0.0102,,-0.0039,,-0.0113,0.0178,,0.0175,-0.0038,,0.0182,,,0.0285
confidence_in_international_organizations|WVS_E,,,-0.0133,0.0093,-0.009,-0.0064,,,0.0,,,,-0.0191,-0.0175,-0.0123,-0.0089,0.005,-0.0137,,-0.0041,,0.0228,-0.0222,,-0.021,0.0076,,-0.0341,,,-0.0191
democratic_system_evaluation|WVS_E,,,0.0411,-0.022,-0.0274,0.0388,,,,0.0,,,0.0256,0.0244,0.0256,0.0159,-0.0031,0.0324,,0.0057,,-0.0041,-0.0247,,0.0548,-0.0256,,0.0506,,,0.0602
democratic_values_importance|WVS_E,,,0.0095,-0.0054,-0.0043,0.0098,,,,,0.0,,-0.0019,0.0026,0.0008,0.0054,0.0029,0.0068,,0.0035,,-0.0034,-0.0063,,0.01,-0.003,,0.0104,,,0.0092
economic_ideology|WVS_E,,,-0.0221,0.0119,0.0171,-0.0402,,,,,,0.0,0.007,-0.0275,-0.0234,-0.0019,0.0079,-0.0234,,0.0022,,0.0199,-0.0242,,-0.0398,0.012,,-0.0479,,,-0.0513
gender_role_traditionalism|WVS_D,-0.0019,0.0208,0.0497,-0.0251,-0.0086,-0.0216,-0.0442,-0.0213,-0.0191,0.0256,-0.0019,0.007,0.0,0.0166,0.0367,0.0341,-0.0096,0.0279,-0.0004,0.0131,-0.0145,0.0388,-0.0893,0.0105,0.0458,-0.0508,0.0125,0.0385,,,0.0305
immigrant_origin_status|WVS_G,-0.0075,0.0193,0.0239,-0.0106,-0.0155,0.029,-0.0073,0.0121,-0.0175,0.0244,0.0026,-0.0275,0.0166,0.0,0.0259,0.0031,-0.0102,0.0207,0.0225,,0.0034,-0.0076,0.0092,0.0215,0.0347,-0.0185,-0.0076,0.0406,,,0.0463
importance_of_life_domains|WVS_A,-0.0045,0.0178,,,,0.0258,-0.01,0.0089,-0.0123,0.0256,0.0008,-0.0234,0.0367,0.0259,0.0,0.0049,-0.0144,0.0233,0.013,-0.0034,-0.0053,0.0068,-0.0116,0.0196,0.0412,,-0.0106,,,,0.052
job_scarcity_gender_discrimination|WVS_C,0.0015,0.0205,0.0183,-0.012,0.0027,-0.0001,-0.0126,-0.0029,-0.0089,0.0159,0.0054,-0.0019,0.0341,0.0031,0.0049,0.0,,0.0107,0.0215,0.0101,0.0021,-0.0012,-0.0233,-0.0006,0.0172,-0.0113,0.005,0.021,,,
job_scarcity_nativist_preference|WVS_C,0.0048,0.0022,-0.0045,-0.0003,0.009,-0.0091,0.002,-0.0036,0.005,-0.0031,0.0029,0.0079,-0.0096,-0.0102,-0.0144,,0.0,-0.0053,0.0055,0.0056,0.0008,-0.0021,-0.0053,-0.0124,-0.0095,0.0078,0.0044,-0.0107,,,
life_autonomy_morality_permissiveness|WVS_F,-0.0019,0.0293,0.0297,-0.0144,-0.0175,,-0.0101,0.0102,-0.0137,0.0324,0.0068,-0.0234,0.0279,0.0207,0.0233,0.0107,-0.0053,0.0,0.0277,0.0034,-0.0007,,,0.0123,,-0.0213,-0.0078,0.039,,,0.0424
offline_political_participation|WVS_E,,,0.0342,-0.0218,-0.0062,0.0381,,,,,,,-0.0004,0.0225,0.013,0.0215,0.0055,0.0277,0.0,0.0117,,-0.0287,0.008,,0.0451,-0.0121,,0.0556,,,0.0414
outgroup_trust|WVS_G,0.0014,0.0094,0.0071,-0.0069,0.0069,-0.005,-0.0074,-0.0039,-0.0041,0.0057,0.0035,0.0022,0.0131,,-0.0034,0.0101,0.0056,0.0034,0.0117,0.0,0.0038,-0.0028,-0.011,-0.0036,0.0033,-0.0019,0.0059,0.0061,,,-0.0061
postmaterialist_values|WVS_E,,,-0.0039,-0.0014,0.0159,-0.0019,,,,,,,-0.0145,0.0034,-0.0053,0.0021,0.0008,-0.0007,,0.0038,0.0,-0.0219,0.0329,,-0.0028,0.0075,,0.0114,,,-0.0062
religious_belief|WVS_F,0.0092,-0.0088,0.0011,0.0037,-0.0148,,-0.0002,-0.0113,0.0228,-0.0041,-0.0034,0.0199,0.0388,-0.0076,0.0068,-0.0012,-0.0021,,-0.0287,-0.0028,-0.0219,0.0,,-0.0151,,-0.0106,-0.003,-0.0216,,,-0.0026
religious_practice_and_self_identification|WVS_F,-0.0197,-0.0208,-0.0299,0.0139,0.0183,,0.0173,0.0178,-0.0222,-0.0247,-0.0063,-0.0242,-0.0893,0.0092,-0.0116,-0.0233,-0.0053,,0.008,-0.011,0.0329,,0.0,0.0304,,0.0285,0.0003,0.0009,,,-0.006
science_technology_optimism|WVS_E,,,0.011,-0.0047,-0.0019,0.0145,,,,,,,0.0105,0.0215,0.0196,-0.0006,-0.0124,0.0123,,-0.0036,,-0.0151,0.0304,0.0,0.0209,-0.0113,,0.0323,,,0.0311
sexual_and_reproductive_morality_permissiveness|WVS_F,-0.0024,0.0468,0.0485,-0.0255,-0.0317,,-0.017,0.0175,-0.021,0.0548,0.01,-0.0398,0.0458,0.0347,0.0412,0.0172,-0.0095,,0.0451,0.0033,-0.0028,,,0.0209,0.0,-0.0371,-0.0151,0.0663,,,0.0777
social_intolerance_outgroups|WVS_A,0.0008,-0.0229,,,,-0.0197,0.0121,-0.0038,0.0076,-0.0256,-0.003,0.012,-0.0508,-0.0185,,-0.0113,0.0078,-0.0213,-0.0121,-0.0019,0.0075,-0.0106,0.0285,-0.0113,-0.0371,0.0,0.0065,,,,-0.0415
societal_change_attitudes|WVS_E,,,-0.0079,0.0008,0.0194,-0.024,,,,,,,0.0125,-0.0076,-0.0106,0.005,0.0044,-0.0078,,0.0059,,-0.003,0.0003,,-0.0151,0.0065,0.0,-0.008,,,-0.0264
subjective_wellbeing|WVS_A,-0.01,0.0493,,,,0.0449,-0.021,0.0182,-0.0341,0.0506,0.0104,-0.0479,0.0385,0.0406,,0.021,-0.0107,0.039,0.0556,0.0061,0.0114,-0.0216,0.0009,0.0323,0.0663,,-0.008,0.0,,,0.0717
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,-0.0058,0.0447,0.0506,-0.0217,-0.0474,0.0709,-0.0099,0.0285,-0.0191,0.0602,0.0092,-0.0513,0.0305,0.0463,0.052,,,0.0424,0.0414,-0.0061,-0.0062,-0.0026,-0.006,0.0311,0.0777,-0.0415,-0.0264,0.0717,,,0.0
