,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,-0.0048,0.0073,-0.0032,0.0161,,,,,,,0.008,-0.0291,0.0068,-0.0038,-0.0307,-0.0112,,-0.0308,,0.0141,0.0094,,-0.0257,,,-0.0033,,-0.0215,0.0065
autocracy_support|WVS_E,,0.0,-0.0245,0.0153,-0.0027,-0.0364,,,,,,,-0.0231,0.0165,0.0002,-0.0113,0.0092,-0.0024,,0.0313,,0.0111,-0.0318,,-0.0019,,,0.0033,,0.0146,-0.0251
child_qualities_autonomy_self_expression|WVS_A,-0.0048,-0.0245,0.0,,,0.0587,-0.0387,0.0118,-0.0302,-0.0052,-0.0116,0.0339,0.0581,-0.016,,0.0437,0.0441,0.0455,0.0601,0.0055,-0.0089,-0.0618,0.0438,-0.013,0.076,,-0.0505,,,,0.0672
child_qualities_conformity_tradition|WVS_A,0.0073,0.0153,,0.0,,-0.0874,0.0182,-0.0337,0.0137,-0.009,0.0145,-0.0364,-0.0157,-0.0208,,-0.0501,-0.0443,-0.0424,-0.0411,0.0149,0.0005,0.0992,-0.0805,0.0154,-0.0683,,0.0451,,,,-0.0349
child_qualities_prosocial_diligence|WVS_A,-0.0032,-0.0027,,,0.0,0.0077,-0.0099,-0.0,-0.0093,0.0054,0.0008,0.0022,0.0214,-0.0205,,0.0118,0.0115,0.0154,0.0238,0.012,0.0013,-0.0149,0.0042,0.001,0.0229,,-0.0155,,,,0.0294
civic_dishonesty_tolerance|WVS_F,0.0161,-0.0364,0.0587,-0.0874,0.0077,0.0,-0.0143,0.0366,-0.0195,-0.0271,-0.0233,0.0437,0.0172,0.0082,-0.0426,0.0569,0.0328,,0.0188,-0.0461,-0.0162,,,-0.032,,,-0.04,-0.0137,,0.0181,0.0415
confidence_in_civil_society_organizations|WVS_E,,,-0.0387,0.0182,-0.0099,-0.0143,0.0,,,,,,-0.035,-0.0082,0.0012,-0.0134,-0.023,-0.0153,,-0.0069,,0.0121,-0.0096,,-0.0308,,,-0.0075,,-0.0152,-0.0325
confidence_in_domestic_institutions|WVS_E,,,0.0118,-0.0337,-0.0,0.0366,,0.0,,,,,-0.0058,0.0189,-0.0211,0.0206,0.0188,0.0151,,-0.0099,,-0.047,0.0362,,0.0243,,,-0.0072,,0.0107,0.0036
confidence_in_international_organizations|WVS_E,,,-0.0302,0.0137,-0.0093,-0.0195,,,0.0,,,,-0.0266,0.0137,0.0006,-0.0135,-0.0101,-0.013,,0.001,,0.0146,-0.0126,,-0.0206,,,-0.0053,,-0.0079,-0.0275
democratic_system_evaluation|WVS_E,,,-0.0052,-0.009,0.0054,-0.0271,,,,0.0,,,-0.018,0.0278,-0.0113,0.0011,0.0365,0.0161,,0.053,,-0.024,-0.017,,0.0314,,,0.0059,,0.0385,-0.0152
