,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,-0.0162,0.0335,0.017,0.004,,,,,,,0.0399,-0.0239,0.0209,-0.0111,-0.0344,-0.0169,,-0.0066,,0.0393,-0.0189,,-0.0031,-0.0268,,-0.0066,,,0.0153
autocracy_support|WVS_E,,0.0,0.0105,0.0057,0.0007,0.0011,,,,,,,-0.0161,-0.0193,0.0121,-0.0066,-0.0122,-0.0148,,-0.0031,,0.0038,-0.0117,,-0.0134,-0.0071,,0.0028,,,-0.0018
child_qualities_autonomy_self_expression|WVS_A,-0.0162,0.0105,0.0,,,0.0172,0.0064,0.0175,-0.0016,0.0121,-0.0027,-0.0045,-0.0115,-0.0049,,0.0182,-0.0058,0.0122,0.0451,0.0075,0.0037,-0.0307,0.0154,-0.0047,0.0222,,-0.0044,,,,0.0157
child_qualities_conformity_tradition|WVS_A,0.0335,0.0057,,0.0,,-0.0011,0.0051,-0.0035,-0.0088,-0.023,0.0211,0.0225,0.0357,-0.0351,,-0.016,-0.0395,-0.0293,-0.0261,-0.0106,0.0049,0.0521,-0.0279,-0.0554,-0.0159,,-0.0145,,,,0.0145
child_qualities_prosocial_diligence|WVS_A,0.017,0.0007,,,0.0,-0.0038,0.0013,-0.0015,-0.0034,-0.0132,0.0089,0.0109,0.0311,-0.0163,,-0.0007,-0.0186,-0.0079,-0.012,-0.0026,-0.0021,0.0327,-0.0133,-0.0231,-0.0028,,-0.0026,,,,0.0091
civic_dishonesty_tolerance|WVS_F,0.004,0.0011,0.0172,-0.0011,-0.0038,0.0,0.0121,0.0393,-0.0136,-0.024,-0.0142,0.0067,-0.0047,-0.0104,0.0096,0.0113,-0.0296,,0.0195,0.0033,-0.0158,,,-0.028,,-0.0287,-0.0333,0.0067,,,0.047
confidence_in_civil_society_organizations|WVS_E,,,0.0064,0.0051,0.0013,0.0121,0.0,,,,,,0.0006,-0.0122,0.0078,0.0003,-0.0144,-0.0022,,-0.0006,,-0.0051,0.0011,,0.0066,-0.0118,,0.0023,,,0.013
confidence_in_domestic_institutions|WVS_E,,,0.0175,-0.0035,-0.0015,0.0393,,0.0,,,,,0.0059,-0.0093,0.0065,0.0183,-0.0234,0.0178,,0.0061,,-0.0388,0.0244,,0.0426,-0.0314,,0.0081,,,0.0411
confidence_in_international_organizations|WVS_E,,,-0.0016,-0.0088,-0.0034,-0.0136,,,0.0,,,,-0.006,0.0118,-0.0091,0.0011,0.0161,0.003,,0.0016,,0.0025,-0.0009,,-0.0075,0.0126,,-0.0003,,,-0.0148
democratic_system_evaluation|WVS_E,,,0.0121,-0.023,-0.0132,-0.024,,,,0.0,,,-0.0487,0.0111,-0.0119,-0.006,0.0347,-0.0044,,0.001,,-0.0115,-0.0093,,-0.0294,0.0335,,0.0038,,,-0.0368
democratic_values_importance|WVS_E,,,-0.0027,0.0211,0.0089,-0.0142,,,,,0.0,,0.0041,-0.0263,0.0175,-0.0132,-0.0161,-0.0255,,-0.0065,,0.0384,-0.0301,,-0.0308,-0.0099,,-0.0012,,,-0.0082
