,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,61.7283950617284,29.850746268656714,58.8235294117647,250.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.06265664160401,41.84100418410041,47.84688995215311,90.09009009009009,29.069767441860463,59.1715976331361,9999.0,151.51515151515153,9999.0,25.44529262086514,52.91005291005291,9999.0,322.5806451612903,37.3134328358209,9999.0,151.51515151515153,9999.0,9999.0,65.35947712418302
autocracy_support|WVS_E,9999.0,0.0,95.23809523809523,175.43859649122805,1000.0,909.090909090909,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,62.11180124223603,51.81347150259067,82.64462809917356,151.51515151515153,81.96721311475409,67.56756756756756,9999.0,322.5806451612903,9999.0,263.1578947368421,85.47008547008546,9999.0,74.6268656716418,140.8450704225352,9999.0,357.14285714285717,9999.0,9999.0,555.5555555555555
child_qualities_autonomy_self_expression|WVS_A,61.7283950617284,95.23809523809523,0.0,9999.0,9999.0,58.13953488372093,156.25,57.14285714285714,625.0,82.64462809917356,370.3703703703703,222.22222222222223,86.95652173913044,204.08163265306123,9999.0,54.94505494505494,172.41379310344828,81.96721311475409,22.172949002217294,133.33333333333334,270.27027027027026,32.57328990228013,64.93506493506493,212.7659574468085,45.04504504504504,9999.0,227.27272727272725,9999.0,9999.0,9999.0,63.69426751592357
child_qualities_conformity_tradition|WVS_A,29.850746268656714,175.43859649122805,9999.0,0.0,9999.0,909.090909090909,196.078431372549,285.7142857142857,113.63636363636363,43.47826086956522,47.39336492890995,44.44444444444444,28.011204481792713,28.49002849002849,9999.0,62.5,25.31645569620253,34.129692832764505,38.314176245210724,94.33962264150944,204.08163265306123,19.193857965451055,35.842293906810035,18.050541516245488,62.893081761006286,9999.0,68.9655172413793,9999.0,9999.0,9999.0,68.9655172413793
child_qualities_prosocial_diligence|WVS_A,58.8235294117647,1000.0,9999.0,9999.0,0.0,263.1578947368421,769.2307692307693,666.6666666666666,294.11764705882354,75.75757575757576,112.35955056179776,91.74311926605505,32.154340836012864,61.34969325153375,9999.0,1000.0,53.763440860215056,126.58227848101265,83.33333333333333,384.61538461538464,476.1904761904762,30.581039755351682,75.18796992481204,43.29004329004329,357.14285714285717,9999.0,384.61538461538464,9999.0,9999.0,9999.0,109.89010989010988
civic_dishonesty_tolerance|WVS_F,250.0,909.090909090909,58.13953488372093,909.090909090909,263.1578947368421,0.0,82.64462809917356,25.44529262086514,73.52941176470588,41.666666666666664,70.4225352112676,149.2537313432836,212.7659574468085,96.15384615384616,104.16666666666667,88.49557522123894,33.78378378378378,9999.0,51.282051282051285,303.03030303030306,63.291139240506325,9999.0,9999.0,35.714285714285715,9999.0,34.84320557491289,30.030030030030026,149.2537313432836,9999.0,9999.0,21.27659574468085
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,156.25,196.078431372549,769.2307692307693,82.64462809917356,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,81.96721311475409,128.2051282051282,1000.0,69.44444444444444,454.5454545454545,9999.0,1000.0,9999.0,196.078431372549,909.090909090909,9999.0,151.51515151515153,84.74576271186442,9999.0,434.7826086956522,9999.0,9999.0,76.92307692307692
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,57.14285714285714,285.7142857142857,666.6666666666666,25.44529262086514,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,169.49152542372883,107.52688172043011,153.84615384615384,54.6448087431694,42.73504273504273,56.17977528089888,9999.0,163.93442622950818,9999.0,25.77319587628866,40.983606557377044,9999.0,23.474178403755868,31.847133757961785,9999.0,123.4567901234568,9999.0,9999.0,24.330900243309003
confidence_in_international_organizations|WVS_E,9999.0,9999.0,625.0,113.63636363636363,294.11764705882354,73.52941176470588,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,166.66666666666666,84.74576271186442,109.89010989010988,909.090909090909,62.11180124223603,333.3333333333333,9999.0,625.0,9999.0,400.0,1000.0,9999.0,133.33333333333334,79.36507936507937,9999.0,1000.0,9999.0,9999.0,67.56756756756756
democratic_system_evaluation|WVS_E,9999.0,9999.0,82.64462809917356,43.47826086956522,75.75757575757576,41.666666666666664,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,20.53388090349076,90.09009009009009,84.03361344537815,166.66666666666666,28.81844380403458,227.27272727272725,9999.0,1000.0,9999.0,86.95652173913044,107.52688172043011,9999.0,34.013605442176875,29.850746268656714,9999.0,263.1578947368421,9999.0,9999.0,27.17391304347826
