,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,0.0011,0.0003,-0.0014,-0.0037,,,,,,,0.005,-0.0058,0.002,0.0052,0.0009,0.0002,,-0.0005,,,,,0.0002,-0.0009,,0.0015,,0.0005,0.0002
autocracy_support|WVS_E,,0.0,0.0054,0.0083,-0.0084,-0.0148,,,,,,,0.0051,-0.0257,0.0028,0.0159,-0.009,-0.001,,-0.004,,,,,0.0,0.0026,,0.0062,,-0.0056,-0.0011
child_qualities_autonomy_self_expression|WVS_A,0.0011,0.0054,0.0,,,-0.0005,-0.0006,-0.0015,-0.0058,0.0025,-0.0005,-0.0043,0.0021,-0.001,,0.0093,0.0006,-0.0016,0.0131,0.0001,0.0042,,,0.0074,0.0042,,0.0027,,,,0.0004
child_qualities_conformity_tradition|WVS_A,0.0003,0.0083,,0.0,,-0.0044,0.0022,-0.007,0.0063,0.0116,0.0116,0.0064,-0.008,-0.007,,-0.0046,-0.0111,-0.0024,-0.0356,-0.0029,-0.0024,,,-0.0019,-0.0032,,-0.0019,,,,-0.0021
child_qualities_prosocial_diligence|WVS_A,-0.0014,-0.0084,,,0.0,0.0041,0.0017,0.0039,0.0002,-0.0058,-0.007,-0.0011,-0.0073,0.0069,,-0.0143,-0.0016,0.0038,0.0142,0.0027,-0.0014,,,-0.003,-0.0007,,-0.0017,,,,0.0001
civic_dishonesty_tolerance|WVS_F,-0.0037,-0.0148,-0.0005,-0.0044,0.0041,0.0,0.0041,0.0018,0.0023,-0.0135,-0.0109,0.0012,-0.0127,0.0362,-0.0076,-0.0132,0.0067,,-0.0249,0.0023,-0.0118,,,-0.0037,,0.0054,-0.0171,-0.0078,,0.0006,-0.0
confidence_in_civil_society_organizations|WVS_E,,,-0.0006,0.0022,0.0017,0.0041,0.0,,,,,,-0.0216,0.0049,-0.0009,-0.0198,-0.0125,0.0016,,0.0016,,,,,0.0001,0.0013,,-0.0007,,0.0001,-0.0013
confidence_in_domestic_institutions|WVS_E,,,-0.0015,-0.007,0.0039,0.0018,,0.0,,,,,0.0048,0.0017,0.0057,-0.0031,0.0058,0.0039,,0.0025,,,,,0.0007,-0.006,,0.0003,,0.0081,0.0013
confidence_in_international_organizations|WVS_E,,,-0.0058,0.0063,0.0002,0.0023,,,0.0,,,,-0.0048,0.0049,-0.0137,-0.0044,-0.0023,-0.003,,-0.0019,,,,,-0.0034,0.0053,,-0.0042,,-0.0119,-0.0012
democratic_system_evaluation|WVS_E,,,0.0025,0.0116,-0.0058,-0.0135,,,,0.0,,,-0.0164,-0.0249,0.001,-0.0071,-0.0226,0.0022,,-0.0021,,,,,-0.0016,0.0031,,0.0051,,-0.0064,-0.0025
democratic_values_importance|WVS_E,,,-0.0005,0.0116,-0.007,-0.0109,,,,,0.0,,0.0057,-0.0165,-0.01,0.0132,-0.0062,-0.0038,,-0.0054,,,,,-0.0032,0.0065,,0.0012,,-0.0166,-0.0017
economic_ideology|WVS_E,,,-0.0043,0.0064,-0.0011,0.0012,,,,,,0.0,0.0022,0.0037,-0.0145,0.0034,0.0008,-0.0043,,-0.003,,,,,-0.0036,0.0058,,-0.0042,,-0.0129,-0.001
gender_role_traditionalism|WVS_D,0.005,0.0051,0.0021,-0.008,-0.0073,-0.0127,-0.0216,0.0048,-0.0048,-0.0164,0.0057,0.0022,0.0,-0.0121,-0.0001,0.0853,0.0576,-0.0107,-0.0123,-0.0081,-0.0003,,,-0.0024,-0.0008,-0.0023,0.01,0.0011,,-0.0043,0.0058
immigrant_origin_status|WVS_G,-0.0058,-0.0257,-0.001,-0.007,0.0069,0.0362,0.0049,0.0017,0.0049,-0.0249,-0.0165,0.0037,-0.0121,0.0,-0.0139,-0.0096,0.0136,-0.0117,-0.0512,,-0.02,,,-0.0072,0.003,0.0106,-0.0277,-0.0137,,-0.002,0.0009
importance_of_life_domains|WVS_A,0.002,0.0028,,,,-0.0076,-0.0009,0.0057,-0.0137,0.001,-0.01,-0.0145,-0.0001,-0.0139,0.0,0.0011,-0.0026,0.0083,0.0716,0.0042,0.0141,,,0.012,0.0067,,0.0146,,,,0.0017
job_scarcity_gender_discrimination|WVS_C,0.0052,0.0159,0.0093,-0.0046,-0.0143,-0.0132,-0.0198,-0.0031,-0.0044,-0.0071,0.0132,0.0034,0.0853,-0.0096,0.0011,0.0,,-0.0175,-0.0324,-0.0103,-0.0012,,,0.0052,0.0021,0.0046,0.0056,0.0025,,-0.0072,
