,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,-0.0367,-0.0244,-0.0652,0.1472,,,,,,,-0.0602,0.0625,0.0507,-0.1006,0.017,0.0977,,-0.0066,,,0.137,,-0.0014,0.0958,,-0.1001,0.0313,-0.0289,-0.043
autocracy_support|WVS_E,,0.0,0.0533,-0.0194,-0.0047,-0.0098,,,,,,,0.0292,-0.005,-0.0269,0.0423,0.0134,-0.0284,,0.0024,,,-0.0368,,-0.0125,0.0055,,0.0015,-0.013,0.0318,0.0347
child_qualities_autonomy_self_expression|WVS_A,-0.0367,0.0533,0.0,,,-0.0298,0.0099,-0.0104,-0.0061,0.0106,-0.0634,-0.0237,-0.0027,-0.0026,,0.0361,0.0055,-0.0936,0.0291,0.01,-0.036,,-0.0403,-0.0462,-0.1052,,-0.0273,,-0.0297,,0.0262
child_qualities_conformity_tradition|WVS_A,-0.0244,-0.0194,,0.0,,0.0023,0.0082,0.0078,0.0247,0.002,0.0574,-0.0025,0.0141,0.0054,,-0.0138,0.0004,0.043,0.0002,-0.0084,0.0233,,0.0015,0.022,0.0617,,0.0387,,0.0221,,0.0012
child_qualities_prosocial_diligence|WVS_A,-0.0652,-0.0047,,,0.0,-0.0032,0.0104,0.0108,0.0307,-0.0044,0.0833,-0.0186,0.0449,-0.0276,,0.0258,-0.0014,0.0497,-0.0022,0.0017,0.0202,,-0.0169,0.0231,0.0884,,0.0676,,0.0075,,0.0119
civic_dishonesty_tolerance|WVS_F,0.1472,-0.0098,-0.0298,0.0023,-0.0032,0.0,0.0897,0.0933,0.072,-0.0741,-0.0845,0.0729,0.0446,0.1139,-0.0236,-0.073,0.0888,,0.0192,-0.0274,-0.0388,,,-0.0866,,0.0266,-0.1009,-0.0321,,0.0305,0.0683
confidence_in_civil_society_organizations|WVS_E,,,0.0099,0.0082,0.0104,0.0897,0.0,,,,,,0.0417,0.0905,-0.04,-0.0326,0.0693,0.0396,,-0.0286,,,0.0126,,0.0581,-0.0091,,0.0085,0.0412,0.0294,0.0798
confidence_in_domestic_institutions|WVS_E,,,-0.0104,0.0078,0.0108,0.0933,,0.0,,,,,0.0349,0.0779,-0.0258,-0.0337,0.0625,0.0582,,-0.0229,,,0.0277,,0.069,-0.0114,,0.0034,0.0385,0.0231,0.0579
confidence_in_international_organizations|WVS_E,,,-0.0061,0.0247,0.0307,0.072,,,0.0,,,,0.0447,0.0944,-0.0384,-0.0278,0.0712,0.0343,,-0.0328,,,-0.0003,,0.0736,-0.0407,,0.0357,0.0456,0.0216,0.078
democratic_system_evaluation|WVS_E,,,0.0106,0.002,-0.0044,-0.0741,,,,0.0,,,-0.0356,-0.0055,0.0178,-0.0113,-0.0271,-0.0673,,-0.0019,,,-0.0328,,-0.0595,-0.0147,,0.0145,-0.0055,-0.0249,-0.0268
