,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,18.083182640144663,8.097165991902834,49.75124378109453,43.859649122807014,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,13.774104683195592,39.52569169960474,31.152647975077883,13.75515818431912,13.869625520110958,17.064846416382252,9999.0,18.90359168241966,9999.0,22.88329519450801,38.167938931297705,9999.0,10.152284263959391,9999.0,9999.0,34.129692832764505,9999.0,217.3913043478261,21.929824561403507
autocracy_support|WVS_E,9999.0,0.0,26.109660574412533,11.641443538998836,34.013605442176875,26.595744680851062,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,18.93939393939394,26.041666666666668,40.32258064516129,15.267175572519083,18.083182640144663,25.706940874035993,9999.0,18.281535648994517,9999.0,108.69565217391305,416.6666666666667,9999.0,14.970059880239521,9999.0,9999.0,60.975609756097555,9999.0,46.29629629629629,42.37288135593221
child_qualities_autonomy_self_expression|WVS_A,18.083182640144663,26.109660574412533,0.0,9999.0,9999.0,46.29629629629629,12.853470437017997,39.52569169960474,21.14164904862579,20.79002079002079,31.347962382445143,50.5050505050505,11.037527593818984,14.970059880239521,9999.0,12.315270935960593,14.471780028943561,17.482517482517483,12.345679012345679,21.598272138228943,67.11409395973155,42.918454935622314,232.5581395348837,62.893081761006286,10.090817356205854,9999.0,33.898305084745765,9999.0,9999.0,9999.0,10.504201680672269
child_qualities_conformity_tradition|WVS_A,8.097165991902834,11.641443538998836,9999.0,0.0,9999.0,24.271844660194173,12.484394506866415,104.16666666666667,11.049723756906078,8.841732979664014,48.07692307692308,49.26108374384237,12.195121951219512,8.810572687224669,9999.0,11.614401858304298,11.086474501108647,12.820512820512821,13.333333333333334,25.906735751295336,370.3703703703703,10.582010582010582,19.9203187250996,15.527950310559007,8.525149190110827,9999.0,16.80672268907563,9999.0,9999.0,9999.0,11.695906432748536
child_qualities_prosocial_diligence|WVS_A,49.75124378109453,34.013605442176875,9999.0,9999.0,0.0,32.57328990228013,91.74311926605505,1000.0,79.36507936507937,31.152647975077883,227.27272727272725,98.0392156862745,277.77777777777777,50.25125628140703,9999.0,37.735849056603776,49.01960784313725,62.893081761006286,90.90909090909092,116.27906976744185,833.3333333333334,26.525198938992045,46.948356807511736,26.38522427440633,44.44444444444444,9999.0,46.08294930875576,9999.0,9999.0,9999.0,87.71929824561403
civic_dishonesty_tolerance|WVS_F,43.859649122807014,26.595744680851062,46.29629629629629,24.271844660194173,32.57328990228013,0.0,60.24096385542168,1000.0,33.003300330033,294.11764705882354,28.81844380403458,500.0,161.29032258064515,8.517887563884157,42.5531914893617,57.4712643678161,47.39336492890995,9999.0,181.81818181818184,33.222591362126245,48.07692307692308,9999.0,9999.0,42.5531914893617,9999.0,9999.0,34.96503496503497,40.48582995951417,9999.0,38.61003861003861,19.569471624266146
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,12.853470437017997,12.484394506866415,91.74311926605505,60.24096385542168,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,15.290519877675841,18.79699248120301,34.013605442176875,15.479876160990711,18.6219739292365,20.32520325203252,9999.0,27.700831024930746,9999.0,31.055900621118013,93.45794392523365,9999.0,13.21003963011889,9999.0,9999.0,27.932960893854748,9999.0,625.0,15.822784810126581
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,39.52569169960474,104.16666666666667,1000.0,1000.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,55.55555555555556,263.1578947368421,90.90909090909092,68.02721088435375,96.15384615384616,121.95121951219511,9999.0,93.45794392523365,9999.0,416.6666666666667,125.0,9999.0,64.51612903225806,9999.0,9999.0,95.23809523809523,9999.0,312.5,55.865921787709496
confidence_in_international_organizations|WVS_E,9999.0,9999.0,21.14164904862579,11.049723756906078,79.36507936507937,33.003300330033,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,22.22222222222222,12.578616352201257,71.42857142857143,20.408163265306122,18.41620626151013,20.0,9999.0,55.55555555555556,9999.0,15.698587127158554,27.027027027027028,9999.0,13.513513513513514,9999.0,9999.0,38.02281368821293,9999.0,64.51612903225806,18.587360594795538
democratic_system_evaluation|WVS_E,9999.0,9999.0,20.79002079002079,8.841732979664014,31.152647975077883,294.11764705882354,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,16.835016835016834,42.5531914893617,40.983606557377044,13.422818791946309,14.184397163120568,16.260162601626018,9999.0,20.66115702479339,9999.0,21.321961620469086,34.72222222222222,9999.0,11.11111111111111,9999.0,9999.0,37.735849056603776,9999.0,169.49152542372883,21.691973969631235
democratic_values_importance|WVS_E,9999.0,9999.0,31.347962382445143,48.07692307692308,227.27272727272725,28.81844380403458,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,30.395136778115504,36.36363636363637,40.0,43.859649122807014,49.01960784313725,86.20689655172414,9999.0,35.3356890459364,9999.0,43.66812227074236,52.35602094240838,9999.0,41.1522633744856,9999.0,9999.0,107.52688172043011,9999.0,89.28571428571429,75.75757575757576
economic_ideology|WVS_E,9999.0,9999.0,50.5050505050505,49.26108374384237,98.0392156862745,500.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,50.76142131979696,27.100271002710027,81.30081300813008,92.59259259259258,75.18796992481204,79.36507936507937,9999.0,178.57142857142858,9999.0,142.85714285714286,312.5,9999.0,43.66812227074236,9999.0,9999.0,107.52688172043011,9999.0,102.04081632653062,54.054054054054056
gender_role_traditionalism|WVS_D,13.774104683195592,18.93939393939394,11.037527593818984,12.195121951219512,277.77777777777777,161.29032258064515,15.290519877675841,55.55555555555556,22.22222222222222,16.835016835016834,30.395136778115504,50.76142131979696,0.0,21.09704641350211,23.752969121140143,13.869625520110958,16.44736842105263,19.569471624266146,13.440860215053764,23.364485981308412,68.02721088435375,43.10344827586207,357.14285714285717,41.84100418410041,11.001100110011002,9999.0,40.0,23.64066193853428,9999.0,333.3333333333333,13.245033112582782
immigrant_origin_status|WVS_G,39.52569169960474,26.041666666666668,14.970059880239521,8.810572687224669,50.25125628140703,8.517887563884157,18.79699248120301,263.1578947368421,12.578616352201257,42.5531914893617,36.36363636363637,27.100271002710027,21.09704641350211,0.0,142.85714285714286,33.898305084745765,21.929824561403507,14.204545454545453,61.34969325153375,9999.0,28.169014084507044,7.251631617113851,11.507479861910241,158.73015873015873,10.905125408942203,9999.0,28.73563218390805,24.691358024691358,9999.0,13.88888888888889,10.649627263045794
importance_of_life_domains|WVS_A,31.152647975077883,40.32258064516129,9999.0,9999.0,9999.0,42.5531914893617,34.013605442176875,90.90909090909092,71.42857142857143,40.983606557377044,40.0,81.30081300813008,23.752969121140143,142.85714285714286,0.0,36.231884057971016,38.46153846153846,60.6060606060606,25.641025641025642,36.63003663003663,82.64462809917356,57.14285714285714,50.5050505050505,625.0,27.027027027027028,9999.0,243.90243902439022,9999.0,9999.0,9999.0,33.67003367003367
job_scarcity_gender_discrimination|WVS_C,13.75515818431912,15.267175572519083,12.315270935960593,11.614401858304298,37.735849056603776,57.4712643678161,15.479876160990711,68.02721088435375,20.408163265306122,13.422818791946309,43.859649122807014,92.59259259259258,13.869625520110958,33.898305084745765,36.231884057971016,0.0,9999.0,18.484288354898336,14.025245441795231,22.93577981651376,67.56756756756756,25.906735751295336,133.33333333333334,23.64066193853428,12.004801920768308,9999.0,28.248587570621467,24.752475247524753,9999.0,98.0392156862745,9999.0
job_scarcity_nativist_preference|WVS_C,13.869625520110958,18.083182640144663,14.471780028943561,11.086474501108647,49.01960784313725,47.39336492890995,18.6219739292365,96.15384615384616,18.41620626151013,14.184397163120568,49.01960784313725,75.18796992481204,16.44736842105263,21.929824561403507,38.46153846153846,9999.0,0.0,19.841269841269842,16.80672268907563,27.247956403269754,112.35955056179776,22.22222222222222,44.642857142857146,26.246719160104984,12.453300124533001,9999.0,29.673590504451038,29.41176470588235,9999.0,1000.0,9999.0
life_autonomy_morality_permissiveness|WVS_F,17.064846416382252,25.706940874035993,17.482517482517483,12.820512820512821,62.893081761006286,9999.0,20.32520325203252,121.95121951219511,20.0,16.260162601626018,86.20689655172414,79.36507936507937,19.569471624266146,14.204545454545453,60.6060606060606,18.484288354898336,19.841269841269842,0.0,21.88183807439825,43.859649122807014,833.3333333333334,9999.0,9999.0,31.847133757961785,9999.0,9999.0,30.769230769230766,34.013605442176875,9999.0,138.88888888888889,18.484288354898336
offline_political_participation|WVS_E,9999.0,9999.0,12.345679012345679,13.333333333333334,90.90909090909092,181.81818181818184,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,13.440860215053764,61.34969325153375,25.641025641025642,14.025245441795231,16.80672268907563,21.88183807439825,0.0,22.271714922048996,9999.0,98.0392156862745,156.25,9999.0,13.089005235602095,9999.0,9999.0,28.328611898016998,9999.0,89.28571428571429,16.89189189189189
outgroup_trust|WVS_G,18.90359168241966,18.281535648994517,21.598272138228943,25.906735751295336,116.27906976744185,33.222591362126245,27.700831024930746,93.45794392523365,55.55555555555556,20.66115702479339,35.3356890459364,178.57142857142858,23.364485981308412,9999.0,36.63003663003663,22.93577981651376,27.247956403269754,43.859649122807014,22.271714922048996,0.0,57.80346820809249,158.73015873015873,57.4712643678161,52.083333333333336,21.598272138228943,9999.0,73.52941176470588,54.34782608695652,9999.0,58.13953488372093,33.898305084745765
