,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,109.89010989010988,149.2537313432836,588.2352941176471,94.33962264150944,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,107.52688172043011,34.96503496503497,285.7142857142857,51.02040816326531,45.45454545454546,72.46376811594203,9999.0,60.975609756097555,9999.0,9999.0,9999.0,9999.0,178.57142857142858,294.11764705882354,9999.0,41.49377593360996,158.73015873015873,38.02281368821293,138.88888888888889
autocracy_support|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,109.89010989010988,9999.0,0.0,9999.0,9999.0,322.5806451612903,232.5581395348837,126.58227848101265,769.2307692307693,9999.0,116.27906976744185,256.4102564102564,344.82758620689657,55.865921787709496,9999.0,232.5581395348837,357.14285714285717,89.28571428571429,44.24778761061947,169.49152542372883,188.67924528301887,9999.0,9999.0,166.66666666666666,1000.0,9999.0,357.14285714285717,9999.0,116.27906976744185,9999.0,263.1578947368421
child_qualities_conformity_tradition|WVS_A,149.2537313432836,9999.0,9999.0,0.0,9999.0,1000.0,185.18518518518516,106.38297872340425,1000.0,9999.0,112.35955056179776,232.5581395348837,666.6666666666666,56.497175141242934,9999.0,625.0,256.4102564102564,72.46376811594203,51.282051282051285,217.3913043478261,204.08163265306123,9999.0,9999.0,175.43859649122805,285.7142857142857,9999.0,156.25,9999.0,88.49557522123894,9999.0,294.11764705882354
child_qualities_prosocial_diligence|WVS_A,588.2352941176471,9999.0,9999.0,9999.0,0.0,263.1578947368421,333.3333333333333,526.3157894736842,400.0,9999.0,434.7826086956522,1000.0,250.0,111.11111111111111,9999.0,1000.0,370.3703703703703,1000.0,285.7142857142857,555.5555555555555,263.1578947368421,9999.0,9999.0,666.6666666666666,333.3333333333333,9999.0,133.33333333333334,9999.0,1000.0,9999.0,909.090909090909
civic_dishonesty_tolerance|WVS_F,94.33962264150944,9999.0,322.5806451612903,1000.0,263.1578947368421,0.0,714.2857142857143,238.0952380952381,270.27027027027026,9999.0,188.67924528301887,357.14285714285717,158.73015873015873,64.51612903225806,588.2352941176471,112.35955056179776,86.20689655172414,9999.0,51.282051282051285,149.2537313432836,181.81818181818184,9999.0,9999.0,400.0,9999.0,263.1578947368421,1000.0,196.078431372549,9999.0,138.88888888888889,322.5806451612903
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,232.5581395348837,185.18518518518516,333.3333333333333,714.2857142857143,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,172.41379310344828,200.0,1000.0,175.43859649122805,1000.0,105.26315789473685,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,243.90243902439022,1000.0,9999.0,92.59259259259258,116.27906976744185,83.33333333333333,400.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,126.58227848101265,106.38297872340425,526.3157894736842,238.0952380952381,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,84.03361344537815,37.174721189591075,102.04081632653062,476.1904761904762,243.90243902439022,73.52941176470588,9999.0,79.36507936507937,9999.0,9999.0,9999.0,9999.0,1000.0,156.25,9999.0,51.81347150259067,129.87012987012986,68.4931506849315,256.4102564102564
confidence_in_international_organizations|WVS_E,9999.0,9999.0,769.2307692307693,1000.0,400.0,270.27027027027026,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,1000.0,178.57142857142858,1000.0,192.30769230769232,200.0,1000.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,434.7826086956522,384.61538461538464,9999.0,1000.0,1000.0,434.7826086956522,555.5555555555555
democratic_system_evaluation|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
