,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,0.0033,-0.0008,0.0042,0.0005,,,,,,,-0.0011,-0.0051,-0.0027,0.0055,-0.0041,0.0055,,0.005,,,0.0026,,0.004,-0.0059,,-0.0004,,0.0043,0.003
autocracy_support|WVS_E,,0.0,-0.0,-0.0037,0.0047,-0.0254,,,,,,,-0.0126,0.0318,0.0041,0.0036,-0.0136,-0.0144,,0.014,,,-0.016,,-0.0122,-0.0117,,0.003,,0.0081,-0.0118
child_qualities_autonomy_self_expression|WVS_A,0.0033,-0.0,0.0,,,0.008,-0.0103,0.0143,-0.0021,-0.0144,-0.0094,-0.0043,0.0396,-0.0297,,0.0271,0.0128,0.0168,0.023,0.0063,0.0191,,0.0029,0.0051,0.0191,,-0.0102,,,,0.0379
child_qualities_conformity_tradition|WVS_A,-0.0008,-0.0037,,0.0,,-0.0017,-0.0061,-0.0024,-0.0091,-0.0019,-0.003,0.0046,0.0203,0.0035,,-0.0025,0.0049,0.0004,-0.0073,-0.0045,-0.0083,,-0.0124,0.001,0.0031,,0.0075,,,,0.0046
child_qualities_prosocial_diligence|WVS_A,0.0042,0.0047,,,0.0,0.0046,-0.001,0.0123,0.0075,-0.0054,-0.0008,-0.0111,0.0028,-0.021,,0.0218,-0.0022,0.013,0.0289,0.0127,0.025,,0.0143,0.002,0.0095,,-0.0173,,,,0.0187
civic_dishonesty_tolerance|WVS_F,0.0005,-0.0254,0.008,-0.0017,0.0046,0.0,0.0027,0.0052,-0.0005,-0.0368,-0.0128,0.005,0.0196,-0.0693,-0.0182,0.0047,0.023,,-0.0018,-0.0169,-0.0121,,,0.0118,,0.0064,0.0047,-0.0061,,-0.0037,0.0292
confidence_in_civil_society_organizations|WVS_E,,,-0.0103,-0.0061,-0.001,0.0027,0.0,,,,,,-0.017,0.0014,-0.0036,-0.0067,-0.0028,-0.0026,,-0.0017,,,0.007,,-0.0044,0.0064,,0.0024,,0.002,-0.01
confidence_in_domestic_institutions|WVS_E,,,0.0143,-0.0024,0.0123,0.0052,,0.0,,,,,0.0099,-0.0156,-0.0084,0.0136,0.0045,0.008,,0.0042,,,0.008,,0.0076,-0.0171,,-0.0038,,0.0069,0.0146
confidence_in_international_organizations|WVS_E,,,-0.0021,-0.0091,0.0075,-0.0005,,,0.0,,,,-0.0136,-0.003,-0.0087,0.0024,-0.0024,-0.0016,,0.0036,,,0.0091,,-0.0032,-0.0081,,0.0008,,0.0089,-0.0029
democratic_system_evaluation|WVS_E,,,-0.0144,-0.0019,-0.0054,-0.0368,,,,0.0,,,-0.027,0.0535,0.0138,-0.0084,-0.0238,-0.0238,,0.0149,,,-0.0251,,-0.0218,0.0007,,0.0069,,0.0039,-0.0311
