,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,101.010101010101,153.84615384615384,1000.0,400.0,9999.0,9999.0,9999.0,500.0,9999.0,9999.0,9999.0,9999.0,238.0952380952381,588.2352941176471,666.6666666666666,9999.0,188.67924528301887,9999.0,1000.0,416.6666666666667,263.1578947368421,204.08163265306123,9999.0,1000.0,9999.0,9999.0,400.0,232.5581395348837,188.67924528301887,117.6470588235294,384.61538461538464,103.09278350515464,9999.0,256.4102564102564,1000.0,9999.0,69.93006993006993,112.35955056179776,158.73015873015873,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,9999.0,76.33587786259541,833.3333333333334,526.3157894736842,1000.0,9999.0,9999.0,9999.0,370.3703703703703,9999.0,9999.0,9999.0,9999.0,344.82758620689657,500.0,129.87012987012986,9999.0,101.010101010101,9999.0,149.2537313432836,1000.0,144.92753623188406,142.85714285714286,9999.0,344.82758620689657,9999.0,9999.0,1000.0,156.25,333.3333333333333,172.41379310344828,222.22222222222223,208.33333333333334,9999.0,92.59259259259258,555.5555555555555,9999.0,769.2307692307693,172.41379310344828,238.0952380952381,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,101.010101010101,76.33587786259541,9999.0,0.0,9999.0,9999.0,172.41379310344828,35.08771929824561,34.84320557491289,144.92753623188406,105.26315789473685,277.77777777777777,136.986301369863,322.5806451612903,9999.0,97.08737864077669,1000.0,46.51162790697675,9999.0,9999.0,9999.0,64.1025641025641,256.4102564102564,39.37007874015748,43.47826086956522,22.62443438914027,133.33333333333334,18.281535648994517,1000.0,270.27027027027026,52.91005291005291,76.33587786259541,48.309178743961354,58.47953216374269,62.893081761006286,100.0,25.510204081632654,9999.0,41.49377593360996,90.90909090909092,9999.0,121.95121951219511,9999.0,26.315789473684212
child_qualities_conformity_tradition|WVS_A,153.84615384615384,833.3333333333334,9999.0,9999.0,0.0,9999.0,1000.0,1000.0,344.82758620689657,270.27027027027026,1000.0,178.57142857142858,909.090909090909,357.14285714285717,9999.0,384.61538461538464,243.90243902439022,172.41379310344828,9999.0,9999.0,9999.0,333.3333333333333,588.2352941176471,625.0,769.2307692307693,312.5,416.6666666666667,138.88888888888889,1000.0,250.0,1000.0,270.27027027027026,212.7659574468085,476.1904761904762,181.81818181818184,270.27027027027026,1000.0,9999.0,526.3157894736842,119.04761904761905,9999.0,666.6666666666666,9999.0,200.0
child_qualities_prosocial_diligence|WVS_A,1000.0,526.3157894736842,9999.0,9999.0,9999.0,0.0,232.5581395348837,151.51515151515153,129.87012987012986,454.5454545454545,476.1904761904762,1000.0,909.090909090909,588.2352941176471,9999.0,454.5454545454545,384.61538461538464,303.03030303030306,9999.0,9999.0,9999.0,1000.0,909.090909090909,133.33333333333334,204.08163265306123,75.18796992481204,1000.0,93.45794392523365,588.2352941176471,238.0952380952381,357.14285714285717,243.90243902439022,178.57142857142858,153.84615384615384,384.61538461538464,434.7826086956522,84.03361344537815,9999.0,169.49152542372883,112.35955056179776,9999.0,666.6666666666666,9999.0,90.90909090909092
civic_dishonesty_tolerance|WVS_F,400.0,1000.0,9999.0,172.41379310344828,1000.0,232.5581395348837,0.0,140.8450704225352,116.27906976744185,357.14285714285717,454.5454545454545,1000.0,1000.0,370.3703703703703,9999.0,454.5454545454545,147.05882352941177,666.6666666666666,9999.0,84.74576271186442,9999.0,357.14285714285717,625.0,9999.0,256.4102564102564,57.4712643678161,1000.0,107.52688172043011,277.77777777777777,117.6470588235294,9999.0,9999.0,9999.0,9999.0,909.090909090909,400.0,9999.0,158.73015873015873,149.2537313432836,69.93006993006993,1000.0,9999.0,9999.0,76.92307692307692
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,35.08771929824561,1000.0,151.51515151515153,140.8450704225352,0.0,9999.0,9999.0,144.92753623188406,9999.0,9999.0,9999.0,9999.0,147.05882352941177,833.3333333333334,61.34969325153375,9999.0,35.2112676056338,9999.0,85.47008547008546,357.14285714285717,50.25125628140703,61.34969325153375,9999.0,188.67924528301887,9999.0,9999.0,178.57142857142858,78.125,101.010101010101,62.5,69.44444444444444,100.0,9999.0,31.847133757961785,125.0,9999.0,66.66666666666667,91.74311926605505,303.03030303030306,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,34.84320557491289,344.82758620689657,129.87012987012986,116.27906976744185,9999.0,0.0,9999.0,144.92753623188406,9999.0,9999.0,9999.0,9999.0,172.41379310344828,666.6666666666666,47.84688995215311,9999.0,30.769230769230766,9999.0,66.66666666666667,555.5555555555555,49.504950495049506,59.523809523809526,9999.0,129.87012987012986,9999.0,9999.0,526.3157894736842,70.92198581560284,123.4567901234568,76.92307692307692,68.4931506849315,144.92753623188406,9999.0,29.940119760479043,119.04761904761905,9999.0,45.87155963302752,120.48192771084337,500.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,144.92753623188406,270.27027027027026,454.5454545454545,357.14285714285717,9999.0,9999.0,0.0,555.5555555555555,9999.0,9999.0,9999.0,9999.0,1000.0,208.33333333333334,84.74576271186442,9999.0,119.04761904761905,9999.0,125.0,1000.0,212.7659574468085,232.5581395348837,9999.0,227.27272727272725,9999.0,9999.0,312.5,212.7659574468085,1000.0,1000.0,500.0,476.1904761904762,9999.0,100.0,666.6666666666666,9999.0,84.03361344537815,1000.0,1000.0,9999.0,9999.0
