,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,0.0034,-0.0125,0.0141,0.0055,-0.0189,,,,-0.007,,,,,-0.0088,0.0031,0.0021,-0.016,-0.0141,,0.0004,-0.0174,-0.0195,0.0108,,-0.0031,,,0.0157,0.0077,0.0113,-0.019,-0.0166,0.0262,,-0.0288,0.0167,,0.0094,-0.0216,-0.0128,,
autocracy_support|WVS_E,,0.0,-0.0064,0.0088,0.0273,0.0172,-0.021,,,,0.0037,,,,,-0.0156,0.0042,0.0264,-0.0584,-0.0066,,0.0007,-0.0112,0.0026,0.0215,,0.0082,,,0.0149,-0.0032,-0.0077,0.001,-0.003,0.0038,,-0.0027,0.0081,,0.0135,0.0095,-0.0049,,
basic_needs_deprivation|WVS_H,0.0034,-0.0064,0.0,0.0049,-0.0008,-0.0,0.0063,-0.008,-0.0029,-0.0062,,-0.0044,0.0076,0.0078,-0.0086,,0.0105,0.016,0.0078,0.0151,,0.0013,0.0055,0.0062,,-0.0159,-0.0,0.0095,-0.0034,,0.0004,0.0066,0.0011,-0.0078,-0.0007,0.0044,0.0143,-0.0108,-0.0085,,0.004,-0.0086,,0.0159
child_qualities_autonomy_self_expression|WVS_A,-0.0125,0.0088,0.0049,0.0,,,0.0248,-0.0026,0.0036,-0.0086,0.0261,0.0186,-0.017,-0.0417,0.0065,0.002,0.0141,0.041,-0.0346,,,0.0053,0.0172,0.0376,-0.0015,0.0069,0.0018,0.0503,-0.0078,-0.0335,-0.0262,-0.0348,0.0365,0.0375,-0.0413,0.0251,0.0616,,-0.0137,-0.0424,,0.0116,,0.0161
child_qualities_conformity_tradition|WVS_A,0.0141,0.0273,-0.0008,,0.0,,-0.0313,-0.0321,-0.0159,0.0083,-0.0011,-0.0116,-0.0128,0.0044,0.022,-0.0214,0.0073,0.029,-0.0652,,,0.0012,-0.0213,-0.0101,0.026,-0.0075,0.004,-0.0066,-0.0072,0.0245,0.0033,0.002,-0.015,-0.0124,0.0263,-0.0118,-0.0196,,0.04,0.0137,,-0.0154,,-0.0372
child_qualities_prosocial_diligence|WVS_A,0.0055,0.0172,-0.0,,,0.0,-0.013,-0.018,-0.0083,0.0042,0.0046,-0.0019,-0.0126,-0.0071,0.0155,-0.0113,0.0069,0.024,-0.0491,,,0.002,-0.0098,0.0012,0.0163,-0.0027,0.0016,0.0083,-0.0054,0.0035,-0.0057,-0.009,-0.0008,0.0055,0.0047,-0.002,0.0027,,0.0217,-0.0012,,-0.0056,,-0.018
civic_dishonesty_tolerance|WVS_F,-0.0189,-0.021,0.0063,0.0248,-0.0313,-0.013,0.0,0.0309,0.0211,-0.01,0.0232,0.0219,-0.0054,-0.0358,-0.0172,0.0213,0.0049,0.0076,0.025,0.0454,,0.0046,0.0328,,-0.0171,0.0032,-0.007,0.0422,0.0001,-0.0604,,,,,-0.0552,0.0293,,-0.0367,-0.0407,-0.0538,0.0404,,,0.0565
confidence_in_civil_society_organizations|WVS_E,,,-0.008,-0.0026,-0.0321,-0.018,0.0309,0.0,,,-0.0063,,,,,0.0189,-0.0154,-0.0401,0.035,0.0056,,0.0003,0.0142,0.0082,-0.0028,,-0.0106,,,-0.0547,-0.0103,-0.0278,0.018,0.0421,-0.0285,,0.0101,-0.0077,,-0.0058,0.0057,0.0293,,
confidence_in_domestic_institutions|WVS_E,,,-0.0029,0.0036,-0.0159,-0.0083,0.0211,,0.0,,0.0006,,,,,0.0109,-0.0049,-0.0112,0.0121,0.0096,,0.0012,0.0097,0.0077,-0.0013,,-0.0059,,,-0.0359,-0.0116,-0.0211,0.0153,0.0301,-0.0211,,0.0161,-0.008,,-0.0117,0.0091,0.0161,,
confidence_in_international_organizations|WVS_E,,,-0.0062,-0.0086,0.0083,0.0042,-0.01,,,0.0,-0.0118,,,,,-0.0049,-0.0057,-0.0105,-0.0287,-0.0163,,0.001,-0.0149,-0.0143,0.0234,,-0.0064,,,-0.0175,-0.0016,-0.0141,-0.0084,0.0151,0.0108,,-0.0228,0.0185,,0.0172,-0.0129,0.0052,,
crime_victimization|WVS_H,-0.007,0.0037,,0.0261,-0.0011,0.0046,0.0232,-0.0063,0.0006,-0.0118,0.0,0.0128,-0.0065,-0.0268,-0.0009,,0.0165,0.0403,-0.0209,0.0392,,0.0046,0.0177,0.0321,,-0.005,0.0014,0.0452,-0.0082,,-0.02,-0.0215,0.0282,0.0268,-0.0331,0.023,0.058,-0.0296,-0.019,,0.0349,0.0022,,0.0257
democratic_system_evaluation|WVS_E,,,-0.0044,0.0186,-0.0116,-0.0019,0.0219,,,,0.0128,0.0,,,,0.0082,-0.0002,0.009,-0.0005,0.0218,,0.0012,0.0179,0.026,-0.0069,,0.0027,,,-0.0247,-0.0157,-0.0214,0.0275,0.0273,-0.036,,0.0382,-0.0214,,-0.0169,0.0285,0.016,,
democratic_values_importance|WVS_E,,,0.0076,-0.017,-0.0128,-0.0126,-0.0054,,,,-0.0065,,0.0,,,0.0054,-0.003,-0.0218,0.077,-0.0097,,-0.0055,0.0047,-0.014,-0.0325,,0.0052,,,0.05,0.0275,0.0523,-0.0228,-0.058,0.0231,,-0.027,0.0005,,0.0118,-0.0218,-0.0166,,
economic_ideology|WVS_E,,,0.0078,-0.0417,0.0044,-0.0071,-0.0358,,,,-0.0268,,,0.0,,-0.0063,-0.0059,-0.0333,0.0585,-0.0424,,-0.0065,-0.0216,-0.0491,-0.0131,,0.0,,,0.0664,0.043,0.0725,-0.0576,-0.0775,0.0725,,-0.0801,0.0325,,0.042,-0.0608,-0.0325,,
electoral_integrity|WVS_E,,,-0.0086,0.0065,0.022,0.0155,-0.0172,,,,-0.0009,,,,0.0,-0.013,0.0012,0.0187,-0.0624,-0.0072,,0.0012,-0.0136,0.0018,0.0262,,0.0038,,,0.0004,-0.006,-0.0174,0.0009,0.0119,0.0048,,-0.0042,0.0116,,0.0138,0.0068,0.0004,,
existential_threat_worry|WVS_H,-0.0088,-0.0156,,0.002,-0.0214,-0.0113,0.0213,0.0189,0.0109,-0.0049,,0.0082,0.0054,-0.0063,-0.013,0.0,-0.004,-0.0145,0.0352,0.0114,,-0.0003,0.014,0.0088,,0.0038,-0.0032,0.0066,0.0039,,-0.0042,-0.005,0.0107,0.0144,-0.0174,0.0089,0.0143,-0.0127,-0.0241,,0.0072,0.0117,,0.0238
female_income_threat_to_marriage|WVS_D,0.0031,0.0042,0.0105,0.0141,0.0073,0.0069,0.0049,-0.0154,-0.0049,-0.0057,0.0165,-0.0002,-0.003,-0.0059,0.0012,-0.004,0.0,,-0.0218,0.0206,,0.0033,0.0047,0.0132,-0.0034,-0.0125,0.0013,0.0222,-0.0075,-0.0011,-0.0085,-0.0068,0.0093,0.0047,-0.0093,0.009,0.0265,-0.0132,-0.0009,-0.0296,0.0154,-0.0068,,0.0092
gender_role_traditionalism|WVS_D,0.0021,0.0264,0.016,0.041,0.029,0.024,0.0076,-0.0401,-0.0112,-0.0105,0.0403,0.009,-0.0218,-0.0333,0.0187,-0.0145,,0.0,-0.0812,0.0489,,0.0085,0.007,0.0359,0.0052,-0.0169,0.0064,0.0629,-0.0184,-0.0118,-0.029,-0.0324,0.0303,0.0261,-0.0311,0.0243,0.0748,-0.0285,0.0085,-0.0621,0.0493,-0.0104,,0.0058
immigrant_origin_status|WVS_G,-0.016,-0.0584,0.0078,-0.0346,-0.0652,-0.0491,0.025,0.035,0.0121,-0.0287,-0.0209,-0.0005,0.077,0.0585,-0.0624,0.0352,-0.0218,-0.0812,0.0,-0.0139,,-0.0137,0.0334,-0.0179,-0.0864,0.0152,,-0.0431,0.0179,0.0753,0.0506,0.0973,-0.0261,-0.0959,0.0151,0.0004,-0.0327,-0.0192,-0.0882,0.0153,-0.0345,-0.0077,,0.0338
importance_of_life_domains|WVS_A,-0.0141,-0.0066,0.0151,,,,0.0454,0.0056,0.0096,-0.0163,0.0392,0.0218,-0.0097,-0.0424,-0.0072,0.0114,0.0206,0.0489,-0.0139,0.0,,0.0064,0.0315,0.0485,-0.0185,-0.0043,-0.0015,0.0631,-0.0095,-0.0466,-0.033,-0.0397,0.0462,0.0472,-0.0564,0.0346,0.0851,,-0.0338,-0.0728,,0.0131,,0.0462
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,0.0004,0.0007,0.0013,0.0053,0.0012,0.002,0.0046,0.0003,0.0012,0.001,0.0046,0.0012,-0.0055,-0.0065,0.0012,-0.0003,0.0033,0.0085,-0.0137,0.0064,,0.0,,0.0051,0.0037,-0.004,-0.0019,0.0085,-0.0016,-0.0118,-0.0077,-0.0113,0.0063,0.0125,-0.0068,0.003,0.0109,-0.0032,0.0022,-0.0096,0.0065,0.0025,,0.0062
job_scarcity_nativist_preference|WVS_C,-0.0174,-0.0112,0.0055,0.0172,-0.0213,-0.0098,0.0328,0.0142,0.0097,-0.0149,0.0177,0.0179,0.0047,-0.0216,-0.0136,0.014,0.0047,0.007,0.0334,0.0315,,,0.0,0.0292,-0.0259,0.01,0.0016,0.0348,-0.0009,-0.0221,-0.0116,-0.0081,0.0269,0.0156,-0.0354,0.0246,0.0489,-0.0329,-0.0374,-0.0352,0.0283,0.0104,,0.0321
life_autonomy_morality_permissiveness|WVS_F,-0.0195,0.0026,0.0062,0.0376,-0.0101,0.0012,,0.0082,0.0077,-0.0143,0.0321,0.026,-0.014,-0.0491,0.0018,0.0088,0.0132,0.0359,-0.0179,0.0485,,0.0051,0.0292,0.0,-0.0103,0.0122,0.0013,0.0602,-0.0074,-0.0412,,,,,-0.0512,0.035,,-0.0385,-0.0293,-0.0522,0.0513,,,0.0295
