,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,1000.0,95.23809523809523,105.26315789473685,62.5,60.975609756097555,9999.0,9999.0,9999.0,35.97122302158274,9999.0,9999.0,9999.0,9999.0,9999.0,153.84615384615384,49.26108374384237,46.728971962616825,100.0,32.467532467532465,65.78947368421052,26.17801047120419,64.1025641025641,9999.0,9999.0,909.090909090909,9999.0,9999.0,50.5050505050505,119.04761904761905,78.125,140.8450704225352,45.04504504504504,625.0,9999.0,34.36426116838488,35.2112676056338,9999.0,416.6666666666667,54.34782608695652,9999.0,149.2537313432836,9999.0
autocracy_support|WVS_E,9999.0,0.0,140.8450704225352,588.2352941176471,175.43859649122805,555.5555555555555,120.48192771084337,9999.0,9999.0,9999.0,303.03030303030306,9999.0,9999.0,9999.0,9999.0,9999.0,238.0952380952381,200.0,59.523809523809526,69.93006993006993,97.08737864077669,270.27027027027026,72.99270072992701,303.03030303030306,9999.0,9999.0,1000.0,9999.0,9999.0,68.4931506849315,277.77777777777777,333.3333333333333,769.2307692307693,142.85714285714286,303.03030303030306,9999.0,113.63636363636363,217.3913043478261,9999.0,73.52941176470588,243.90243902439022,9999.0,200.0,9999.0
basic_needs_deprivation|WVS_H,1000.0,140.8450704225352,0.0,114.9425287356322,113.63636363636363,131.57894736842104,68.9655172413793,1000.0,416.6666666666667,1000.0,9999.0,294.11764705882354,500.0,147.05882352941177,303.03030303030306,9999.0,104.16666666666667,68.02721088435375,833.3333333333334,15.1285930408472,9999.0,163.93442622950818,87.71929824561403,217.3913043478261,9999.0,37.87878787878788,78.125,34.129692832764505,357.14285714285717,9999.0,416.6666666666667,33.11258278145695,158.73015873015873,128.2051282051282,86.95652173913044,51.282051282051285,105.26315789473685,185.18518518518516,51.81347150259067,9999.0,27.397260273972606,9999.0,76.92307692307692,21.231422505307854
child_qualities_autonomy_self_expression|WVS_A,95.23809523809523,588.2352941176471,114.9425287356322,0.0,9999.0,9999.0,96.15384615384616,666.6666666666666,74.07407407407408,1000.0,35.587188612099645,909.090909090909,120.48192771084337,270.27027027027026,500.0,9999.0,277.77777777777777,44.052863436123346,46.51162790697675,9999.0,42.73504273504273,63.291139240506325,32.25806451612903,64.93506493506493,9999.0,270.27027027027026,192.30769230769232,41.666666666666664,66.2251655629139,55.865921787709496,142.85714285714286,43.29004329004329,277.77777777777777,44.052863436123346,243.90243902439022,434.7826086956522,40.16064257028113,9999.0,84.03361344537815,63.69426751592357,9999.0,9999.0,9999.0,29.41176470588235
child_qualities_conformity_tradition|WVS_A,105.26315789473685,175.43859649122805,113.63636363636363,9999.0,0.0,9999.0,29.32551319648094,125.0,44.052863436123346,204.08163265306123,45.04504504504504,454.5454545454545,31.25,312.5,476.1904761904762,9999.0,109.89010989010988,55.55555555555556,15.105740181268883,9999.0,13.227513227513228,62.5,15.243902439024389,59.523809523809526,9999.0,32.467532467532465,256.4102564102564,45.662100456621005,28.73563218390805,42.19409282700422,59.523809523809526,500.0,144.92753623188406,59.1715976331361,178.57142857142858,39.52569169960474,28.248587570621467,9999.0,140.8450704225352,71.42857142857143,9999.0,9999.0,9999.0,39.682539682539684
child_qualities_prosocial_diligence|WVS_A,62.5,555.5555555555555,131.57894736842104,9999.0,9999.0,0.0,27.100271002710027,90.09009009009009,27.62430939226519,217.3913043478261,20.833333333333332,188.67924528301887,27.77777777777778,76.92307692307692,121.95121951219511,9999.0,114.9425287356322,30.12048192771084,17.33102253032929,9999.0,11.614401858304298,34.48275862068965,12.360939431396787,34.84320557491289,9999.0,30.8641975308642,526.3157894736842,18.832391713747647,25.510204081632654,46.08294930875576,55.24861878453038,90.09009009009009,57.14285714285714,31.055900621118013,303.03030303030306,44.44444444444444,18.867924528301888,9999.0,52.083333333333336,92.59259259259258,9999.0,9999.0,9999.0,16.556291390728475
civic_dishonesty_tolerance|WVS_F,60.975609756097555,120.48192771084337,68.9655172413793,96.15384615384616,29.32551319648094,27.100271002710027,0.0,81.30081300813008,27.548209366391184,178.57142857142858,24.875621890547265,1000.0,23.696682464454977,131.57894736842104,121.95121951219511,9999.0,64.1025641025641,38.167938931297705,13.440860215053764,113.63636363636363,9.699321047526674,39.0625,10.718113612004288,9999.0,9999.0,19.083969465648853,99.00990099009901,31.347962382445143,21.73913043478261,28.328611898016998,9999.0,9999.0,9999.0,9999.0,149.2537313432836,25.510204081632654,9999.0,15.64945226917058,142.85714285714286,28.73563218390805,48.07692307692308,9999.0,45.45454545454546,33.333333333333336
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,1000.0,666.6666666666666,125.0,90.09009009009009,81.30081300813008,0.0,9999.0,9999.0,94.33962264150944,9999.0,9999.0,9999.0,9999.0,9999.0,555.5555555555555,263.1578947368421,68.4931506849315,87.71929824561403,32.89473684210526,181.81818181818184,44.84304932735426,158.73015873015873,9999.0,9999.0,250.0,9999.0,9999.0,384.61538461538464,188.67924528301887,123.4567901234568,125.0,370.3703703703703,1000.0,9999.0,76.92307692307692,50.25125628140703,9999.0,714.2857142857143,107.52688172043011,9999.0,285.7142857142857,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,416.6666666666667,74.07407407407408,44.052863436123346,27.62430939226519,27.548209366391184,9999.0,0.0,9999.0,21.83406113537118,9999.0,9999.0,9999.0,9999.0,9999.0,108.69565217391305,34.96503496503497,19.9203187250996,27.397260273972606,12.254901960784313,40.16064257028113,13.297872340425531,36.76470588235294,9999.0,9999.0,217.3913043478261,9999.0,9999.0,62.893081761006286,58.8235294117647,416.6666666666667,50.25125628140703,37.45318352059925,454.5454545454545,9999.0,19.880715705765407,16.835016835016834,9999.0,277.77777777777777,24.752475247524753,9999.0,89.28571428571429,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,1000.0,1000.0,204.08163265306123,217.3913043478261,178.57142857142858,9999.0,9999.0,0.0,476.1904761904762,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,1000.0,72.99270072992701,400.0,59.880239520958085,500.0,90.90909090909092,588.2352941176471,9999.0,9999.0,769.2307692307693,9999.0,9999.0,1000.0,322.5806451612903,333.3333333333333,833.3333333333334,1000.0,769.2307692307693,9999.0,243.90243902439022,135.13513513513513,9999.0,1000.0,270.27027027027026,9999.0,526.3157894736842,9999.0
