,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,51.02040816326531,103.09278350515464,62.5,500.0,65.35947712418302,9999.0,9999.0,9999.0,26.525198938992045,9999.0,9999.0,9999.0,9999.0,40.32258064516129,172.41379310344828,85.47008547008546,263.1578947368421,42.19409282700422,9999.0,123.4567901234568,1000.0,51.02040816326531,38.167938931297705,9999.0,322.5806451612903,9999.0,9999.0,232.5581395348837,71.42857142857143,9999.0,9999.0,12.610340479192939,100.0,9999.0,9999.0,188.67924528301887,9999.0,714.2857142857143,98.0392156862745,39.0625,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,151.51515151515153,1000.0,312.5,188.67924528301887,277.77777777777777,9999.0,9999.0,9999.0,625.0,9999.0,9999.0,9999.0,9999.0,181.81818181818184,181.81818181818184,80.0,147.05882352941177,1000.0,9999.0,109.89010989010988,119.04761904761905,285.7142857142857,526.3157894736842,9999.0,434.7826086956522,9999.0,9999.0,172.41379310344828,454.5454545454545,9999.0,9999.0,48.309178743961354,1000.0,9999.0,9999.0,500.0,9999.0,1000.0,370.3703703703703,1000.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,51.02040816326531,151.51515151515153,0.0,500.0,71.42857142857143,108.69565217391305,384.61538461538464,1000.0,113.63636363636363,56.17977528089888,9999.0,112.35955056179776,106.38297872340425,285.7142857142857,188.67924528301887,9999.0,41.84100418410041,60.6060606060606,73.52941176470588,36.90036900369004,9999.0,158.73015873015873,140.8450704225352,40.816326530612244,9999.0,19.455252918287936,400.0,20.964360587002098,59.523809523809526,9999.0,80.64516129032258,9999.0,9999.0,39.682539682539684,84.03361344537815,65.78947368421052,9999.0,294.11764705882354,117.6470588235294,9999.0,56.17977528089888,51.81347150259067,9999.0,82.64462809917356
child_qualities_autonomy_self_expression|WVS_A,103.09278350515464,1000.0,500.0,0.0,9999.0,9999.0,105.26315789473685,232.5581395348837,200.0,83.33333333333333,33.557046979865774,208.33333333333334,1000.0,227.27272727272725,384.61538461538464,81.96721311475409,227.27272727272725,114.9425287356322,52.083333333333336,9999.0,9999.0,250.0,370.3703703703703,217.3913043478261,56.81818181818181,57.4712643678161,238.0952380952381,98.0392156862745,196.078431372549,263.1578947368421,175.43859649122805,9999.0,9999.0,26.246719160104984,588.2352941176471,161.29032258064515,9999.0,9999.0,1000.0,119.04761904761905,9999.0,106.38297872340425,9999.0,131.57894736842104
child_qualities_conformity_tradition|WVS_A,62.5,312.5,71.42857142857143,9999.0,0.0,9999.0,67.11409395973155,285.7142857142857,126.58227848101265,50.25125628140703,27.247956403269754,208.33333333333334,238.0952380952381,123.4567901234568,172.41379310344828,76.33587786259541,500.0,294.11764705882354,52.083333333333336,9999.0,9999.0,285.7142857142857,204.08163265306123,65.35947712418302,34.602076124567475,26.80965147453083,238.0952380952381,36.90036900369004,66.2251655629139,136.986301369863,74.6268656716418,9999.0,9999.0,25.57544757033248,196.078431372549,400.0,9999.0,9999.0,1000.0,588.2352941176471,9999.0,50.5050505050505,9999.0,40.16064257028113
child_qualities_prosocial_diligence|WVS_A,500.0,188.67924528301887,108.69565217391305,9999.0,9999.0,0.0,357.14285714285717,555.5555555555555,333.3333333333333,384.61538461538464,333.3333333333333,212.7659574468085,1000.0,312.5,344.82758620689657,112.35955056179776,144.92753623188406,47.84688995215311,66.2251655629139,9999.0,9999.0,59.523809523809526,76.92307692307692,181.81818181818184,714.2857142857143,1000.0,263.1578947368421,166.66666666666666,144.92753623188406,74.07407407407408,212.7659574468085,9999.0,9999.0,26.525198938992045,833.3333333333334,357.14285714285717,9999.0,9999.0,212.7659574468085,416.6666666666667,9999.0,1000.0,9999.0,57.80346820809249
civic_dishonesty_tolerance|WVS_F,65.35947712418302,277.77777777777777,384.61538461538464,105.26315789473685,67.11409395973155,357.14285714285717,0.0,208.33333333333334,178.57142857142858,38.46153846153846,16.474464579901156,178.57142857142858,263.1578947368421,88.49557522123894,135.13513513513513,44.642857142857146,59.523809523809526,23.752969121140143,217.3913043478261,51.282051282051285,9999.0,156.25,54.6448087431694,9999.0,18.248175182481752,22.22222222222222,163.93442622950818,41.84100418410041,49.504950495049506,116.27906976744185,9999.0,9999.0,9999.0,9999.0,178.57142857142858,84.03361344537815,9999.0,103.09278350515464,117.6470588235294,42.73504273504273,217.3913043478261,9999.0,9999.0,22.371364653243848
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,1000.0,232.5581395348837,285.7142857142857,555.5555555555555,208.33333333333334,0.0,9999.0,9999.0,66.2251655629139,9999.0,9999.0,9999.0,9999.0,108.69565217391305,370.3703703703703,114.9425287356322,136.986301369863,357.14285714285717,9999.0,156.25,1000.0,588.2352941176471,111.11111111111111,9999.0,526.3157894736842,9999.0,9999.0,588.2352941176471,526.3157894736842,9999.0,9999.0,32.57328990228013,769.2307692307693,9999.0,9999.0,1000.0,9999.0,153.84615384615384,1000.0,204.08163265306123,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,113.63636363636363,200.0,126.58227848101265,333.3333333333333,178.57142857142858,9999.0,0.0,9999.0,54.94505494505494,9999.0,9999.0,9999.0,9999.0,111.11111111111111,333.3333333333333,1000.0,99.00990099009901,133.33333333333334,9999.0,1000.0,227.27272727272725,111.11111111111111,83.33333333333333,9999.0,277.77777777777777,9999.0,9999.0,526.3157894736842,156.25,9999.0,9999.0,37.59398496240602,303.03030303030306,9999.0,9999.0,1000.0,9999.0,238.0952380952381,243.90243902439022,104.16666666666667,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,56.17977528089888,83.33333333333333,50.25125628140703,384.61538461538464,38.46153846153846,9999.0,9999.0,0.0,16.89189189189189,9999.0,9999.0,9999.0,9999.0,38.02281368821293,666.6666666666666,53.475935828877,60.6060606060606,43.29004329004329,9999.0,250.0,1000.0,51.282051282051285,23.923444976076556,9999.0,322.5806451612903,9999.0,9999.0,277.77777777777777,54.34782608695652,9999.0,9999.0,12.01923076923077,108.69565217391305,9999.0,9999.0,166.66666666666666,9999.0,294.11764705882354,166.66666666666666,31.746031746031747,9999.0,9999.0
crime_victimization|WVS_H,26.525198938992045,625.0,9999.0,33.557046979865774,27.247956403269754,333.3333333333333,16.474464579901156,66.2251655629139,54.94505494505494,16.89189189189189,0.0,76.33587786259541,256.4102564102564,39.37007874015748,63.291139240506325,9999.0,34.24657534246575,19.083969465648853,13.94700139470014,53.191489361702125,9999.0,166.66666666666666,238.0952380952381,47.39336492890995,9999.0,12.72264631043257,138.88888888888889,20.2020202020202,30.8641975308642,9999.0,29.58579881656805,9999.0,9999.0,7.047216349541931,178.57142857142858,91.74311926605505,9999.0,175.43859649122805,80.0,9999.0,125.0,17.33102253032929,9999.0,13.568521031207599
democratic_system_evaluation|WVS_E,9999.0,9999.0,112.35955056179776,208.33333333333334,208.33333333333334,212.7659574468085,178.57142857142858,9999.0,9999.0,9999.0,76.33587786259541,0.0,9999.0,9999.0,9999.0,49.01960784313725,217.3913043478261,64.93506493506493,84.03361344537815,58.13953488372093,9999.0,58.13953488372093,178.57142857142858,97.08737864077669,140.8450704225352,9999.0,909.090909090909,9999.0,9999.0,60.24096385542168,344.82758620689657,9999.0,9999.0,14.326647564469914,123.4567901234568,9999.0,9999.0,196.078431372549,9999.0,131.57894736842104,133.33333333333334,80.64516129032258,9999.0,9999.0
democratic_values_importance|WVS_E,9999.0,9999.0,106.38297872340425,1000.0,238.0952380952381,1000.0,263.1578947368421,9999.0,9999.0,9999.0,256.4102564102564,9999.0,0.0,9999.0,9999.0,133.33333333333334,156.25,357.14285714285717,87.71929824561403,80.0,9999.0,285.7142857142857,312.5,109.89010989010988,270.27027027027026,9999.0,1000.0,9999.0,9999.0,169.49152542372883,250.0,9999.0,9999.0,39.8406374501992,192.30769230769232,9999.0,9999.0,303.03030303030306,9999.0,357.14285714285717,169.49152542372883,112.35955056179776,9999.0,9999.0
economic_ideology|WVS_E,9999.0,9999.0,285.7142857142857,227.27272727272725,123.4567901234568,312.5,88.49557522123894,9999.0,9999.0,9999.0,39.37007874015748,9999.0,9999.0,0.0,9999.0,222.22222222222223,270.27027027027026,232.5581395348837,68.4931506849315,400.0,9999.0,232.5581395348837,666.6666666666666,181.81818181818184,53.191489361702125,9999.0,909.090909090909,9999.0,9999.0,102.04081632653062,129.87012987012986,9999.0,9999.0,74.6268656716418,1000.0,9999.0,9999.0,1000.0,9999.0,188.67924528301887,666.6666666666666,90.90909090909092,9999.0,9999.0
electoral_integrity|WVS_E,9999.0,9999.0,188.67924528301887,384.61538461538464,172.41379310344828,344.82758620689657,135.13513513513513,9999.0,9999.0,9999.0,63.291139240506325,9999.0,9999.0,9999.0,0.0,303.03030303030306,1000.0,588.2352941176471,144.92753623188406,256.4102564102564,9999.0,256.4102564102564,769.2307692307693,188.67924528301887,82.64462809917356,9999.0,1000.0,9999.0,9999.0,185.18518518518516,163.93442622950818,9999.0,9999.0,121.95121951219511,769.2307692307693,9999.0,9999.0,1000.0,9999.0,256.4102564102564,1000.0,126.58227848101265,9999.0,9999.0
existential_threat_worry|WVS_H,40.32258064516129,181.81818181818184,9999.0,81.96721311475409,76.33587786259541,112.35955056179776,44.642857142857146,108.69565217391305,111.11111111111111,38.02281368821293,9999.0,49.01960784313725,133.33333333333334,222.22222222222223,303.03030303030306,0.0,384.61538461538464,25.25252525252525,196.078431372549,35.08771929824561,9999.0,34.013605442176875,72.99270072992701,68.02721088435375,9999.0,16.722408026755854,1000.0,26.666666666666668,128.2051282051282,9999.0,103.09278350515464,9999.0,9999.0,7.194244604316546,84.74576271186442,250.0,9999.0,100.0,63.291139240506325,9999.0,136.986301369863,36.101083032490976,9999.0,263.1578947368421
female_income_threat_to_marriage|WVS_D,172.41379310344828,181.81818181818184,41.84100418410041,227.27272727272725,500.0,144.92753623188406,59.523809523809526,370.3703703703703,333.3333333333333,666.6666666666666,34.24657534246575,217.3913043478261,156.25,270.27027027027026,1000.0,384.61538461538464,0.0,9999.0,42.19409282700422,59.880239520958085,9999.0,208.33333333333334,114.9425287356322,72.99270072992701,46.29629629629629,56.81818181818181,454.5454545454545,42.73504273504273,294.11764705882354,78.125,1000.0,9999.0,9999.0,83.33333333333333,131.57894736842104,105.26315789473685,9999.0,1000.0,84.03361344537815,1000.0,60.6060606060606,1000.0,9999.0,75.75757575757576
gender_role_traditionalism|WVS_D,85.47008547008546,80.0,60.6060606060606,114.9425287356322,294.11764705882354,47.84688995215311,23.752969121140143,114.9425287356322,1000.0,53.475935828877,19.083969465648853,64.93506493506493,357.14285714285717,232.5581395348837,588.2352941176471,25.25252525252525,9999.0,0.0,59.523809523809526,47.39336492890995,9999.0,26.666666666666668,26.109660574412533,500.0,22.471910112359552,22.271714922048996,86.20689655172414,84.74576271186442,238.0952380952381,56.497175141242934,153.84615384615384,9999.0,9999.0,7.02247191011236,131.57894736842104,303.03030303030306,9999.0,64.93506493506493,263.1578947368421,74.07407407407408,135.13513513513513,32.05128205128205,9999.0,133.33333333333334
immigrant_origin_status|WVS_G,263.1578947368421,147.05882352941177,73.52941176470588,52.083333333333336,52.083333333333336,66.2251655629139,217.3913043478261,136.986301369863,99.00990099009901,60.6060606060606,13.94700139470014,84.03361344537815,87.71929824561403,68.4931506849315,144.92753623188406,196.078431372549,42.19409282700422,59.523809523809526,0.0,25.77319587628866,9999.0,34.48275862068965,24.330900243309003,90.90909090909092,23.52941176470588,41.84100418410041,9999.0,50.5050505050505,212.7659574468085,19.23076923076923,107.52688172043011,9999.0,9999.0,41.1522633744856,62.11180124223603,26.315789473684212,9999.0,58.47953216374269,49.75124378109453,30.211480362537767,50.5050505050505,136.986301369863,9999.0,25.25252525252525
importance_of_life_domains|WVS_A,42.19409282700422,1000.0,36.90036900369004,9999.0,9999.0,9999.0,51.282051282051285,357.14285714285717,133.33333333333334,43.29004329004329,53.191489361702125,58.13953488372093,80.0,400.0,256.4102564102564,35.08771929824561,59.880239520958085,47.39336492890995,25.77319587628866,0.0,9999.0,58.47953216374269,56.497175141242934,36.90036900369004,57.80346820809249,14.367816091954024,204.08163265306123,18.214936247723134,59.523809523809526,43.47826086956522,76.92307692307692,9999.0,9999.0,10.615711252653927,55.865921787709496,47.16981132075472,9999.0,9999.0,67.56756756756756,64.1025641025641,9999.0,30.674846625766875,9999.0,178.57142857142858
