,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,0.0292,-0.0176,0.0081,-0.0003,0.0114,,,,-0.0285,,,,,,-0.0184,-0.0305,-0.0089,0.0014,0.0005,-0.02,-0.0027,-0.0136,0.0051,,-0.0314,,,-0.0082,-0.0206,0.0145,-0.0468,-0.0014,0.0154,,-0.0219,0.0305,,,0.0009,,-0.0108,
autocracy_support|WVS_E,,0.0,-0.0205,-0.0007,0.0044,0.0014,-0.0129,,,,0.008,,,,,,0.0138,0.0076,0.0104,0.0062,0.0022,0.0091,0.0002,-0.0034,0.0012,,0.0204,,,0.0009,0.0062,-0.003,0.0142,-0.0074,-0.0075,,0.0009,-0.0025,,,0.0018,,0.0056,
basic_needs_deprivation|WVS_H,0.0292,-0.0205,0.0,-0.024,0.0249,0.0006,0.0188,0.0335,0.0085,0.0383,,-0.0346,0.013,0.0303,0.0145,,-0.0426,-0.0327,0.0051,0.0112,,-0.0356,-0.0056,-0.0216,,-0.067,-0.0568,-0.0827,-0.009,,-0.0224,0.0359,-0.0809,-0.027,0.0298,-0.0143,-0.0413,0.0443,-0.0088,,0.0035,,-0.0206,0.0104
child_qualities_autonomy_self_expression|WVS_A,-0.0176,-0.0007,-0.024,0.0,,,0.0057,-0.0304,-0.0081,-0.029,0.0435,0.0028,-0.0126,0.0044,-0.0075,,0.0095,0.0434,-0.0099,,-0.0081,0.0194,0.0052,0.0404,-0.013,0.0049,0.0203,0.0472,0.0047,0.0138,0.0243,-0.0256,0.0656,0.028,-0.0157,-0.0009,0.0467,,0.0087,,,,,0.056
child_qualities_conformity_tradition|WVS_A,0.0081,0.0044,0.0249,,0.0,,-0.0161,0.0289,0.0082,0.0385,-0.0453,-0.0078,0.0043,-0.0013,0.0107,,-0.0164,-0.0157,0.0336,,0.0148,-0.0138,-0.0083,-0.0374,0.0223,0.015,-0.0178,-0.0476,-0.0122,-0.0042,-0.0092,0.0412,-0.0597,-0.0573,0.0161,-0.0112,-0.0526,,-0.0074,,,,,-0.0805
child_qualities_prosocial_diligence|WVS_A,-0.0003,0.0014,0.0006,,,0.0,-0.0022,0.0024,0.0004,0.0028,-0.004,0.0006,0.0009,-0.0015,0.0008,,0.0008,-0.0012,0.0036,,0.0016,-0.001,-0.0005,-0.0039,0.0029,0.0044,0.0005,-0.0028,-0.0016,-0.0013,-0.0005,0.0027,-0.0043,-0.0046,0.0006,-0.0006,-0.0046,,0.0003,,,,,-0.0095
civic_dishonesty_tolerance|WVS_F,0.0114,-0.0129,0.0188,0.0057,-0.0161,-0.0022,0.0,-0.0001,-0.0015,-0.0053,-0.0068,-0.0147,0.0045,0.0179,0.0011,,-0.0103,-0.0028,-0.0183,-0.0183,-0.0036,-0.0118,0.0023,,0.0011,-0.0473,-0.0202,-0.015,0.0038,-0.0058,,,,,0.0044,-0.0006,,-0.0086,0.0007,,-0.0039,,-0.0067,0.0567
confidence_in_civil_society_organizations|WVS_E,,,0.0335,-0.0304,0.0289,0.0024,-0.0001,0.0,,,-0.0435,,,,,,-0.0181,-0.0331,0.0108,0.0182,0.0083,-0.0206,-0.0057,-0.0318,0.0138,,-0.0286,,,-0.0095,-0.019,0.0292,-0.0624,-0.031,0.0199,,-0.0445,0.0495,,,0.0058,,-0.011,
confidence_in_domestic_institutions|WVS_E,,,0.0085,-0.0081,0.0082,0.0004,-0.0015,,0.0,,-0.006,,,,,,-0.0092,-0.0117,0.0014,0.0073,0.0005,-0.0029,-0.0024,-0.0095,-0.0029,,-0.0094,,,0.0021,-0.0064,0.0102,-0.018,-0.0107,0.0068,,-0.0133,0.0131,,,0.0012,,-0.0018,
confidence_in_international_organizations|WVS_E,,,0.0383,-0.029,0.0385,0.0028,-0.0053,,,0.0,-0.0432,,,,,,-0.0242,-0.0255,0.0209,0.0289,0.0109,-0.018,-0.0073,-0.0319,0.0145,,-0.0293,,,-0.0037,-0.0137,0.0365,-0.06,-0.0447,0.0204,,-0.0467,0.045,,,0.007,,-0.0102,
