,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,,,-0.0296,-0.0084,0.0162,-0.0372,,,,0.0084,,,,,,0.0056,0.0347,-0.0069,0.0057,,0.0475,0.0205,-0.0053,0.0297,,-0.0188,,,-0.019,-0.0459,,0.0025,0.012,0.0035,,,-0.005,,-0.0067,-0.0006,-0.0151,,
autocracy_support|WVS_E,,0.0,,0.0091,0.0091,-0.0118,-0.009,,,,-0.0036,,,,,,-0.0052,-0.0169,-0.0125,0.0029,,-0.0175,-0.0094,-0.0036,-0.008,,-0.0017,,,0.0036,0.0029,,-0.0092,-0.0144,-0.004,,,0.0033,,0.0046,0.0057,-0.0022,,
basic_needs_deprivation|WVS_H,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,-0.0296,0.0091,,0.0,,,0.0012,0.0178,0.0287,0.0418,-0.0182,0.0378,-0.0262,-0.0409,-0.0377,,-0.0198,-0.0756,-0.0293,,,-0.0852,-0.0406,-0.0046,-0.0422,0.0456,0.0111,-0.0031,0.0014,0.0175,0.0496,,-0.0296,-0.0564,-0.0141,-0.0039,,,-0.0404,0.0208,,0.0095,,0.021
child_qualities_conformity_tradition|WVS_A,-0.0084,0.0091,,,0.0,,-0.0275,0.0179,0.0177,0.0252,-0.0148,0.0286,-0.0003,-0.0357,-0.004,,-0.0186,-0.0584,-0.0406,,,-0.0603,-0.0316,-0.0105,-0.0258,0.0406,-0.0033,0.0003,-0.0026,0.0125,0.0154,,-0.0316,-0.0531,-0.0125,0.0121,,,0.0034,0.0158,,-0.0044,,0.0036
child_qualities_prosocial_diligence|WVS_A,0.0162,-0.0118,,,,0.0,0.024,-0.0222,-0.0251,-0.0364,0.0157,-0.0411,0.0081,0.0496,0.0105,,0.0231,0.0802,0.0508,,,0.0798,0.0405,0.0072,0.0389,-0.0553,-0.0001,-0.0045,0.0031,-0.0133,-0.0294,,0.0395,0.0661,0.0209,-0.012,,,0.0058,-0.0228,,-0.0002,,-0.0159
civic_dishonesty_tolerance|WVS_F,-0.0372,-0.009,,0.0012,-0.0275,0.024,0.0,-0.0199,0.0094,0.01,0.012,-0.0085,-0.0672,0.0231,-0.0634,,0.0234,0.031,0.0466,-0.0138,,0.0125,0.0141,,-0.0137,-0.0121,0.0316,0.012,0.0105,-0.0027,,,,,0.0049,-0.0386,,-0.0165,-0.0953,-0.0076,-0.0194,,,0.0571
confidence_in_civil_society_organizations|WVS_E,,,,0.0178,0.0179,-0.0222,-0.0199,0.0,,,-0.0168,,,,,,-0.022,-0.0443,0.0064,-0.0032,,-0.0439,-0.0196,-0.0195,-0.009,,-0.0027,,,0.0222,0.0015,,-0.0254,-0.0406,0.0007,,,0.0152,,0.0135,0.01,-0.0027,,
confidence_in_domestic_institutions|WVS_E,,,,0.0287,0.0177,-0.0251,0.0094,,0.0,,-0.0056,,,,,,-0.007,-0.0376,-0.0247,0.0049,,-0.0434,-0.0226,0.0039,-0.0283,,0.0072,,,0.0075,0.0314,,-0.0123,-0.0232,-0.0101,,,0.0024,,0.0088,0.0098,0.0062,,
confidence_in_international_organizations|WVS_E,,,,0.0418,0.0252,-0.0364,0.01,,,0.0,-0.0187,,,,,,-0.0194,-0.068,-0.0094,-0.0025,,-0.0754,-0.0368,-0.0075,-0.0402,,0.0126,,,0.026,0.0429,,-0.0244,-0.0452,-0.0078,,,0.0133,,0.0167,0.012,0.0087,,
crime_victimization|WVS_H,0.0084,-0.0036,,-0.0182,-0.0148,0.0157,0.012,-0.0168,-0.0056,-0.0187,0.0,-0.007,0.0012,0.0109,0.0055,,0.0274,0.051,-0.0415,0.0109,,0.0516,0.0178,0.0261,,-0.0064,-0.002,0.0345,-0.0094,,-0.0056,,0.0244,0.0497,-0.0071,0.0067,,-0.0197,0.0327,,-0.0069,-0.0027,,0.0482
democratic_system_evaluation|WVS_E,,,,0.0378,0.0286,-0.0411,-0.0085,,,,-0.007,0.0,,,,,-0.0108,-0.0527,-0.0582,0.0136,,-0.0595,-0.033,0.0053,-0.0329,,0.0011,,,0.0016,0.0305,,-0.0255,-0.0421,-0.0197,,,0.002,,0.0147,0.0204,0.0028,,
democratic_values_importance|WVS_E,,,,-0.0262,-0.0003,0.0081,-0.0672,,,,0.0012,,0.0,,,,-0.008,0.0155,-0.0122,0.006,,0.0342,0.0121,-0.0269,0.0348,,-0.0304,,,-0.0035,-0.0726,,-0.014,-0.0043,0.0072,,,0.0065,,-0.005,0.0054,-0.0292,,
economic_ideology|WVS_E,,,,-0.0409,-0.0357,0.0496,0.0231,,,,0.0109,,,0.0,,,0.0175,0.0634,0.065,-0.0154,,0.0666,0.0379,0.0004,0.0355,,0.0021,,,-0.0059,-0.0255,,0.0335,0.0546,0.0203,,,-0.0058,,-0.0183,-0.023,0.0006,,
electoral_integrity|WVS_E,,,,-0.0377,-0.004,0.0105,-0.0634,,,,0.0055,,,,0.0,,0.0012,0.0357,-0.0114,0.008,,0.0459,0.0235,-0.0151,0.0478,,-0.0316,,,-0.0217,-0.069,,-0.0043,-0.0022,0.0031,,,-0.0016,,-0.0025,0.0062,-0.0221,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,0.0056,-0.0052,,-0.0198,-0.0186,0.0231,0.0234,-0.022,-0.007,-0.0194,0.0274,-0.0108,-0.008,0.0175,0.0012,,0.0,,-0.0354,0.0096,,0.0587,0.023,0.0319,0.0069,-0.005,0.0022,0.0372,-0.0069,-0.0337,-0.0002,,0.0316,0.0603,-0.0068,0.0036,,-0.0242,0.0222,-0.021,-0.0096,0.0028,,0.0513
gender_role_traditionalism|WVS_D,0.0347,-0.0169,,-0.0756,-0.0584,0.0802,0.031,-0.0443,-0.0376,-0.068,0.051,-0.0527,0.0155,0.0634,0.0357,,,0.0,0.0042,0.0042,,0.159,0.0724,0.0407,0.0561,-0.048,-0.0071,0.0373,-0.0072,-0.0536,-0.0446,,0.0702,0.127,0.0094,0.0025,,-0.0397,0.0621,-0.0437,-0.0294,-0.0053,,0.0194
immigrant_origin_status|WVS_G,-0.0069,-0.0125,,-0.0293,-0.0406,0.0508,0.0466,0.0064,-0.0247,-0.0094,-0.0415,-0.0582,-0.0122,0.065,-0.0114,,-0.0354,0.0042,0.0,-0.0659,,-0.0054,0.0303,-0.0626,0.0479,-0.1017,,-0.11,0.034,0.0709,-0.0207,,0.0168,-0.0029,0.0617,-0.06,,0.0353,-0.1125,0.0044,-0.0394,0.0141,,-0.1468
importance_of_life_domains|WVS_A,0.0057,0.0029,,,,,-0.0138,-0.0032,0.0049,-0.0025,0.0109,0.0136,0.006,-0.0154,0.008,,0.0096,0.0042,-0.0659,0.0,,0.007,-0.0031,0.0188,-0.0041,0.0321,-0.0056,0.0315,-0.0074,-0.0252,0.0022,,-0.0005,0.0004,-0.0167,0.02,,,0.0334,0.0006,,-0.0016,,0.0216
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,0.0475,-0.0175,,-0.0852,-0.0603,0.0798,0.0125,-0.0439,-0.0434,-0.0754,0.0516,-0.0595,0.0342,0.0666,0.0459,,0.0587,0.159,-0.0054,0.007,,0.0,,0.0349,0.0629,-0.0691,-0.0119,0.0416,-0.0116,-0.0609,-0.066,,0.0675,0.1361,0.0116,0.0117,,-0.0372,0.0854,-0.0486,-0.03,-0.0137,,0.0303
job_scarcity_nativist_preference|WVS_C,0.0205,-0.0094,,-0.0406,-0.0316,0.0405,0.0141,-0.0196,-0.0226,-0.0368,0.0178,-0.033,0.0121,0.0379,0.0235,,0.023,0.0724,0.0303,-0.0031,,,0.0,0.0155,0.0403,-0.0325,-0.0035,0.0074,0.0017,-0.0256,-0.0296,,0.0341,0.0528,0.0104,0.0014,,-0.0146,0.0191,-0.0168,-0.0153,0.0018,,-0.0296
life_autonomy_morality_permissiveness|WVS_F,-0.0053,-0.0036,,-0.0046,-0.0105,0.0072,,-0.0195,0.0039,-0.0075,0.0261,0.0053,-0.0269,0.0004,-0.0151,,0.0319,0.0407,-0.0626,0.0188,,0.0349,0.0155,0.0,-0.004,0.0345,0.0085,0.0568,-0.0063,-0.0499,,,,,-0.0209,0.0081,,-0.0303,0.0026,-0.0088,0.0024,,,0.0499
neighborhood_disorder_and_crime|WVS_H,0.0297,-0.008,,-0.0422,-0.0258,0.0389,-0.0137,-0.009,-0.0283,-0.0402,,-0.0329,0.0348,0.0355,0.0478,,0.0069,0.0561,0.0479,-0.0041,,0.0629,0.0403,-0.004,0.0,-0.0275,-0.0124,-0.0118,0.0055,,-0.0475,,0.0176,0.0201,0.0139,0.013,,-0.0061,0.0241,,-0.0102,-0.0027,,-0.0895
offline_political_participation|WVS_E,,,,0.0456,0.0406,-0.0553,-0.0121,,,,-0.0064,,,,,,-0.005,-0.048,-0.1017,0.0321,,-0.0691,-0.0325,0.0345,-0.0275,0.0,0.0019,,,-0.0452,0.0482,,-0.0243,-0.0703,-0.0399,,,-0.0163,,0.0333,0.0425,0.0222,,
outgroup_trust|WVS_G,-0.0188,-0.0017,,0.0111,-0.0033,-0.0001,0.0316,-0.0027,0.0072,0.0126,-0.002,0.0011,-0.0304,0.0021,-0.0316,,0.0022,-0.0071,,-0.0056,,-0.0119,-0.0035,0.0085,-0.0124,0.0019,0.0,-0.0007,0.0053,0.0039,0.0295,,0.0087,0.0013,0.0005,-0.0175,,-0.0018,-0.0439,0.0019,-0.0044,0.0133,,0.0186
political_information_sources|WVS_E,,,,-0.0031,0.0003,-0.0045,0.012,,,,0.0345,,,,,,0.0372,0.0373,-0.11,0.0315,,0.0416,0.0074,0.0568,-0.0118,,-0.0007,0.0,,-0.0588,0.0212,,0.0216,0.0397,-0.0306,,,-0.0363,,-0.0086,0.0102,0.0062,,
postmaterialist_values|WVS_E,,,,0.0014,-0.0026,0.0031,0.0105,,,,-0.0094,,,,,,-0.0069,-0.0072,0.034,-0.0074,,-0.0116,0.0017,-0.0063,0.0055,,0.0053,,0.0,0.0075,0.0066,,0.0001,-0.0133,0.0057,,,0.0047,,0.0068,-0.0018,0.0075,,
