,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,24.630541871921185,21.88183807439825,1000.0,46.728971962616825,9999.0,9999.0,9999.0,54.054054054054056,9999.0,9999.0,9999.0,9999.0,18.51851851851852,34.602076124567475,32.05128205128205,33.78378378378378,400.0,9999.0,181.81818181818184,20.53388090349076,20.0,105.26315789473685,9999.0,25.188916876574307,9999.0,9999.0,24.271844660194173,69.93006993006993,56.497175141242934,9999.0,55.865921787709496,16.5016501650165,9999.0,20.876826722338205,9999.0,9999.0,38.167938931297705,44.24778761061947,30.8641975308642,21.27659574468085,9999.0
autocracy_support|WVS_E,9999.0,0.0,9999.0,23.04147465437788,25.706940874035993,144.92753623188406,73.52941176470588,9999.0,9999.0,9999.0,100.0,9999.0,9999.0,9999.0,9999.0,19.72386587771203,36.63003663003663,26.881720430107528,68.9655172413793,277.77777777777777,9999.0,270.27027027027026,19.305019305019304,19.801980198019802,42.5531914893617,9999.0,17.825311942959004,9999.0,9999.0,46.51162790697675,104.16666666666667,158.73015873015873,9999.0,256.4102564102564,17.035775127768314,9999.0,21.73913043478261,9999.0,9999.0,27.397260273972606,44.84304932735426,44.24778761061947,18.552875695732837,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,24.630541871921185,23.04147465437788,9999.0,0.0,9999.0,9999.0,53.475935828877,21.691973969631235,33.003300330033,20.491803278688522,208.33333333333334,21.186440677966104,43.29004329004329,208.33333333333334,20.0,108.69565217391305,90.90909090909092,20.74688796680498,33.333333333333336,9999.0,9999.0,166.66666666666666,19.342359767891683,25.906735751295336,1000.0,19.960079840319363,16.920473773265652,68.02721088435375,153.84615384615384,30.959752321981423,151.51515151515153,61.7283950617284,9999.0,67.11409395973155,23.923444976076556,28.81844380403458,38.167938931297705,9999.0,196.078431372549,30.8641975308642,9999.0,41.49377593360996,9999.0,13.192612137203165
child_qualities_conformity_tradition|WVS_A,21.88183807439825,25.706940874035993,9999.0,9999.0,0.0,9999.0,38.02281368821293,30.674846625766875,39.37007874015748,15.974440894568689,42.5531914893617,16.39344262295082,79.36507936507937,116.27906976744185,20.618556701030926,19.72386587771203,30.8641975308642,23.980815347721823,31.645569620253163,9999.0,9999.0,1000.0,29.673590504451038,18.79699248120301,1000.0,16.051364365971107,34.96503496503497,36.63003663003663,434.7826086956522,22.675736961451246,69.44444444444444,49.01960784313725,9999.0,45.87155963302752,18.41620626151013,22.779043280182233,20.161290322580644,9999.0,102.04081632653062,79.36507936507937,9999.0,43.859649122807014,9999.0,28.49002849002849
child_qualities_prosocial_diligence|WVS_A,1000.0,144.92753623188406,9999.0,9999.0,9999.0,0.0,33.44481605351171,500.0,588.2352941176471,47.16981132075472,32.67973856209151,69.93006993006993,277.77777777777777,1000.0,66.66666666666667,769.2307692307693,43.29004329004329,26.525198938992045,35.97122302158274,9999.0,9999.0,80.64516129032258,44.052863436123346,42.19409282700422,26.595744680851062,232.5581395348837,26.38522427440633,133.33333333333334,1000.0,31.446540880503143,100.0,38.75968992248062,9999.0,31.055900621118013,714.2857142857143,57.14285714285714,41.32231404958678,9999.0,67.56756756756756,26.80965147453083,9999.0,74.6268656716418,9999.0,17.6056338028169
civic_dishonesty_tolerance|WVS_F,46.728971962616825,73.52941176470588,9999.0,53.475935828877,38.02281368821293,33.44481605351171,0.0,625.0,153.84615384615384,24.57002457002457,29.41176470588235,38.46153846153846,153.84615384615384,119.04761904761905,68.02721088435375,16.233766233766232,20.876826722338205,51.282051282051285,60.6060606060606,84.03361344537815,9999.0,333.3333333333333,97.08737864077669,9999.0,175.43859649122805,29.850746268656714,31.847133757961785,56.81818181818181,97.08737864077669,9.643201542912246,9999.0,9999.0,9999.0,9999.0,31.645569620253163,41.84100418410041,9999.0,9999.0,97.08737864077669,35.97122302158274,76.33587786259541,9999.0,34.013605442176875,25.839793281653748
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,21.691973969631235,30.674846625766875,500.0,625.0,0.0,9999.0,9999.0,161.29032258064515,9999.0,9999.0,9999.0,9999.0,38.61003861003861,37.3134328358209,21.50537634408602,84.03361344537815,94.33962264150944,9999.0,344.82758620689657,25.839793281653748,21.551724137931036,48.78048780487805,9999.0,19.72386587771203,9999.0,9999.0,285.7142857142857,212.7659574468085,303.03030303030306,9999.0,166.66666666666666,23.64066193853428,9999.0,25.57544757033248,9999.0,9999.0,33.11258278145695,62.5,161.29032258064515,25.125628140703515,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,33.003300330033,39.37007874015748,588.2352941176471,153.84615384615384,9999.0,0.0,9999.0,169.49152542372883,9999.0,9999.0,9999.0,9999.0,36.231884057971016,40.0,29.069767441860463,384.61538461538464,136.986301369863,9999.0,1000.0,32.78688524590164,28.08988764044944,40.65040650406504,9999.0,23.923444976076556,9999.0,9999.0,149.2537313432836,212.7659574468085,1000.0,9999.0,1000.0,27.700831024930746,9999.0,29.32551319648094,9999.0,9999.0,36.496350364963504,72.99270072992701,120.48192771084337,27.932960893854748,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,20.491803278688522,15.974440894568689,47.16981132075472,24.57002457002457,9999.0,9999.0,0.0,31.055900621118013,9999.0,9999.0,9999.0,9999.0,15.197568389057752,15.15151515151515,12.345679012345679,35.842293906810035,46.948356807511736,9999.0,312.5,22.026431718061673,11.574074074074073,46.728971962616825,9999.0,18.51851851851852,9999.0,9999.0,20.53388090349076,57.80346820809249,38.02281368821293,9999.0,42.5531914893617,12.547051442910917,9999.0,12.224938875305623,9999.0,9999.0,38.46153846153846,34.602076124567475,52.083333333333336,26.595744680851062,9999.0
